isn_dob_bis_viol,boro,bin,block,lot,issue_date,violation_type_code,violation_number,house_number,street,device_number,description,number,violation_category,violation_type,disposition_date,disposition_comments,ecb_number
2408942,1,1076911,612.0,66.0,20191108,LBLVIO,00432,7,CHARLES STREET,00022374,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V110819LBLVIO00432,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER,,,
2341484,5,5110060,1053.0,138.0,20190405,EVCAT1,05313,1545,FOREST AVENUE,5F541,VIOLATION ISSUED TO ELEVATOR - FAILURE TO FILE CATEGORY 1 2017 INSPECTION/TEST,V040519EVCAT105313,V-DOB VIOLATION - ACTIVE,EVCAT1-ELEVATOR ANNUAL INSPECTION / TEST,,,
2367673,3,3426190,146.0,43.0,20190626,AEUHAZ1,01314,424,ALBEE SQUARE,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V*062619AEUHAZ101314,V*-DOB VIOLATION - DISMISSED,AEUHAZ1-FAIL TO CERTIFY CLASS 1,20190919.0,YUM    PAID INV 62105982,35369193N
2334566,3,3097277,4321.0,53.0,20190116,C,FEU30501XC,737,GEORGIA AVENUE,,FTM:2ST+C BUILDING SUSTAINED SIGNIFICANT FIRE DAMAGE ON 11/14/18 FIRE           DAMAGE WAS NOTED THRUGHOUT THE INTERIOR WATER DAMAGE AND COLLAPSED              CEILING AT ALL FLOORS MISSING WINDOWS THRUGHOUT OWNER TO ENGAGE NYS PE          AND CONTRACTOR TO EVALUATE ENTIRE BUILDING AND REPAIR UNDER PERMIT              FILE FOR PERMIT BY 4/15/19 START BY 5/1/19,V011619CFEU30501XC,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION,,,
2333690,3,3001479,204.0,1.0,20190216,BENCH,00394,17,COLUMBIA HEIGHTS,,FAILURE TO FILE BENCHMARKING REPORT OF ENERGY USE AS PER AD. CODE SEC. 28-309.4,V*021619BENCH00394,V*-DOB VIOLATION - DISMISSED,BENCH-FAILURE TO BENCHMARK,20190807.0,CHALLENGE APPROVED,
2328275,4,4618152,8394.0,34.0,20190306,AEUHAZ1,01316,58-56,262 STREET,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V*030619AEUHAZ101316,V*-DOB VIOLATION - DISMISSED,AEUHAZ1-FAIL TO CERTIFY CLASS 1,20190313.0,YUM    PAID INV 62065994,35377655Z
2353491,1,1015190,808.0,808.0,20190520,EVCAT5,01945,1275,BROADWAY,1P45726,FAILURE TO PERFORM CATEGORY 5 INSPECTION,V052019EVCAT501945,V-DOB VIOLATION - ACTIVE,EVCAT5-NON-RESIDENTIAL ELEVATOR PERIODIC INSPECTION/TEST,,,
2318150,1,1022057,966.0,1.0,20190109,AEUHAZ1,00352,401,EAST 34 STREET,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V*010919AEUHAZ100352,V*-DOB VIOLATION - DISMISSED,AEUHAZ1-FAIL TO CERTIFY CLASS 1,20190327.0,YUM    PAID INV 62069861,35360607N
2339688,3,3397443,165.0,17.0,20190405,EVCAT1,03517,236,LIVINGSTON STREET,3W10881,VIOLATION ISSUED TO ELEVATOR - FAILURE TO FILE CATEGORY 1 2017 INSPECTION/TEST,V040519EVCAT103517,V-DOB VIOLATION - ACTIVE,EVCAT1-ELEVATOR ANNUAL INSPECTION / TEST,,,
2333514,1,1090866,1516.0,37.0,20190216,BENCH,00218,1558,3 AVENUE,,FAILURE TO FILE BENCHMARKING REPORT OF ENERGY USE AS PER AD. CODE SEC. 28-309.4,V*021619BENCH00218,V*-DOB VIOLATION - DISMISSED,BENCH-FAILURE TO BENCHMARK,20190429.0,CHALLENGE APPROVED,
2356002,1,1060482,2031.0,29.0,20190529,AEUHAZ1,00126,2500,7 AVENUE,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V052919AEUHAZ100126,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1,,,35358969H
2435192,4,4124019,5487.0,14.0,20191226,AEUHAZ1,00755,47-37,157 STREET,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V*122619AEUHAZ100755,V*-DOB VIOLATION - DISMISSED,AEUHAZ1-FAIL TO CERTIFY CLASS 1,20200205.0,MZX    41509775,35243276P
2363293,M,1028453,1121.0,17.0,20190430,FISPNRF,00227,25,WEST 68 STREET,8C803428,FAILED TO FILE FISP CYCLE 8C TECHNICAL REPORT BY 02/21/2019,V043019FISPNRF00227,V-DOB VIOLATION - ACTIVE,FISPNRF-NO REPORT AND / OR LATE FILING (FACADE),,,
2424155,4,4216246,10156.0,7.0,20191108,LBLVIO,15645,166-16,JAMAICA AVE,00817495,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V110819LBLVIO15645,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER,,,
2338606,4,4444031,7117.0,3.0,20190405,EVCAT1,02435,189-02,64 AVENUE,4P1566,VIOLATION ISSUED TO ELEVATOR - FAILURE TO FILE CATEGORY 1 2017 INSPECTION/TEST,V*040519EVCAT102435,V*-DOB VIOLATION - DISMISSED,EVCAT1-ELEVATOR ANNUAL INSPECTION / TEST,20190924.0,CAT 1  2017 CAT 1 FILED,
2375230,3,3037475,1394.0,37.0,20190807,AEUHAZ1,00375,948,EASTERN PARKWAY,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V080719AEUHAZ100375,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1,,,39002903N
2339204,3,3175205,6617.0,26.0,20190405,EVCAT1,03033,1884,CONEY ISLAND AVENUE,3W10284,VIOLATION ISSUED TO ELEVATOR - FAILURE TO FILE CATEGORY 1 2017 INSPECTION/TEST,V040519EVCAT103033,V-DOB VIOLATION - ACTIVE,EVCAT1-ELEVATOR ANNUAL INSPECTION / TEST,,,
2341145,1,1087537,889.0,1.0,20190405,EVCAT1,04974,111,EAST 33 STREET,1E1110,VIOLATION ISSUED TO ELEVATOR - FAILURE TO FILE CATEGORY 1 2017 INSPECTION/TEST,V*040519EVCAT104974,V*-DOB VIOLATION - DISMISSED,EVCAT1-ELEVATOR ANNUAL INSPECTION / TEST,20200409.0,__DG   PERFORMED AOC ON 10/01/2019,
2321207,4,4025907,1154.0,97.0,20190123,AEUHAZ1,00581,32-32,53 PLACE,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V*012319AEUHAZ100581,V*-DOB VIOLATION - DISMISSED,AEUHAZ1-FAIL TO CERTIFY CLASS 1,20190221.0,YUM    PAID INV 62059627,35355457K
2322918,2,2129435,3089.0,18.0,20190206,AEUHAZ1,00187,2330,CAMBRELENG AVENUE,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V*020619AEUHAZ100187,V*-DOB VIOLATION - DISMISSED,AEUHAZ1-FAIL TO CERTIFY CLASS 1,20190301.0,ECB DOWNGRADED TO CLASS 2 OR 3,35228015L
2352369,1,1002016,179.0,179.0,20190520,EVCAT5,00823,143,FRANKLIN STREET,1F912,FAILURE TO PERFORM CATEGORY 5 INSPECTION,V052019EVCAT500823,V-DOB VIOLATION - ACTIVE,EVCAT5-NON-RESIDENTIAL ELEVATOR PERIODIC INSPECTION/TEST,,,
2422876,4,4115669,5134.0,8.0,20191108,LBLVIO,14366,41-79,MAIN STREET,00084421,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V110819LBLVIO14366,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER,,,
2409079,1,1028554,1123.0,17.0,20191108,LBLVIO,00569,33,WEST 70 STREET,00026067,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V110819LBLVIO00569,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER,,,
2398194,3,3173783,6587.0,51.0,20190919,AEUHAZ1,00485,1500,OCEAN PARKWAY,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V091919AEUHAZ100485,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1,,,39004833X
2356287,3,3066780,2681.0,13.0,20190529,AEUHAZ1,00411,127,ECKFORD STREET,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V*052919AEUHAZ100411,V*-DOB VIOLATION - DISMISSED,AEUHAZ1-FAIL TO CERTIFY CLASS 1,20191030.0,810    PAID INV 62135658,35403330R
2359151,3,3049381,1772.0,42.0,20190502,BENCH,02059,210,HART STREET,,FAILURE TO FILE BENCHMARKING REPORT OF ENERGY USE AS PER AD. CODE SEC. 28-309.4,V050219BENCH02059,V-DOB VIOLATION - ACTIVE,BENCH-FAILURE TO BENCHMARK,,,
2435555,3,3071603,3119.0,26.0,20191229,P,19-01157,27,GRAHAM AVENUE,,THE BOROUGH COMMISSIONER HAS ISSUED A NOTICE TO REVOKE APPLICATION #            340668959 DUE TO THE REVOCATION OF THE MASTER PLUMBER LICENSE. ALL              WORK IN CONNECTION WITH MASTER PLUMBER ON THIS APPLICATION HAS BEEN             ORDERED STOPPED IMMEDIATELY,V*122919P19-01157,V*-DOB VIOLATION - DISMISSED,P-PLUMBING,20200123.0,SWO FULLY RESCINDED.NEW LMP LICENSE 2233 OF RECORD HAS SUPERCEDED JOB #340668959,
2349288,1,1026743,1062.0,25.0,20190516,AEUHAZ1,00175,413,WEST 52 STREET,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V*051619AEUHAZ100175,V*-DOB VIOLATION - DISMISSED,AEUHAZ1-FAIL TO CERTIFY CLASS 1,20191122.0,ECB DISMISSED,32098564M
2379907,2,2011596,3052.0,1.0,20190803,BENCH,00260,531,EAST 183 STREET,,FAILURE TO FILE BENCHMARKING REPORT OF ENERGY USE AS PER AD. CODE SEC. 28-309.4,V*080319BENCH00260,V*-DOB VIOLATION - DISMISSED,BENCH-FAILURE TO BENCHMARK,20190906.0,CONFIRMED SUBMISSION,
2387509,1,1053176,1717.0,2.0,20190906,ACC1,03138,168,LENOX AVE,1P9375,VIO ISSUED TO ELEVATOR - FAIL TO CORRECT DEFECTS ON 2017 CAT 1 INSP/TST TST,V*090619ACC103138,V*-DOB VIOLATION - DISMISSED,ACC1-(OTHER BLDGS TYPES) - ELEVATOR AFFIRMATION OF CORRECTION,20200310.0,"CAT 1  2017 AOC, PAID LATE FEES #62130022",
2395213,4,4022646,1027.0,50.0,20190906,ACC1,10842,75-20,ASTORIA BLVD,4P2528,VIO ISSUED TO ELEVATOR - FAIL TO CORRECT DEFECTS ON 2017 CAT 1 INSP/TST TST,V090619ACC110842,V-DOB VIOLATION - ACTIVE,ACC1-(OTHER BLDGS TYPES) - ELEVATOR AFFIRMATION OF CORRECTION,,,
2385695,1,1016291,851.0,51.0,20190906,ACC1,01324,36,E 23RD ST,1P4367,VIO ISSUED TO ELEVATOR - FAIL TO CORRECT DEFECTS ON 2017 CAT 1 INSP/TST TST,V090619ACC101324,V-DOB VIOLATION - ACTIVE,ACC1-(OTHER BLDGS TYPES) - ELEVATOR AFFIRMATION OF CORRECTION,,,
2318801,3,3398364,2780.0,106.0,20190109,AEUHAZ1,01003,56,POWERS STREET,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V*010919AEUHAZ101003,V*-DOB VIOLATION - DISMISSED,AEUHAZ1-FAIL TO CERTIFY CLASS 1,20190419.0,ECB DISMISSED,35347760N
2370121,4,4026174,1161.0,119.0,20190709,AEUHAZ1,00618,32-27,60 STREET,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V*070919AEUHAZ100618,V*-DOB VIOLATION - DISMISSED,AEUHAZ1-FAIL TO CERTIFY CLASS 1,20190717.0,PENALTY WAS INPOSED THE SAME DAY VIOLATION ISSUED.,35406202X
2322368,3,3110882,4934.0,48.0,20190119,P,12IV,513,EAST 34 STREET,,THE DOB INTENDS TO REVOKE ALL APPROVALS AND PERMITS UNDER PLUMBING               LAA #340498535 DUE TO SUSPENSION OF MASTER PLUMBERS LICENSE. STOP ALL           PLUMBING WORK UNDER ABOVE MENTIONED PERMIT AND OBTAIN A NEW MASTER              PLUMBER TO SUPERSEDE THE PLUMBING PERMIT,V*011919P12IV,V*-DOB VIOLATION - DISMISSED,P-PLUMBING,20190205.0,OKAY TO DISMISS PERMIT CLOSED OUT ON 02/05/19.,
2366754,1,1082277,1080.0,102.0,20190626,AEUHAZ1,00395,726,11 AVENUE,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V*062619AEUHAZ100395,V*-DOB VIOLATION - DISMISSED,AEUHAZ1-FAIL TO CERTIFY CLASS 1,20190705.0,ECB DOWNGRADED TO CLASS 2 OR 3,35411720M
2363524,M,1056507,1873.0,27.0,20190430,FISPNRF,00458,205,WEST 101 STREET,8C806445,FAILED TO FILE FISP CYCLE 8C TECHNICAL REPORT BY 02/21/2019,V043019FISPNRF00458,V-DOB VIOLATION - ACTIVE,FISPNRF-NO REPORT AND / OR LATE FILING (FACADE),,,
2379588,1,1087262,819.0,20.0,20190802,BENCH,00197,31,WEST 17 STREET,,FAILURE TO FILE BENCHMARKING REPORT OF ENERGY USE AS PER AD. CODE SEC. 28-309.4,V080219BENCH00197,V-DOB VIOLATION - ACTIVE,BENCH-FAILURE TO BENCHMARK,,,
2427310,1,1090658,705.0,39.0,20190904,AEUHAZ1,00150,415,10 AVENUE,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V090419AEUHAZ100150,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1,,,35361002P
2358096,1,1062329,2088.0,87.0,20190502,BENCH,01004,603,WEST 141 STREET,,FAILURE TO FILE BENCHMARKING REPORT OF ENERGY USE AS PER AD. CODE SEC. 28-309.4,V050219BENCH01004,V-DOB VIOLATION - ACTIVE,BENCH-FAILURE TO BENCHMARK,,,
2410409,1,1083910,1487.0,25.0,20191108,LBLVIO,01899,540,EAST 76 STREET,00083923,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V110819LBLVIO01899,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER,,,
2443227,2,2009870,2940.0,1.0,20190613,FISP,HAZ88575,1660,CROTONA PARK EAST,00807933,,V061319FISPHAZ88575,V-DOB VIOLATION - ACTIVE,FISP-FACADE SAFETY PROGRAM,,,
2345693,3,3065271,2594.0,1.0,20190417,C,FEU30101JH,57,MESEROLE AVENUE,,NYC ADMIN CODE ADD'L INFO:OCCUPIED 1 STORY BUILDING WITH A WOOD BOWSTR          ING TRUSS ROOF WITH IN 60 DAYS OF DATE OF VIO OWN TO ENGAGE LIC PE EXP          ERIENCED WITH WOOD TRUSSES TO PROBE EVAL STRL SOUNDNESS USING FIELD             VERIFICAT CALCULAT PROBES EACH TRUSS&BEARINGS TO BE EVAL ANY STRL DEFI          CIENCES TO BE IMM SHORE RPR DGWS FILE WITH DOB W/IN 45 DAYS AFTER INSP,V041719CFEU30101JH,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION,,,
2386428,1,1031729,1209.0,37.0,20190906,ACC1,02057,12,W 96TH ST,1P4703,VIO ISSUED TO ELEVATOR - FAIL TO CORRECT DEFECTS ON 2017 CAT 1 INSP/TST TST,V*090619ACC102057,V*-DOB VIOLATION - DISMISSED,ACC1-(OTHER BLDGS TYPES) - ELEVATOR AFFIRMATION OF CORRECTION,20191025.0,CAT1   FAILED TO FILE 2017 CAT1 AOC            PENALTY PAID #62134554,
2377951,3,3168925,6445.0,31.0,20190822,AEUHAZ1,00521,2108,BATH AVENUE,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V*082219AEUHAZ100521,V*-DOB VIOLATION - DISMISSED,AEUHAZ1-FAIL TO CERTIFY CLASS 1,20191009.0,SQS    PAID INVOICE # 41491728,35425408P
2409110,1,1026516,1056.0,130.0,20191108,LBLVIO,00600,405,WEST 46 STREET,00026929,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V110819LBLVIO00600,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER,,,
2363677,M,1081252,1482.0,40.0,20190430,FISPNRF,00611,523,EAST 70 STREET,8C805392,FAILED TO FILE FISP CYCLE 8C TECHNICAL REPORT BY 02/21/2019,V043019FISPNRF00611,V-DOB VIOLATION - ACTIVE,FISPNRF-NO REPORT AND / OR LATE FILING (FACADE),,,
2369866,3,3061522,2279.0,1.0,20190709,AEUHAZ1,00363,29,WYTHE AVENUE,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V*070919AEUHAZ100363,V*-DOB VIOLATION - DISMISSED,AEUHAZ1-FAIL TO CERTIFY CLASS 1,20200824.0,000810 PAID INV 90276721,35403915M
2416417,3,3127517,5407.0,94.0,20191108,LBLVIO,07907,4426,18 AVENUE,00072765,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V*110819LBLVIO07907,V*-DOB VIOLATION - DISMISSED,LBLVIO-LOW PRESSURE BOILER,20200224.0,"CIAGVN DISMISSED, FULL CIVIL PENALTY OF $1,000 PAID INV#62164936, CK#9865612668",
2417254,3,3148361,5931.0,13.0,20191108,LBLVIO,08744,7401,5TH AVENUE,00087368,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V110819LBLVIO08744,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER,,,
2367343,3,3094038,4182.0,52.0,20190626,AEUHAZ1,00984,470,GRANT AVENUE,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V*062619AEUHAZ100984,V*-DOB VIOLATION - DISMISSED,AEUHAZ1-FAIL TO CERTIFY CLASS 1,20200221.0,ECB DISMISSED,35406698Z
2425398,1,1084028,1866.0,1.0,20191113,AEUHAZ1,00162,1091,AMSTERDAM AVENUE,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V111319AEUHAZ100162,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1,,,35452637M
2375596,4,4437231,1820.0,108.0,20190807,AEUHAZ1,00741,126-11,34 AVENUE,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V080719AEUHAZ100741,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1,,,35409200X
2404040,3,3063648,2469.0,16.0,20191017,AEUHAZ1,00846,428,WYTHE AVENUE,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V*101719AEUHAZ100846,V*-DOB VIOLATION - DISMISSED,AEUHAZ1-FAIL TO CERTIFY CLASS 1,20200114.0,HPM    PAID INVOICE#62157098,35440819P
2373776,4,4436338,12495.0,12495.0,20190730,EVCAT5,00106,163-45,130 AVENUE,4P4099,FAILURE TO PERFORM CATEGORY 5 INSPECTION,V*073019EVCAT500106,V*-DOB VIOLATION - DISMISSED,EVCAT5-NON-RESIDENTIAL ELEVATOR PERIODIC INSPECTION/TEST,20190904.0,CAT 5   2018 CAT 5 PERFORMED 03/13/18 SUBMITTED05/02/2018,
2354982,3,3003016,290.0,290.0,20190520,EVCAT5,03438,363,HICKS STREET,3P7534,FAILURE TO PERFORM CATEGORY 5 INSPECTION,V052019EVCAT503438,V-DOB VIOLATION - ACTIVE,EVCAT5-NON-RESIDENTIAL ELEVATOR PERIODIC INSPECTION/TEST,,,
2430576,3,3336298,5728.0,47.0,20191102,BENCH,00976,841,63 STREET,,FAILURE TO FILE BENCHMARKING REPORT OF ENERGY USE AS PER AD. CODE SEC. 28-309.4,V110219BENCH00976,V-DOB VIOLATION - ACTIVE,BENCH-FAILURE TO BENCHMARK,,,
2323802,1,1018010,878.0,1.0,20190207,FISP,HAZ87795,105,EAST 22 STREET,00802601,,V*020719FISPHAZ87795,V*-DOB VIOLATION - DISMISSED,FISP-FACADE SAFETY PROGRAM,20200224.0,JNW    AMENDED REPORT WAS FILED AND APPROVED   FTC PENALTY PAID INV # 62164843,
2358055,1,1083074,2023.0,7503.0,20190502,BENCH,00963,297,WEST 137 STREET,,FAILURE TO FILE BENCHMARKING REPORT OF ENERGY USE AS PER AD. CODE SEC. 28-309.4,V*050219BENCH00963,V*-DOB VIOLATION - DISMISSED,BENCH-FAILURE TO BENCHMARK,20200305.0,CHALLENGE APPROVED,
2407333,3,3161205,6244.0,17.0,20191030,AEUHAZ1,00447,1326,77 STREET,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V*103019AEUHAZ100447,V*-DOB VIOLATION - DISMISSED,AEUHAZ1-FAIL TO CERTIFY CLASS 1,20191213.0,ECB DISMISSED,35416074J
2402414,1,1082356,2179.0,170.0,20191001,RWNRF,00096,174,PINEHURST AVENUE,,FAILED TO FILE CYCLE 1 TECHNICAL REPORT BY 12/31/2018 PER RCNY 103-09,V100119RWNRF00096,V-DOB VIOLATION - ACTIVE,RWNRF-RETAINING WALL,,,
2356136,2,2055675,4572.0,25.0,20190529,AEUHAZ1,00260,800,BURKE AVENUE,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V052919AEUHAZ100260,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1,,,35383744L
2393037,3,3398355,149.0,101.0,20190906,ACC1,08666,336,FLATBUSH AVENUE EXTENSION,3P14287,VIO ISSUED TO ELEVATOR - FAIL TO CORRECT DEFECTS ON 2017 CAT 1 INSP/TST TST,V*090619ACC108666,V*-DOB VIOLATION - DISMISSED,ACC1-(OTHER BLDGS TYPES) - ELEVATOR AFFIRMATION OF CORRECTION,20191008.0,"ACC1    2017 AOC WAS DONE ON TIME, 01/24/18.",
2339875,3,3072246,3172.0,20.0,20190405,EVCAT1,03704,134,JEFFERSON STREET,3W10933,VIOLATION ISSUED TO ELEVATOR - FAILURE TO FILE CATEGORY 1 2017 INSPECTION/TEST,V*040519EVCAT103704,V*-DOB VIOLATION - DISMISSED,EVCAT1-ELEVATOR ANNUAL INSPECTION / TEST,20190828.0,"CIAMDD DISMISSED,2017 CAT1 PENALTY PAID- INV#62107045, CHK#074836.",
2419640,3,3399034,505.0,60.0,20191108,LBLVIO,11130,31,RICHARDS STREET,00172096,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V110819LBLVIO11130,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER,,,
