MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
20,RL,70.0,11200,2,0,Reg,Lvl,AllPub,Inside,2,Sawyer,Norm,Norm,1Fam,1Story,5,5,old,old,Hip,CompShg,HdBoard,HdBoard,None,0.0,2,3,CBlock,4,4,2,3,906,1,0,134,1040,GasA,5,Y,SBrkr,1040,0,0,1040,1,0,1,0,3,1,3,5,7,0,1,Detchd,old,1,1,384,4,4,3,0,0,0,0,0,0,1,0,NA,0,2,new,WD,Normal,129500
60,RL,85.0,11924,2,0,IR1,Lvl,AllPub,Inside,2,NridgHt,Norm,Norm,1Fam,2Story,9,5,new,new,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,4,3,PConc,6,4,2,6,998,1,0,177,1175,GasA,5,Y,SBrkr,1182,1142,0,2324,1,0,3,0,4,1,5,11,7,2,5,BuiltIn,new,3,3,736,4,4,3,147,21,0,0,0,0,1,0,NA,0,7,new,New,Partial,345000
20,RL,0.0,12968,2,0,IR2,Lvl,AllPub,Inside,2,Sawyer,Norm,Norm,1Fam,1Story,5,6,old,old,Hip,CompShg,HdBoard,Plywood,None,0.0,2,3,CBlock,4,4,2,5,737,1,0,175,912,GasA,3,Y,SBrkr,912,0,0,912,1,0,1,0,2,1,3,4,7,0,1,Detchd,old,1,1,352,4,4,3,140,0,0,0,176,0,1,0,NA,0,9,new,WD,Normal,144000
20,RL,91.0,10652,2,0,IR1,Lvl,AllPub,Inside,2,CollgCr,Norm,Norm,1Fam,1Story,7,5,new,new,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,3,3,PConc,5,4,4,1,0,1,0,1494,1494,GasA,5,Y,SBrkr,1494,0,0,1494,0,0,2,0,3,1,4,7,7,1,5,Attchd,new,2,3,840,4,4,3,160,33,0,0,0,0,1,0,NA,0,8,new,New,Partial,279500
20,RL,0.0,10920,2,0,IR1,Lvl,AllPub,Corner,2,NAmes,Norm,Norm,1Fam,1Story,6,5,old,old,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,2,3,CBlock,4,4,2,4,733,1,0,520,1253,GasA,3,Y,SBrkr,1253,0,0,1253,1,0,1,1,2,1,3,5,7,1,3,Attchd,old,2,1,352,4,4,3,0,213,176,0,0,0,1,2,NA,0,5,new,WD,Normal,157000
45,RM,51.0,6120,2,0,Reg,Lvl,AllPub,Corner,2,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,old,new,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,3,BrkTil,4,4,2,1,0,1,0,832,832,GasA,5,Y,FuseA,854,0,0,854,0,0,1,0,2,1,3,5,7,0,1,Detchd,mid,1,2,576,4,4,3,48,112,0,0,0,0,1,4,NA,0,7,new,WD,Normal,132000
20,RL,0.0,11241,2,0,IR1,Lvl,AllPub,CulDSac,2,NAmes,Norm,Norm,1Fam,1Story,6,7,old,old,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,2,3,CBlock,4,4,2,5,578,1,0,426,1004,GasA,5,Y,SBrkr,1004,0,0,1004,1,0,1,0,2,1,3,5,7,1,4,Attchd,old,3,2,480,4,4,3,0,0,0,0,0,0,1,0,Shed,700,3,new,WD,Normal,149000
90,RL,72.0,10791,2,0,Reg,Lvl,AllPub,Inside,2,Sawyer,Norm,Norm,Duplex,1Story,4,5,old,old,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,3,Slab,1,1,1,0,0,0,0,0,0,GasA,3,Y,SBrkr,1296,0,0,1296,0,0,2,0,2,2,3,6,7,0,1,CarPort,old,1,2,516,4,4,3,0,0,0,0,0,0,1,0,Shed,500,10,new,WD,Normal,90000
20,RL,66.0,13695,2,0,Reg,Lvl,AllPub,Inside,2,SawyerW,RRAe,Norm,1Fam,1Story,5,5,new,new,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,3,PConc,4,4,2,6,646,1,0,468,1114,GasA,5,Y,SBrkr,1114,0,0,1114,1,0,1,1,3,1,4,6,7,0,1,Detchd,new,1,2,576,4,4,3,0,102,0,0,0,0,1,0,NA,0,6,new,WD,Normal,159000
20,RL,70.0,7560,2,0,Reg,Lvl,AllPub,Inside,2,NAmes,Norm,Norm,1Fam,1Story,5,6,old,old,Hip,CompShg,BrkFace,Plywood,None,0.0,2,3,CBlock,4,4,2,2,504,1,0,525,1029,GasA,3,Y,SBrkr,1339,0,0,1339,0,0,1,0,3,1,3,6,6,0,1,Attchd,old,1,1,294,4,4,3,0,0,0,0,0,0,1,3,NA,0,5,new,COD,Abnorml,139000
60,RL,101.0,14215,2,0,IR1,Lvl,AllPub,Corner,2,NridgHt,Norm,Norm,1Fam,2Story,8,5,new,new,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,3,3,PConc,6,4,4,1,0,1,0,1158,1158,GasA,5,Y,SBrkr,1158,1218,0,2376,0,0,3,1,4,1,4,9,7,1,5,BuiltIn,new,2,3,853,4,4,3,240,154,0,0,0,0,1,0,NA,0,11,new,New,Partial,325300
45,RM,57.0,7449,2,1,Reg,Bnk,AllPub,Inside,2,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,old,old,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,3,PConc,4,4,2,1,0,1,0,637,637,GasA,5,Y,FuseF,1108,0,0,1108,0,0,1,0,3,1,4,6,7,1,5,Attchd,old,1,1,280,4,4,1,0,0,205,0,0,0,1,4,NA,0,6,new,WD,Normal,139400
20,RL,75.0,9742,2,0,Reg,Lvl,AllPub,Inside,2,CollgCr,Norm,Norm,1Fam,1Story,8,5,new,new,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,3,3,PConc,5,4,2,1,0,1,0,1777,1777,GasA,5,Y,SBrkr,1795,0,0,1795,0,0,2,0,3,1,4,7,7,1,5,Attchd,new,2,2,534,4,4,3,171,159,0,0,0,0,1,0,NA,0,9,new,WD,Normal,230000
120,RM,44.0,4224,2,0,Reg,Lvl,AllPub,Inside,2,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,old,old,Gable,CompShg,CemntBd,CmentBd,None,0.0,2,3,PConc,5,4,2,6,840,1,0,200,1040,GasA,3,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,3,6,7,1,4,Attchd,old,1,2,572,4,4,3,100,110,0,0,0,0,1,0,NA,0,6,new,WD,Normal,129900
20,RL,0.0,8246,2,0,IR1,Lvl,AllPub,Inside,2,Sawyer,Norm,Norm,1Fam,1Story,5,8,old,new,Gable,CompShg,Plywood,Plywood,None,0.0,2,4,CBlock,4,4,3,3,188,5,668,204,1060,GasA,5,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,4,6,7,1,4,Attchd,old,1,1,270,4,4,3,406,90,0,0,0,0,1,3,NA,0,5,new,WD,Normal,154000
20,RL,110.0,14230,2,0,Reg,Lvl,AllPub,Corner,2,NridgHt,Norm,Norm,1Fam,1Story,8,5,new,new,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,3,3,PConc,5,4,2,1,0,1,0,1566,1566,GasA,5,Y,SBrkr,1600,0,0,1600,0,0,2,0,3,1,4,7,7,1,5,Attchd,new,2,3,890,4,4,3,0,56,0,0,0,0,1,0,NA,0,7,new,WD,Normal,256300
20,RL,60.0,7200,2,0,Reg,Lvl,AllPub,Corner,2,NAmes,Norm,Norm,1Fam,1Story,5,7,old,new,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,3,CBlock,4,4,3,4,234,3,486,180,900,GasA,3,Y,SBrkr,900,0,0,900,0,1,1,0,3,1,4,5,7,0,1,Detchd,new,1,2,576,4,4,3,222,32,0,0,0,0,1,0,NA,0,5,new,WD,Normal,134800
20,RL,98.0,11478,2,0,Reg,Lvl,AllPub,Inside,2,NridgHt,Norm,Norm,1Fam,1Story,8,5,new,new,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,3,3,PConc,6,4,2,6,1218,1,0,486,1704,GasA,5,Y,SBrkr,1704,0,0,1704,1,0,2,0,3,1,4,7,7,1,5,Attchd,new,2,3,772,4,4,3,0,50,0,0,0,0,1,0,NA,0,5,new,WD,Normal,306000
20,RL,47.0,16321,2,0,IR1,Lvl,AllPub,CulDSac,2,NAmes,Norm,Norm,1Fam,1Story,5,6,old,mid,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,3,CBlock,4,4,5,4,1277,1,0,207,1484,GasA,3,Y,SBrkr,1600,0,0,1600,1,0,1,0,2,1,3,6,7,2,5,Attchd,old,2,1,319,4,4,3,288,258,0,0,0,0,1,0,NA,0,12,new,WD,Normal,207500
30,RM,60.0,6324,2,0,IR1,Lvl,AllPub,Inside,2,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,old,old,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,3,BrkTil,4,4,2,1,0,1,0,520,520,GasA,2,N,SBrkr,520,0,0,520,0,0,1,0,1,1,2,4,7,0,1,Detchd,old,1,1,240,3,4,3,49,0,87,0,0,0,1,0,NA,0,5,new,WD,Normal,68500
70,C (all),50.0,8500,2,2,Reg,Lvl,AllPub,Inside,2,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,old,old,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,2,2,BrkTil,4,4,2,1,0,1,0,649,649,GasA,3,N,SBrkr,649,668,0,1317,0,0,1,0,3,1,3,6,7,0,1,Detchd,old,1,1,250,4,3,1,0,54,172,0,0,0,1,3,NA,0,7,new,WD,Normal,40000
20,RL,0.0,8544,2,0,IR1,Lvl,AllPub,CulDSac,2,Sawyer,Norm,Norm,1Fam,1Story,5,6,old,new,Gable,CompShg,HdBoard,HdBoard,None,0.0,2,3,CBlock,4,4,2,1,0,1,0,1228,1228,GasA,4,Y,SBrkr,1228,0,0,1228,0,0,1,1,3,1,4,6,7,0,1,Attchd,old,1,1,271,4,4,3,0,65,0,0,0,0,1,3,NA,0,6,new,WD,Normal,149350
20,RL,85.0,11049,2,0,Reg,Lvl,AllPub,Corner,2,CollgCr,Norm,Norm,1Fam,1Story,8,5,new,new,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,6,4,4,1,0,1,0,1234,1234,GasA,5,Y,SBrkr,1234,0,0,1234,0,0,2,0,3,1,4,7,7,0,1,Attchd,new,2,2,484,4,4,3,0,30,0,0,0,0,1,0,NA,0,1,new,WD,Normal,179900
20,RL,70.0,10552,2,0,IR1,Lvl,AllPub,Inside,2,NAmes,Norm,Norm,1Fam,1Story,5,5,old,old,Hip,CompShg,BrkFace,BrkFace,None,0.0,2,3,CBlock,4,4,2,3,1018,1,0,380,1398,GasA,4,Y,SBrkr,1700,0,0,1700,0,1,1,1,4,1,4,6,7,1,5,Attchd,old,2,2,447,4,4,3,0,38,0,0,0,0,1,0,NA,0,4,new,WD,Normal,165500
120,RL,60.0,7313,2,0,Reg,Lvl,AllPub,Inside,2,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,new,new,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,4,3,PConc,6,4,2,6,1153,1,0,408,1561,GasA,5,Y,SBrkr,1561,0,0,1561,1,0,2,0,2,1,5,6,7,1,5,Attchd,new,3,2,556,4,4,3,203,47,0,0,0,0,1,0,NA,0,8,new,WD,Normal,277500
60,RL,108.0,13418,2,0,Reg,Lvl,AllPub,Inside,2,NridgHt,Norm,Norm,1Fam,2Story,8,5,new,new,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,3,3,PConc,6,4,4,1,0,1,0,1117,1117,GasA,5,Y,SBrkr,1132,1320,0,2452,0,0,3,1,4,1,4,9,7,1,5,BuiltIn,new,3,3,691,4,4,3,113,32,0,0,0,0,1,0,NA,0,9,new,WD,Normal,309000
20,RL,112.0,10859,2,0,Reg,Lvl,AllPub,Corner,2,CollgCr,Norm,Norm,1Fam,1Story,5,5,mid,mid,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,3,PConc,5,4,2,1,0,1,0,1097,1097,GasA,5,Y,SBrkr,1097,0,0,1097,0,0,1,1,3,1,3,6,7,0,1,Attchd,mid,1,2,672,4,4,3,392,64,0,0,0,0,1,0,NA,0,6,new,WD,Normal,145000
20,RL,74.0,8532,2,0,Reg,Lvl,AllPub,Inside,2,NAmes,Norm,Norm,1Fam,1Story,5,6,old,mid,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,2,3,CBlock,4,4,2,3,1213,1,0,84,1297,GasA,4,Y,SBrkr,1297,0,0,1297,0,1,1,0,3,1,3,5,7,1,4,Attchd,old,3,2,498,4,4,3,0,0,0,0,0,0,1,0,NA,0,10,new,WD,Normal,153000
20,RL,68.0,7922,2,0,Reg,Lvl,AllPub,Inside,2,NAmes,Norm,Norm,1Fam,1Story,5,7,old,new,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,4,CBlock,4,4,2,6,731,1,0,326,1057,GasA,3,Y,SBrkr,1057,0,0,1057,1,0,1,0,3,1,4,5,7,0,1,Detchd,old,1,1,246,4,4,3,0,52,0,0,0,0,1,0,NA,0,1,new,WD,Abnorml,109000
90,RL,65.0,6040,2,0,Reg,Lvl,AllPub,Inside,2,Edwards,Norm,Norm,Duplex,1Story,4,5,old,old,Gable,CompShg,AsbShng,Plywood,None,0.0,2,3,PConc,1,1,1,0,0,0,0,0,0,GasA,3,N,FuseP,1152,0,0,1152,0,0,2,0,2,2,2,6,7,0,1,NA,old,0,0,0,1,1,1,0,0,0,0,0,0,1,0,NA,0,6,new,WD,AdjLand,82000
20,RL,84.0,8658,2,0,Reg,Lvl,AllPub,Inside,2,NAmes,Norm,Norm,1Fam,1Story,6,5,old,old,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,2,3,CBlock,4,4,2,3,643,1,0,445,1088,GasA,5,Y,SBrkr,1324,0,0,1324,0,0,2,0,3,1,3,6,7,1,4,Attchd,old,2,2,440,4,4,3,0,138,0,0,0,0,1,2,NA,0,12,new,WD,Abnorml,160000
20,RL,115.0,16905,2,0,Reg,Lvl,AllPub,Inside,2,Timber,Norm,Norm,1Fam,1Story,5,6,old,old,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,4,CBlock,4,4,5,4,967,1,0,383,1350,GasA,4,Y,SBrkr,1328,0,0,1328,0,1,1,1,2,1,3,5,7,2,5,Attchd,old,2,1,308,4,4,2,0,104,0,0,0,0,1,0,NA,0,7,new,WD,Normal,170000
85,RL,0.0,9180,2,0,IR1,Lvl,AllPub,CulDSac,2,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,mid,mid,Gable,CompShg,HdBoard,HdBoard,None,0.0,2,3,CBlock,5,4,4,5,747,2,93,0,840,GasA,4,Y,SBrkr,884,0,0,884,1,0,1,0,2,1,4,5,7,0,1,Attchd,mid,2,2,504,4,5,3,240,0,0,0,0,0,1,3,NA,0,12,new,WD,Normal,144000
20,RL,0.0,9200,2,0,IR1,Lvl,AllPub,CulDSac,2,CollgCr,Norm,Norm,1Fam,1Story,5,6,old,mid,Hip,CompShg,VinylSd,VinylSd,None,0.0,2,3,CBlock,5,4,4,2,280,4,491,167,938,GasA,3,Y,SBrkr,938,0,0,938,1,0,1,0,3,1,3,5,7,0,1,Detchd,old,1,1,308,4,4,3,145,0,0,0,0,0,1,3,NA,0,7,new,WD,Normal,130250
20,RL,70.0,7945,2,0,Reg,Lvl,AllPub,Inside,2,NAmes,Norm,Norm,1Fam,1Story,5,6,old,old,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,2,3,CBlock,4,4,2,5,179,4,506,465,1150,GasA,5,Y,FuseA,1150,0,0,1150,1,0,1,0,3,1,3,6,7,0,1,Attchd,old,2,1,300,4,4,3,0,0,0,0,0,0,1,0,NA,0,5,new,WD,Normal,141000
120,RL,61.0,7658,2,0,Reg,Lvl,AllPub,Inside,2,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,new,new,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,4,3,PConc,6,4,2,6,456,1,0,1296,1752,GasA,5,Y,SBrkr,1752,0,0,1752,1,0,2,0,2,1,5,6,7,1,5,Attchd,new,2,2,576,4,4,3,196,82,0,0,0,0,1,0,NA,0,2,new,WD,Normal,319900
50,RL,48.0,12822,2,0,IR1,Lvl,AllPub,CulDSac,2,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,new,new,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,6,4,2,6,1351,1,0,83,1434,GasA,5,Y,SBrkr,1518,631,0,2149,1,0,1,1,1,1,4,6,7,1,6,Attchd,new,2,2,670,4,4,3,168,43,0,0,198,0,1,0,NA,0,8,new,WD,Abnorml,239686
20,FV,84.0,11096,2,0,Reg,Lvl,AllPub,Inside,2,Somerst,Norm,Norm,1Fam,1Story,8,5,new,new,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,5,4,4,6,24,1,0,1632,1656,GasA,5,Y,SBrkr,1656,0,0,1656,0,0,2,0,3,1,4,7,7,0,1,Attchd,new,2,3,826,4,4,3,0,146,0,0,0,0,1,0,NA,0,7,new,WD,Normal,249700
190,RM,33.0,4456,2,0,Reg,Lvl,AllPub,Inside,2,OldTown,Norm,Norm,2fmCon,2Story,4,5,old,new,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,3,BrkTil,4,4,2,1,0,1,0,736,736,GasA,4,Y,SBrkr,736,716,0,1452,0,0,2,0,2,3,3,8,7,0,1,NA,old,0,0,0,1,1,1,0,0,102,0,0,0,1,0,NA,0,6,new,New,Partial,113000
20,RL,66.0,7742,2,0,Reg,Lvl,AllPub,Inside,2,Sawyer,Norm,Norm,1Fam,1Story,5,7,old,old,Gable,CompShg,HdBoard,HdBoard,None,0.0,2,3,CBlock,4,4,2,4,763,1,0,192,955,GasA,5,Y,SBrkr,955,0,0,955,1,0,1,0,3,1,3,6,7,0,1,Attchd,old,1,1,386,4,4,3,0,0,0,0,0,0,1,3,NA,0,1,new,WD,Normal,127000
60,RL,0.0,13869,2,0,IR2,Lvl,AllPub,Corner,2,Gilbert,Norm,Norm,1Fam,2Story,6,6,mid,mid,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,3,PConc,5,4,4,6,182,1,0,612,794,GasA,4,Y,SBrkr,794,676,0,1470,0,1,2,0,3,1,3,6,7,0,1,Attchd,mid,3,2,388,4,4,3,0,75,0,0,0,0,1,0,NA,0,7,new,WD,Normal,177000
50,RM,52.0,6240,2,0,Reg,Lvl,AllPub,Inside,2,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,old,old,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,3,PConc,4,4,2,1,0,1,0,816,816,GasA,3,Y,SBrkr,816,0,360,1176,0,0,1,0,3,1,3,6,7,1,5,Detchd,mid,1,2,528,4,4,3,112,0,0,0,0,0,1,3,Shed,400,9,new,WD,Normal,114500
90,RM,110.0,8472,1,0,IR2,Bnk,AllPub,Corner,1,IDOTRR,RRNn,Norm,Duplex,1Story,5,5,old,old,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,1,3,CBlock,5,4,5,2,104,6,712,0,816,GasA,3,N,SBrkr,816,0,0,816,1,0,1,0,2,1,3,5,7,0,1,CarPort,old,1,2,516,4,4,3,106,0,0,0,0,0,1,0,NA,0,5,new,WD,Normal,110000
20,RL,68.0,50271,2,0,IR1,Low,AllPub,Inside,2,Veenker,Norm,Norm,1Fam,1Story,9,5,mid,mid,Gable,WdShngl,WdShing,Wd Shng,None,0.0,3,3,CBlock,6,4,5,6,1810,1,0,32,1842,GasA,4,Y,SBrkr,1842,0,0,1842,2,0,0,1,0,1,4,5,7,1,5,Attchd,mid,3,3,894,4,4,3,857,72,0,0,0,0,1,0,NA,0,11,new,WD,Normal,385000
80,RL,60.0,7134,2,0,Reg,Bnk,AllPub,Inside,1,NAmes,Norm,Norm,1Fam,SLvl,5,5,old,old,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,3,CBlock,4,4,2,5,384,1,0,0,384,GasA,3,Y,SBrkr,1360,0,0,1360,0,0,1,0,3,1,3,6,6,1,4,Detchd,old,1,2,572,4,4,3,0,50,0,0,0,0,1,3,NA,0,2,new,WD,Normal,130000
20,RL,100.0,10175,2,0,IR1,Lvl,AllPub,Inside,2,NAmes,Norm,Norm,1Fam,1Story,6,5,old,old,Gable,CompShg,HdBoard,Plywood,BrkFace,272.0,2,3,CBlock,4,4,2,4,490,1,0,935,1425,GasA,4,Y,SBrkr,1425,0,0,1425,0,0,2,0,3,1,3,7,7,1,5,Attchd,old,2,2,576,4,4,3,0,0,0,407,0,0,1,0,NA,0,7,new,WD,Normal,180500
160,FV,24.0,2645,2,2,Reg,Lvl,AllPub,Inside,2,Somerst,Norm,Norm,Twnhs,2Story,8,5,mid,new,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,3,3,PConc,5,4,2,6,649,1,0,321,970,GasA,5,Y,SBrkr,983,756,0,1739,1,0,2,1,3,1,4,7,7,0,1,Attchd,mid,3,2,480,4,4,3,115,0,0,0,0,0,1,0,NA,0,8,new,WD,Abnorml,172500
