"Class","Age","Sex","SurvivalStatus"
"1st","Quantity[28., ""Years""]","female","survived"
"1st","Quantity[23., ""Years""]","female","survived"
"1st","Quantity[19., ""Years""]","male","died"
"1st","Quantity[64., ""Years""]","male","died"
"1st","Quantity[60., ""Years""]","female","survived"
"1st","Quantity[30., ""Years""]","female","survived"
"1st","Missing[""Not Available""]","male","died"
"1st","Quantity[50., ""Years""]","male","survived"
"1st","Quantity[43., ""Years""]","male","survived"
"1st","Missing[""Not Available""]","female","survived"
"1st","Quantity[22., ""Years""]","female","survived"
"1st","Quantity[60., ""Years""]","male","survived"
"1st","Quantity[48., ""Years""]","female","survived"
"1st","Missing[""Not Available""]","male","died"
"1st","Quantity[37., ""Years""]","male","died"
"1st","Quantity[35., ""Years""]","female","survived"
"1st","Quantity[47., ""Years""]","male","died"
"1st","Quantity[35., ""Years""]","female","survived"
"1st","Quantity[22., ""Years""]","female","survived"
"1st","Quantity[45., ""Years""]","female","survived"
"1st","Quantity[24., ""Years""]","male","died"
"1st","Quantity[49., ""Years""]","male","survived"
"1st","Missing[""Not Available""]","female","survived"
"1st","Quantity[71., ""Years""]","male","died"
"1st","Quantity[53., ""Years""]","male","survived"
"1st","Quantity[19., ""Years""]","female","survived"
"1st","Quantity[38., ""Years""]","male","died"
"1st","Quantity[58., ""Years""]","female","survived"
"1st","Quantity[23., ""Years""]","male","survived"
"1st","Quantity[45., ""Years""]","female","survived"
"1st","Quantity[46., ""Years""]","male","died"
"1st","Quantity[25., ""Years""]","male","survived"
"1st","Quantity[25., ""Years""]","female","survived"
"1st","Quantity[48., ""Years""]","male","survived"
"1st","Quantity[49., ""Years""]","female","survived"
"1st","Missing[""Not Available""]","male","died"
"1st","Quantity[45., ""Years""]","male","died"
"1st","Quantity[35., ""Years""]","female","survived"
"1st","Quantity[40., ""Years""]","male","died"
"1st","Quantity[27., ""Years""]","male","survived"
"1st","Missing[""Not Available""]","male","survived"
"1st","Quantity[24., ""Years""]","female","survived"
"1st","Quantity[55., ""Years""]","male","died"
"1st","Quantity[52., ""Years""]","female","survived"
"1st","Quantity[42., ""Years""]","male","died"
"1st","Missing[""Not Available""]","male","died"
"1st","Quantity[55., ""Years""]","male","died"
"1st","Quantity[16., ""Years""]","female","survived"
"1st","Quantity[44., ""Years""]","female","survived"
"1st","Quantity[51., ""Years""]","female","survived"
"1st","Quantity[42., ""Years""]","male","died"
"1st","Quantity[35., ""Years""]","female","survived"
"1st","Quantity[35., ""Years""]","male","survived"
"1st","Quantity[38., ""Years""]","male","survived"
"1st","Missing[""Not Available""]","male","died"
"1st","Quantity[35., ""Years""]","female","survived"
"1st","Quantity[38., ""Years""]","female","survived"
"1st","Quantity[50., ""Years""]","female","died"
"1st","Quantity[49., ""Years""]","male","survived"
"1st","Quantity[46., ""Years""]","male","died"
"1st","Quantity[50., ""Years""]","male","died"
"1st","Quantity[32.5, ""Years""]","male","died"
"1st","Quantity[58., ""Years""]","male","died"
"1st","Quantity[41., ""Years""]","male","died"
"1st","Missing[""Not Available""]","female","survived"
"1st","Quantity[42., ""Years""]","male","survived"
"1st","Quantity[45., ""Years""]","female","survived"
"1st","Missing[""Not Available""]","male","died"
"1st","Quantity[39., ""Years""]","female","survived"
"1st","Quantity[49., ""Years""]","female","survived"
"1st","Quantity[30., ""Years""]","female","survived"
"1st","Quantity[35., ""Years""]","male","survived"
"1st","Missing[""Not Available""]","male","died"
"1st","Quantity[42., ""Years""]","male","died"
"1st","Quantity[55., ""Years""]","female","survived"
"1st","Quantity[16., ""Years""]","female","survived"
"1st","Quantity[51., ""Years""]","female","survived"
"1st","Quantity[29., ""Years""]","male","died"
"1st","Quantity[21., ""Years""]","female","survived"
"1st","Quantity[30., ""Years""]","male","died"
"1st","Quantity[58., ""Years""]","female","survived"
"1st","Quantity[15., ""Years""]","female","survived"
"1st","Quantity[30., ""Years""]","male","died"
"1st","Quantity[16., ""Years""]","female","survived"
"1st","Missing[""Not Available""]","male","survived"
"1st","Quantity[19., ""Years""]","male","died"
"1st","Quantity[18., ""Years""]","female","survived"
"1st","Quantity[24., ""Years""]","female","survived"
"1st","Quantity[46., ""Years""]","male","died"
"1st","Quantity[54., ""Years""]","male","died"
"1st","Quantity[36., ""Years""]","male","survived"
"1st","Quantity[28., ""Years""]","male","died"
"1st","Missing[""Not Available""]","female","survived"
"1st","Quantity[65., ""Years""]","male","died"
"1st","Quantity[44., ""Years""]","male","died"
"1st","Quantity[33., ""Years""]","female","survived"
"1st","Quantity[37., ""Years""]","female","survived"
"1st","Quantity[30., ""Years""]","male","survived"
"1st","Quantity[55., ""Years""]","male","died"
"1st","Quantity[47., ""Years""]","male","died"
"1st","Quantity[37., ""Years""]","male","died"
"1st","Quantity[31., ""Years""]","female","survived"
"1st","Quantity[23., ""Years""]","female","survived"
"1st","Quantity[58., ""Years""]","male","died"
"1st","Quantity[19., ""Years""]","female","survived"
"1st","Quantity[64., ""Years""]","male","died"
"1st","Quantity[39., ""Years""]","female","survived"
"1st","Missing[""Not Available""]","male","survived"
"1st","Quantity[22., ""Years""]","female","survived"
"1st","Quantity[65., ""Years""]","male","died"
"1st","Quantity[28.5, ""Years""]","male","died"
"1st","Missing[""Not Available""]","male","died"
"1st","Quantity[45.5, ""Years""]","male","died"
"1st","Quantity[23., ""Years""]","male","died"
"1st","Quantity[29., ""Years""]","male","died"
"1st","Quantity[22., ""Years""]","female","survived"
"1st","Quantity[18., ""Years""]","male","died"
"1st","Quantity[17., ""Years""]","female","survived"
"1st","Quantity[30., ""Years""]","female","survived"
"1st","Quantity[52., ""Years""]","male","survived"
"1st","Quantity[47., ""Years""]","male","died"
"1st","Quantity[56., ""Years""]","female","survived"
"1st","Quantity[38., ""Years""]","male","died"
"1st","Missing[""Not Available""]","male","survived"
"1st","Quantity[22., ""Years""]","male","died"
"1st","Missing[""Not Available""]","male","died"
"1st","Quantity[43., ""Years""]","female","survived"
"1st","Quantity[31., ""Years""]","male","died"
"1st","Quantity[45., ""Years""]","male","survived"
"1st","Missing[""Not Available""]","male","died"
"1st","Quantity[33., ""Years""]","female","survived"
"1st","Quantity[46., ""Years""]","male","died"
"1st","Quantity[36., ""Years""]","male","died"
"1st","Quantity[33., ""Years""]","female","survived"
"1st","Quantity[55., ""Years""]","male","died"
"1st","Quantity[54., ""Years""]","female","survived"
"1st","Quantity[33., ""Years""]","male","died"
"1st","Quantity[13., ""Years""]","male","survived"
"1st","Quantity[18., ""Years""]","female","survived"
"1st","Quantity[21., ""Years""]","female","survived"
"1st","Quantity[61., ""Years""]","male","died"
"1st","Quantity[48., ""Years""]","female","survived"
"1st","Missing[""Not Available""]","male","survived"
"1st","Quantity[24., ""Years""]","female","survived"
"1st","Missing[""Not Available""]","male","survived"
"1st","Quantity[35., ""Years""]","female","survived"
"1st","Quantity[30., ""Years""]","female","survived"
"1st","Quantity[34., ""Years""]","male","survived"
"1st","Quantity[40., ""Years""]","female","survived"
"1st","Quantity[35., ""Years""]","male","survived"
"1st","Quantity[50., ""Years""]","male","died"
"1st","Quantity[39., ""Years""]","female","survived"
"1st","Quantity[56., ""Years""]","male","survived"
"1st","Quantity[28., ""Years""]","male","survived"
"1st","Quantity[56., ""Years""]","male","died"
"1st","Quantity[56., ""Years""]","male","died"
"1st","Quantity[24., ""Years""]","male","died"
"1st","Missing[""Not Available""]","male","died"
"1st","Quantity[18., ""Years""]","female","survived"
"1st","Quantity[24., ""Years""]","male","survived"
"1st","Quantity[23., ""Years""]","female","survived"
"1st","Quantity[6., ""Years""]","male","survived"
"1st","Quantity[45., ""Years""]","male","survived"
"1st","Quantity[40., ""Years""]","female","survived"
"1st","Quantity[57., ""Years""]","male","died"
"1st","Missing[""Not Available""]","female","survived"
"1st","Quantity[32., ""Years""]","male","survived"
"1st","Quantity[62., ""Years""]","male","died"
"1st","Quantity[54., ""Years""]","male","survived"
"1st","Quantity[43., ""Years""]","female","survived"
"1st","Quantity[52., ""Years""]","female","survived"
"1st","Missing[""Not Available""]","male","died"
"1st","Quantity[62., ""Years""]","female","survived"
"1st","Quantity[67., ""Years""]","male","died"
"1st","Quantity[63., ""Years""]","female","died"
"1st","Quantity[61., ""Years""]","male","died"
"1st","Quantity[48., ""Years""]","female","survived"
"1st","Quantity[18., ""Years""]","female","survived"
"1st","Quantity[52., ""Years""]","male","died"
"1st","Quantity[39., ""Years""]","female","survived"
"1st","Quantity[48., ""Years""]","male","survived"
"1st","Missing[""Not Available""]","female","survived"
"1st","Quantity[49., ""Years""]","male","died"
"1st","Quantity[17., ""Years""]","male","survived"
"1st","Quantity[39., ""Years""]","female","survived"
"1st","Missing[""Not Available""]","female","survived"
"1st","Quantity[31., ""Years""]","male","survived"
"1st","Quantity[40., ""Years""]","male","died"
"1st","Quantity[61., ""Years""]","male","died"
"1st","Quantity[47., ""Years""]","male","died"
"1st","Quantity[35., ""Years""]","female","survived"
"1st","Quantity[64., ""Years""]","male","died"
"1st","Quantity[60., ""Years""]","female","survived"
"1st","Quantity[60., ""Years""]","male","died"
"1st","Quantity[54., ""Years""]","male","died"
"1st","Quantity[21., ""Years""]","male","died"
"1st","Quantity[55., ""Years""]","female","survived"
"1st","Quantity[31., ""Years""]","female","survived"
"1st","Quantity[57., ""Years""]","male","died"
"1st","Quantity[45., ""Years""]","female","survived"
"1st","Quantity[50., ""Years""]","male","died"
"1st","Quantity[27., ""Years""]","male","died"
"1st","Quantity[50., ""Years""]","female","survived"
"1st","Quantity[21., ""Years""]","female","survived"
"1st","Quantity[51., ""Years""]","male","died"
"1st","Quantity[21., ""Years""]","male","survived"
"1st","Missing[""Not Available""]","male","died"
"1st","Quantity[31., ""Years""]","female","survived"
"1st","Missing[""Not Available""]","male","survived"
"1st","Quantity[62., ""Years""]","male","died"
"1st","Quantity[36., ""Years""]","female","survived"
"2nd","Quantity[30., ""Years""]","male","died"
"2nd","Quantity[28., ""Years""]","female","survived"
"2nd","Quantity[30., ""Years""]","male","died"
"2nd","Quantity[18., ""Years""]","male","died"
"2nd","Quantity[25., ""Years""]","male","died"
"2nd","Quantity[34., ""Years""]","male","died"
"2nd","Quantity[36., ""Years""]","female","survived"
"2nd","Quantity[57., ""Years""]","male","died"
"2nd","Quantity[18., ""Years""]","male","died"
"2nd","Quantity[23., ""Years""]","male","died"
"2nd","Quantity[36., ""Years""]","female","survived"
"2nd","Quantity[28., ""Years""]","male","died"
"2nd","Quantity[51., ""Years""]","male","died"
"2nd","Quantity[32., ""Years""]","male","survived"
"2nd","Quantity[19., ""Years""]","female","survived"
"2nd","Quantity[28., ""Years""]","male","died"
"2nd","Quantity[1., ""Years""]","male","survived"
"2nd","Quantity[4., ""Years""]","female","survived"
"2nd","Quantity[12., ""Years""]","female","survived"
"2nd","Quantity[36., ""Years""]","female","survived"
"2nd","Quantity[34., ""Years""]","male","survived"
"2nd","Quantity[19., ""Years""]","female","survived"
"2nd","Quantity[23., ""Years""]","male","died"
"2nd","Quantity[26., ""Years""]","male","died"
"2nd","Quantity[42., ""Years""]","male","died"
"2nd","Quantity[27., ""Years""]","male","died"
"2nd","Quantity[24., ""Years""]","female","survived"
"2nd","Quantity[15., ""Years""]","female","survived"
"2nd","Quantity[60., ""Years""]","male","died"
"2nd","Quantity[40., ""Years""]","female","survived"
"2nd","Quantity[20., ""Years""]","female","survived"
"2nd","Quantity[25., ""Years""]","male","died"
"2nd","Quantity[36., ""Years""]","female","survived"
"2nd","Quantity[25., ""Years""]","male","died"
"2nd","Quantity[42., ""Years""]","male","died"
"2nd","Quantity[42., ""Years""]","female","survived"
"2nd","Quantity[0.8333, ""Years""]","male","survived"
"2nd","Quantity[26., ""Years""]","male","survived"
"2nd","Quantity[22., ""Years""]","female","survived"
"2nd","Quantity[35., ""Years""]","female","survived"
"2nd","Missing[""Not Available""]","male","died"
"2nd","Quantity[19., ""Years""]","male","died"
"2nd","Quantity[44., ""Years""]","female","died"
"2nd","Quantity[54., ""Years""]","male","died"
"2nd","Quantity[52., ""Years""]","male","died"
"2nd","Quantity[37., ""Years""]","male","died"
"2nd","Quantity[29., ""Years""]","female","died"
"2nd","Quantity[25., ""Years""]","female","survived"
"2nd","Quantity[45., ""Years""]","female","survived"
"2nd","Quantity[29., ""Years""]","male","died"
"2nd","Quantity[28., ""Years""]","female","survived"
"2nd","Quantity[29., ""Years""]","male","died"
"2nd","Quantity[28., ""Years""]","male","died"
"2nd","Quantity[24., ""Years""]","male","survived"
"2nd","Quantity[8., ""Years""]","female","survived"
"2nd","Quantity[31., ""Years""]","male","died"
"2nd","Quantity[31., ""Years""]","female","survived"
"2nd","Quantity[22., ""Years""]","female","survived"
"2nd","Quantity[30., ""Years""]","female","died"
"2nd","Missing[""Not Available""]","female","died"
"2nd","Quantity[21., ""Years""]","male","died"
"2nd","Missing[""Not Available""]","male","died"
"2nd","Quantity[8., ""Years""]","male","survived"
"2nd","Quantity[18., ""Years""]","male","died"
"2nd","Quantity[48., ""Years""]","female","survived"
"2nd","Quantity[28., ""Years""]","female","survived"
"2nd","Quantity[32., ""Years""]","male","died"
"2nd","Quantity[17., ""Years""]","male","died"
"2nd","Quantity[29., ""Years""]","male","died"
"2nd","Quantity[24., ""Years""]","female","survived"
"2nd","Quantity[25., ""Years""]","male","died"
"2nd","Quantity[18., ""Years""]","male","died"
"2nd","Quantity[18., ""Years""]","female","survived"
"2nd","Quantity[34., ""Years""]","female","survived"
"2nd","Quantity[54., ""Years""]","male","died"
"2nd","Quantity[8., ""Years""]","male","survived"
"2nd","Quantity[42., ""Years""]","male","died"
"2nd","Quantity[34., ""Years""]","female","survived"
"2nd","Quantity[27., ""Years""]","female","survived"
"2nd","Quantity[30., ""Years""]","female","survived"
"2nd","Quantity[23., ""Years""]","male","died"
"2nd","Quantity[21., ""Years""]","male","died"
"2nd","Quantity[18., ""Years""]","male","died"
"2nd","Quantity[40., ""Years""]","male","died"
"2nd","Quantity[29., ""Years""]","female","survived"
"2nd","Quantity[18., ""Years""]","male","died"
"2nd","Quantity[36., ""Years""]","male","died"
"2nd","Missing[""Not Available""]","male","died"
"2nd","Quantity[38., ""Years""]","female","died"
"2nd","Quantity[35., ""Years""]","male","died"
"2nd","Quantity[38., ""Years""]","male","died"
"2nd","Quantity[34., ""Years""]","male","died"
"2nd","Quantity[34., ""Years""]","female","survived"
"2nd","Quantity[16., ""Years""]","male","died"
"2nd","Quantity[26., ""Years""]","male","died"
"2nd","Quantity[47., ""Years""]","male","died"
"2nd","Quantity[21., ""Years""]","male","died"
"2nd","Quantity[21., ""Years""]","male","died"
"2nd","Quantity[24., ""Years""]","male","died"
"2nd","Quantity[24., ""Years""]","male","died"
"2nd","Quantity[34., ""Years""]","male","died"
"2nd","Quantity[30., ""Years""]","male","died"
"2nd","Quantity[52., ""Years""]","male","died"
"2nd","Quantity[30., ""Years""]","male","died"
"2nd","Quantity[0.6667, ""Years""]","male","survived"
"2nd","Quantity[24., ""Years""]","female","survived"
"2nd","Quantity[44., ""Years""]","male","died"
"2nd","Quantity[6., ""Years""]","female","survived"
"2nd","Quantity[28., ""Years""]","male","died"
"2nd","Quantity[62., ""Years""]","male","survived"
"2nd","Quantity[30., ""Years""]","male","died"
"2nd","Quantity[7., ""Years""]","female","survived"
"2nd","Quantity[43., ""Years""]","male","died"
"2nd","Quantity[45., ""Years""]","female","survived"
"2nd","Quantity[24., ""Years""]","female","survived"
"2nd","Quantity[24., ""Years""]","female","survived"
"2nd","Quantity[49., ""Years""]","male","died"
"2nd","Quantity[48., ""Years""]","female","survived"
"2nd","Quantity[55., ""Years""]","female","survived"
"2nd","Quantity[24., ""Years""]","male","died"
"2nd","Quantity[32., ""Years""]","male","died"
"2nd","Quantity[21., ""Years""]","male","died"
"2nd","Quantity[18., ""Years""]","female","died"
"2nd","Quantity[20., ""Years""]","female","survived"
"2nd","Quantity[23., ""Years""]","male","died"
"2nd","Quantity[36., ""Years""]","male","died"
"2nd","Quantity[54., ""Years""]","female","survived"
"2nd","Quantity[50., ""Years""]","male","died"
"2nd","Quantity[44., ""Years""]","male","died"
"2nd","Quantity[29., ""Years""]","female","survived"
"2nd","Quantity[21., ""Years""]","male","died"
"2nd","Quantity[42., ""Years""]","male","survived"
"2nd","Quantity[63., ""Years""]","male","died"
"2nd","Quantity[60., ""Years""]","female","died"
"2nd","Quantity[33., ""Years""]","male","died"
"2nd","Quantity[17., ""Years""]","female","survived"
"2nd","Quantity[42., ""Years""]","male","died"
"2nd","Quantity[24., ""Years""]","female","survived"
"2nd","Quantity[47., ""Years""]","male","died"
"2nd","Quantity[24., ""Years""]","male","died"
"2nd","Quantity[22., ""Years""]","male","died"
"2nd","Quantity[32., ""Years""]","male","died"
"2nd","Quantity[23., ""Years""]","female","survived"
"2nd","Quantity[34., ""Years""]","male","died"
"2nd","Quantity[24., ""Years""]","female","survived"
"2nd","Quantity[22., ""Years""]","female","died"
"2nd","Missing[""Not Available""]","female","survived"
"2nd","Quantity[35., ""Years""]","male","died"
"2nd","Quantity[45., ""Years""]","female","survived"
"2nd","Quantity[57., ""Years""]","male","died"
"2nd","Missing[""Not Available""]","male","died"
"2nd","Quantity[31., ""Years""]","male","died"
"2nd","Quantity[26., ""Years""]","female","died"
"2nd","Quantity[30., ""Years""]","male","died"
"2nd","Missing[""Not Available""]","male","died"
"2nd","Quantity[1., ""Years""]","female","survived"
"2nd","Quantity[3., ""Years""]","female","survived"
"2nd","Quantity[25., ""Years""]","male","died"
"2nd","Quantity[22., ""Years""]","female","survived"
"2nd","Quantity[17., ""Years""]","female","survived"
"2nd","Missing[""Not Available""]","female","survived"
"2nd","Quantity[34., ""Years""]","female","survived"
"2nd","Quantity[36., ""Years""]","male","died"
"2nd","Quantity[24., ""Years""]","male","died"
"2nd","Quantity[61., ""Years""]","male","died"
"2nd","Quantity[50., ""Years""]","male","died"
"2nd","Quantity[42., ""Years""]","female","survived"
"2nd","Quantity[57., ""Years""]","female","died"
"2nd","Missing[""Not Available""]","male","died"
"2nd","Quantity[1., ""Years""]","male","survived"
"2nd","Quantity[31., ""Years""]","male","died"
"2nd","Quantity[24., ""Years""]","female","survived"
"2nd","Missing[""Not Available""]","male","died"
"2nd","Quantity[30., ""Years""]","male","died"
"2nd","Quantity[40., ""Years""]","male","died"
"2nd","Quantity[32., ""Years""]","male","died"
"2nd","Quantity[30., ""Years""]","male","died"
"2nd","Quantity[46., ""Years""]","male","died"
"2nd","Quantity[13., ""Years""]","female","survived"
"2nd","Quantity[41., ""Years""]","female","survived"
"2nd","Quantity[19., ""Years""]","male","survived"
"2nd","Quantity[39., ""Years""]","male","died"
"2nd","Quantity[48., ""Years""]","male","died"
"2nd","Quantity[70., ""Years""]","male","died"
"2nd","Quantity[27., ""Years""]","male","died"
"2nd","Quantity[54., ""Years""]","male","died"
"2nd","Quantity[39., ""Years""]","male","died"
"2nd","Quantity[16., ""Years""]","male","died"
"2nd","Quantity[62., ""Years""]","male","died"
"2nd","Quantity[32.5, ""Years""]","male","died"
"2nd","Quantity[14., ""Years""]","female","survived"
"2nd","Quantity[2., ""Years""]","male","survived"
"2nd","Quantity[3., ""Years""]","male","survived"
"2nd","Quantity[36.5, ""Years""]","male","died"
"2nd","Quantity[26., ""Years""]","male","died"
"2nd","Quantity[19., ""Years""]","male","died"
"2nd","Quantity[28., ""Years""]","male","died"
"2nd","Quantity[20., ""Years""]","male","survived"
"2nd","Quantity[29., ""Years""]","female","survived"
"2nd","Quantity[39., ""Years""]","male","died"
"2nd","Quantity[22., ""Years""]","male","survived"
"2nd","Missing[""Not Available""]","male","survived"
"2nd","Quantity[23., ""Years""]","male","died"
"2nd","Quantity[29., ""Years""]","male","survived"
"2nd","Quantity[28., ""Years""]","male","died"
"2nd","Missing[""Not Available""]","male","died"
"2nd","Quantity[50., ""Years""]","female","survived"
"2nd","Quantity[19., ""Years""]","male","died"
"2nd","Missing[""Not Available""]","male","died"
"2nd","Quantity[41., ""Years""]","male","died"
"2nd","Quantity[21., ""Years""]","female","survived"
"2nd","Quantity[19., ""Years""]","female","survived"
"2nd","Quantity[43., ""Years""]","male","died"
"2nd","Quantity[32., ""Years""]","female","survived"
"2nd","Quantity[34., ""Years""]","male","died"
"2nd","Quantity[30., ""Years""]","male","survived"
"2nd","Quantity[27., ""Years""]","male","died"
"2nd","Quantity[2., ""Years""]","female","survived"
"2nd","Quantity[8., ""Years""]","female","survived"
"2nd","Quantity[33., ""Years""]","female","survived"
"2nd","Quantity[36., ""Years""]","male","died"
"2nd","Quantity[34., ""Years""]","male","died"
"2nd","Quantity[30., ""Years""]","female","survived"
"2nd","Quantity[28., ""Years""]","female","survived"
"2nd","Quantity[23., ""Years""]","male","died"
"2nd","Quantity[0.8333, ""Years""]","male","survived"
"2nd","Quantity[3., ""Years""]","male","survived"
"2nd","Quantity[24., ""Years""]","female","survived"
"2nd","Quantity[50., ""Years""]","female","survived"
"2nd","Quantity[19., ""Years""]","male","died"
"2nd","Quantity[21., ""Years""]","female","survived"
"2nd","Quantity[26., ""Years""]","male","died"
"2nd","Quantity[25., ""Years""]","male","died"
"2nd","Quantity[27., ""Years""]","male","died"
"2nd","Quantity[25., ""Years""]","female","survived"
"2nd","Quantity[18., ""Years""]","female","survived"
"2nd","Quantity[20., ""Years""]","female","survived"
"2nd","Quantity[30., ""Years""]","female","survived"
"2nd","Quantity[59., ""Years""]","male","died"
"2nd","Quantity[30., ""Years""]","female","survived"
"2nd","Quantity[35., ""Years""]","male","died"
"2nd","Quantity[40., ""Years""]","female","survived"
"2nd","Quantity[25., ""Years""]","male","died"
"2nd","Quantity[41., ""Years""]","male","died"
"2nd","Quantity[25., ""Years""]","male","died"
"2nd","Quantity[18.5, ""Years""]","male","died"
"2nd","Quantity[14., ""Years""]","male","died"
"2nd","Quantity[50., ""Years""]","female","survived"
"2nd","Quantity[23., ""Years""]","male","died"
"2nd","Quantity[28., ""Years""]","female","survived"
"2nd","Quantity[27., ""Years""]","female","survived"
"2nd","Quantity[29., ""Years""]","male","died"
"2nd","Quantity[27., ""Years""]","female","died"
"2nd","Quantity[40., ""Years""]","male","died"
"2nd","Quantity[31., ""Years""]","female","survived"
"2nd","Quantity[30., ""Years""]","male","died"
"2nd","Quantity[23., ""Years""]","male","died"
"2nd","Quantity[31., ""Years""]","female","survived"
"2nd","Missing[""Not Available""]","male","died"
"2nd","Quantity[12., ""Years""]","female","survived"
"2nd","Quantity[40., ""Years""]","female","survived"
"2nd","Quantity[32.5, ""Years""]","female","survived"
