,BusinessTravel,DailyRate,DistanceFromHome,Education,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
17,Non-Travel,1123,16,2,1,22,4,Male,96,4,1,4,2935,7324,1,Yes,13,3,2,80,2,1,2,2,1,0,0,0
18,Travel_Rarely,1219,2,4,1,23,1,Female,78,2,4,4,15427,22021,2,No,16,3,3,80,0,31,3,3,25,8,3,7
19,Travel_Rarely,371,2,3,1,24,4,Male,45,3,1,4,3944,4306,5,Yes,11,3,3,80,0,6,3,3,3,2,1,2
20,Non-Travel,673,11,2,1,26,1,Female,96,4,2,3,4011,8232,0,No,18,3,4,80,1,5,5,2,4,2,1,3
21,Travel_Rarely,1218,9,4,1,27,3,Male,82,2,1,1,3407,6986,7,No,23,4,2,80,0,10,4,3,5,3,0,3
22,Travel_Rarely,419,7,4,1,28,1,Female,53,3,3,2,11994,21293,0,No,11,3,3,80,0,13,4,3,12,6,2,11
23,Travel_Rarely,391,15,2,1,30,3,Male,96,3,1,4,1232,19281,1,No,14,3,4,80,0,0,6,3,0,0,0,0
24,Travel_Rarely,699,6,1,1,31,2,Male,83,3,1,1,2960,17102,2,No,11,3,3,80,0,8,2,3,4,2,1,3
25,Travel_Rarely,1282,5,3,1,32,3,Female,58,3,5,3,19094,10735,4,No,11,3,4,80,1,26,3,2,14,13,4,8
26,Travel_Frequently,1125,16,1,1,33,2,Female,72,1,1,1,3919,4681,1,Yes,22,4,2,80,0,10,5,3,10,2,6,7
27,Travel_Rarely,691,8,4,1,35,3,Male,48,3,2,2,6825,21173,0,No,11,3,4,80,1,10,2,3,9,7,4,2
28,Travel_Rarely,477,7,4,1,36,1,Female,42,2,3,4,10248,2094,3,No,14,3,4,80,1,24,4,3,22,6,5,17
29,Travel_Rarely,705,2,4,1,38,2,Female,83,3,5,1,18947,22822,3,No,12,3,4,80,0,22,2,2,2,2,2,1
30,Travel_Rarely,924,2,3,1,39,3,Male,78,3,1,4,2496,6670,4,No,11,3,4,80,0,7,3,3,1,1,0,0
31,Travel_Rarely,1459,10,4,1,40,4,Male,41,3,2,4,6465,19121,2,Yes,13,3,4,80,0,9,5,4,4,2,1,3
32,Travel_Rarely,125,9,2,1,41,4,Male,83,2,1,3,2206,16117,1,No,13,3,1,80,0,10,5,3,10,0,1,8
33,Travel_Rarely,895,5,3,1,42,4,Male,56,3,2,4,2086,3335,3,No,14,3,3,80,1,19,6,4,1,0,0,0
34,Travel_Rarely,813,1,3,1,45,2,Male,61,3,1,4,2293,3020,2,Yes,16,3,1,80,1,6,2,2,2,0,2,0
35,Travel_Rarely,1273,2,2,1,46,4,Female,72,4,1,3,2645,21923,1,No,12,3,4,80,2,6,3,2,5,3,1,4
36,Travel_Rarely,869,3,2,1,47,1,Male,86,2,1,3,2683,3810,1,Yes,14,3,3,80,0,3,2,3,3,2,0,2
37,Travel_Rarely,890,2,3,1,49,4,Female,97,3,1,4,2014,9687,1,No,13,3,1,80,0,2,3,3,2,2,2,2
38,Travel_Rarely,852,5,4,1,51,2,Female,82,2,1,1,3419,13072,9,Yes,14,3,4,80,1,6,3,4,1,1,0,0
39,Travel_Frequently,1141,1,3,1,52,3,Female,42,4,2,1,5376,3193,2,No,19,3,1,80,2,10,3,3,5,3,1,3
40,Travel_Rarely,464,4,2,1,53,3,Male,75,3,1,4,1951,10910,1,No,12,3,3,80,1,1,3,3,1,0,0,0
41,Travel_Rarely,1240,2,4,1,54,4,Female,33,3,1,1,2341,19715,1,No,13,3,4,80,1,1,6,3,1,0,0,0
42,Travel_Rarely,1357,25,3,1,55,1,Male,48,1,1,3,2293,10558,1,No,12,3,3,80,0,1,2,2,1,0,0,1
43,Travel_Frequently,994,8,3,1,56,4,Male,37,3,3,3,8726,2975,1,No,15,3,4,80,0,9,0,3,9,8,1,7
44,Travel_Frequently,721,1,2,1,57,3,Female,58,3,2,4,4011,10781,1,No,23,4,4,80,0,12,2,3,12,8,3,7
45,Travel_Rarely,1360,12,3,1,58,2,Female,49,3,5,3,19545,16280,1,No,12,3,4,80,0,23,0,3,22,15,15,8
46,Non-Travel,1065,23,4,1,60,2,Male,72,3,2,3,4568,10034,0,No,20,4,3,80,0,10,2,3,9,5,8,7
47,Travel_Rarely,408,19,2,1,61,2,Male,73,3,1,2,3022,10227,4,No,21,4,1,80,0,8,1,3,1,0,0,0
48,Travel_Frequently,1211,5,4,1,62,1,Male,98,3,2,4,5772,20445,4,Yes,21,4,3,80,0,14,4,3,9,6,0,8
49,Travel_Rarely,1229,8,1,1,63,4,Male,36,4,1,4,2269,4892,1,No,19,3,4,80,0,1,2,3,1,0,0,1
50,Travel_Rarely,626,1,2,1,64,1,Male,98,2,3,3,5381,19294,9,Yes,13,3,4,80,0,23,2,3,1,0,0,0
51,Travel_Rarely,1434,5,4,1,65,3,Male,50,3,1,3,3441,11179,1,Yes,13,3,3,80,0,2,3,2,2,2,2,2
52,Travel_Rarely,1488,1,5,1,68,2,Female,75,3,2,1,5454,4009,5,Yes,21,4,3,80,1,9,2,2,4,3,1,3
53,Non-Travel,1097,11,2,1,70,3,Male,79,2,3,1,9884,8302,2,Yes,13,3,3,80,1,10,3,3,4,0,2,3
54,Travel_Rarely,1443,23,3,1,72,3,Female,47,2,2,4,4157,21436,7,Yes,19,3,3,80,1,5,2,2,2,2,0,0
55,Travel_Frequently,515,1,2,1,73,1,Female,98,3,3,4,13458,15146,1,Yes,12,3,3,80,0,15,1,3,15,14,8,12
56,Travel_Frequently,853,18,5,1,74,2,Male,71,3,3,1,9069,11031,1,No,22,4,4,80,1,9,3,2,9,8,1,8
57,Travel_Rarely,1142,23,4,1,75,3,Female,30,3,1,1,4014,16002,3,Yes,15,3,3,80,1,4,3,3,2,2,2,2
58,Travel_Rarely,655,7,4,1,76,4,Male,48,3,2,4,5915,9528,3,No,22,4,4,80,1,10,3,2,7,7,1,7
59,Travel_Rarely,1115,1,4,1,77,1,Male,51,2,2,3,5993,2689,1,No,18,3,3,80,1,7,2,4,7,5,0,7
60,Travel_Rarely,427,1,3,1,78,1,Male,33,3,2,4,6162,10877,1,Yes,22,4,2,80,1,9,3,3,9,8,7,8
61,Travel_Frequently,653,29,5,1,79,4,Female,50,3,2,4,2406,5456,1,No,11,3,4,80,0,10,2,3,10,3,9,9
62,Travel_Rarely,989,7,2,1,80,2,Female,43,2,5,3,18740,16701,5,Yes,12,3,4,80,1,29,2,2,27,3,13,8
63,Travel_Rarely,1435,25,3,1,81,1,Female,99,3,3,1,7637,2354,7,No,11,3,4,80,0,28,3,2,21,16,7,9
64,Travel_Rarely,1223,8,3,1,83,3,Female,59,3,3,3,10096,8202,1,No,13,3,2,80,3,17,2,3,17,14,12,8
65,Travel_Rarely,836,8,3,1,84,4,Female,33,3,4,3,14756,19730,2,Yes,14,3,3,80,3,21,2,3,5,0,0,2
66,Travel_Frequently,1195,11,3,1,85,2,Male,95,2,2,2,6499,22656,1,No,13,3,3,80,0,6,3,3,6,5,0,3
67,Travel_Rarely,1339,7,3,1,86,2,Male,59,3,3,1,9724,18787,2,No,17,3,3,80,1,25,2,3,1,0,0,0
68,Travel_Frequently,664,1,3,1,88,2,Male,79,3,1,1,2194,5868,4,No,13,3,4,80,1,5,2,2,3,2,1,2
69,Travel_Rarely,318,9,3,1,90,4,Male,79,2,1,3,3388,21777,0,Yes,17,3,1,80,1,2,0,2,1,0,0,0
70,Travel_Frequently,1225,1,1,1,91,1,Female,57,2,2,3,5473,24668,7,No,11,3,4,80,0,20,2,2,4,3,1,3
71,Travel_Rarely,1328,2,3,1,94,3,Male,76,3,1,2,2703,4956,0,No,23,4,4,80,1,6,3,3,5,4,0,4
72,Travel_Rarely,1082,1,4,1,95,3,Male,87,3,1,2,2501,18775,1,No,17,3,2,80,0,1,4,3,1,1,1,0
73,Travel_Rarely,548,1,3,1,96,2,Male,66,3,2,2,6220,7346,1,No,17,3,2,80,2,10,3,3,10,4,0,9
74,Travel_Rarely,132,6,3,1,97,2,Female,55,4,1,4,3038,22002,3,No,12,3,2,80,0,5,3,3,1,0,0,0
75,Travel_Rarely,746,8,4,1,98,3,Female,61,3,2,4,4424,20682,1,No,23,4,4,80,0,11,2,3,11,7,1,8
76,Travel_Rarely,776,1,4,1,100,3,Male,32,2,2,1,4312,23016,0,No,14,3,2,80,0,16,2,3,15,13,2,8
77,Travel_Rarely,193,6,4,1,101,4,Male,52,3,3,1,13245,15067,4,Yes,14,3,2,80,0,17,3,4,0,0,0,0
78,Travel_Rarely,397,7,4,1,102,1,Male,30,3,3,3,13664,25258,4,No,13,3,1,80,0,16,3,4,5,2,0,2
79,Travel_Rarely,945,5,2,1,103,2,Male,80,3,2,2,5021,10425,8,Yes,22,4,4,80,1,16,2,3,4,2,0,2
80,Travel_Rarely,852,1,1,1,104,4,Male,55,2,2,4,5126,15998,1,Yes,12,3,3,80,2,10,1,2,10,8,3,0
81,Travel_Rarely,1214,1,3,1,105,2,Male,30,2,1,3,2859,26278,1,No,18,3,1,80,0,6,3,3,6,4,0,4
82,Travel_Rarely,111,1,2,1,106,1,Male,70,3,3,4,10239,18092,3,No,14,3,4,80,1,24,4,3,1,0,1,0
83,Non-Travel,573,6,3,1,107,2,Female,79,1,2,4,5329,15717,7,Yes,12,3,4,80,3,17,3,3,13,11,1,9
84,Travel_Rarely,1153,1,2,1,110,1,Male,94,3,2,2,4325,17736,1,No,15,3,3,80,0,5,2,3,5,2,1,3
85,Travel_Rarely,1400,7,3,1,112,4,Male,49,1,3,4,7260,21698,4,No,11,3,1,80,0,37,3,2,6,4,0,2
86,Travel_Rarely,541,2,1,1,113,3,Male,62,3,1,1,2322,9518,3,No,13,3,3,80,1,3,3,3,0,0,0,0
87,Travel_Rarely,432,9,4,1,116,4,Male,96,3,1,4,2075,18725,3,No,23,4,2,80,2,10,4,3,4,2,0,3
88,Travel_Rarely,288,2,3,1,117,3,Male,99,2,2,4,4152,15830,1,No,19,3,1,80,3,11,3,3,11,10,10,8
89,Travel_Rarely,669,9,2,1,118,3,Male,64,2,3,4,9619,13596,1,No,16,3,4,80,0,9,3,3,9,8,4,7
90,Travel_Frequently,530,1,4,1,119,3,Male,78,2,4,2,13503,14115,1,No,22,4,4,80,1,22,3,2,22,3,11,11
91,Travel_Rarely,632,21,4,1,120,3,Male,71,3,2,4,5441,8423,0,Yes,22,4,4,80,0,11,2,1,10,7,1,0
92,Travel_Rarely,1334,4,2,1,121,3,Female,63,2,2,2,5209,19760,1,Yes,12,3,2,80,3,11,4,2,11,8,2,7
93,Travel_Frequently,638,1,3,1,124,3,Male,40,2,3,1,10673,3142,2,Yes,13,3,3,80,1,21,5,2,10,9,9,5
94,Travel_Rarely,1093,6,4,1,125,2,Male,87,3,2,3,5010,24301,1,No,16,3,1,80,0,12,0,3,11,8,5,7
95,Travel_Rarely,1217,2,4,1,126,1,Female,60,3,3,3,13549,24001,9,No,12,3,1,80,1,16,5,1,4,3,0,3
96,Travel_Rarely,1353,3,2,1,128,1,Female,33,3,2,3,4999,17519,0,No,21,4,1,80,1,4,2,2,3,2,0,2
97,Non-Travel,120,4,3,1,129,2,Male,43,3,2,3,4221,8863,1,No,15,3,2,80,0,5,3,4,5,4,0,4
98,Travel_Rarely,682,10,4,1,131,4,Male,37,3,4,3,13872,24409,0,No,13,3,3,80,0,38,1,2,37,10,1,8
99,Non-Travel,489,23,3,1,132,2,Male,67,3,2,2,2042,25043,4,No,12,3,3,80,1,17,3,4,3,2,1,2
100,Travel_Rarely,807,6,4,1,133,3,Male,63,3,1,1,2073,23648,4,Yes,22,4,4,80,0,7,3,3,3,2,0,2
101,Travel_Rarely,827,1,1,1,134,4,Male,71,3,1,1,2956,15178,1,No,13,3,4,80,0,1,2,3,1,0,0,0
102,Travel_Frequently,871,6,3,1,137,4,Female,66,2,1,4,2926,19783,1,Yes,18,3,2,80,0,1,5,3,1,0,1,0
103,Travel_Rarely,665,6,4,1,138,1,Female,41,3,2,3,4809,12482,1,No,14,3,3,80,0,16,3,3,16,13,2,10
104,Non-Travel,1040,2,2,1,139,3,Male,100,2,2,4,5163,15850,5,No,14,3,4,80,1,17,2,4,1,0,0,0
105,Non-Travel,1420,2,4,1,140,3,Female,32,2,5,4,18844,21922,9,No,21,4,4,80,1,30,3,3,3,2,2,2
106,Travel_Frequently,1115,1,3,1,141,1,Female,73,3,5,2,18172,9755,3,Yes,19,3,1,80,0,28,1,2,8,3,0,7
107,Travel_Rarely,240,5,3,1,142,3,Male,46,2,2,3,5744,26959,1,Yes,11,3,4,80,0,6,1,3,6,4,0,3
108,Travel_Rarely,1280,7,1,1,143,4,Male,64,2,1,4,2889,26897,1,No,11,3,3,80,2,2,2,3,2,2,2,1
109,Travel_Rarely,534,15,3,1,144,2,Female,59,3,1,4,2871,23785,1,No,15,3,3,80,0,1,5,3,0,0,0,0
110,Travel_Frequently,1456,1,4,1,145,1,Female,30,2,3,1,7484,25796,3,No,20,4,3,80,0,23,1,2,13,12,12,8
111,Travel_Frequently,658,7,3,1,147,1,Male,66,1,2,3,6074,22887,1,Yes,24,4,4,80,0,9,3,3,9,7,0,6
112,Non-Travel,142,26,3,1,148,4,Female,30,4,4,4,17328,13871,2,Yes,12,3,3,80,0,23,3,3,5,3,4,4
113,Travel_Rarely,1127,18,1,1,150,2,Male,52,3,1,3,2774,13257,0,No,12,3,3,80,1,6,2,3,5,3,1,2
114,Travel_Rarely,1031,6,4,1,151,3,Female,45,2,2,2,4505,15000,6,No,15,3,3,80,1,12,3,3,1,0,0,0
115,Travel_Rarely,1189,3,3,1,152,3,Male,87,3,3,4,7428,14506,2,No,12,3,1,80,0,12,3,3,5,3,1,3
116,Travel_Rarely,1354,5,3,1,153,3,Female,45,2,3,1,11631,5615,2,No,12,3,4,80,0,14,6,3,11,10,5,8
117,Travel_Frequently,1467,11,2,1,154,2,Female,92,3,3,4,9738,22952,0,No,14,3,3,80,1,10,6,3,9,7,2,8
118,Travel_Rarely,922,3,2,1,155,1,Female,39,3,1,4,2835,2561,5,No,22,4,1,80,1,7,2,3,1,0,0,0
119,Travel_Frequently,394,26,2,1,158,3,Male,92,3,4,4,16959,19494,1,Yes,12,3,4,80,2,25,3,4,25,12,4,12
120,Travel_Frequently,1312,23,3,1,159,1,Male,96,1,1,3,2613,22310,1,No,25,4,3,80,3,10,2,2,10,7,0,9
121,Non-Travel,750,22,2,1,160,3,Male,95,3,2,2,6146,15480,0,No,13,3,1,80,1,8,2,4,7,7,0,7
122,Travel_Rarely,441,14,4,1,161,2,Female,72,3,1,2,4963,4510,9,Yes,18,3,1,80,3,7,2,3,5,4,4,3
123,Travel_Rarely,684,6,3,1,162,1,Male,51,3,5,3,19537,6462,7,No,13,3,3,80,0,23,5,3,20,18,15,15
124,Travel_Rarely,249,6,4,1,163,2,Male,76,1,2,3,6172,20739,4,Yes,18,3,2,80,0,12,3,2,7,7,7,7
125,Travel_Rarely,841,6,3,1,164,3,Female,46,2,1,2,2368,23300,1,No,19,3,3,80,0,5,3,2,5,4,4,3
126,Travel_Rarely,147,23,4,1,165,4,Female,94,3,3,4,10312,3465,1,No,12,3,4,80,1,40,3,2,40,10,15,6
127,Travel_Rarely,528,22,1,1,167,4,Male,50,3,1,3,1675,26820,1,Yes,19,3,4,80,0,0,2,2,0,0,0,0
128,Travel_Rarely,594,2,1,1,169,3,Male,100,3,1,4,2523,19299,0,No,14,3,3,80,1,3,2,3,2,1,2,1
129,Travel_Rarely,470,20,4,1,170,3,Female,96,3,2,1,6567,5549,1,No,14,3,3,80,0,16,2,2,15,11,5,11
130,Travel_Frequently,957,28,3,1,171,2,Female,72,4,1,3,4739,16090,4,No,12,3,4,80,0,18,2,3,3,2,1,2
131,Travel_Frequently,809,12,3,1,174,3,Female,77,3,3,4,9208,6645,4,No,11,3,4,80,0,16,3,3,2,2,2,1
132,Travel_Rarely,542,20,3,1,175,2,Female,71,1,2,3,4559,24788,3,Yes,11,3,3,80,1,4,2,3,2,2,2,2
133,Travel_Rarely,802,9,1,1,176,3,Male,96,3,3,3,8189,21196,3,Yes,13,3,3,80,1,12,2,3,9,7,0,7
134,Travel_Rarely,1355,25,1,1,177,3,Female,61,3,1,3,2942,8916,1,No,23,4,4,80,1,8,3,3,8,7,5,7
135,Travel_Rarely,216,6,2,1,178,2,Male,84,3,2,2,4941,2819,6,No,20,4,4,80,2,7,0,3,3,2,0,1
136,Travel_Frequently,1150,8,4,1,179,1,Male,53,1,3,4,10650,25150,2,No,15,3,4,80,0,18,2,3,4,2,0,3
137,Travel_Rarely,1329,4,4,1,182,4,Female,47,2,2,3,5902,14590,4,No,14,3,3,80,1,17,1,4,15,11,5,9
138,Travel_Rarely,959,28,3,1,183,1,Male,41,2,2,3,8639,24835,2,No,18,3,4,80,0,6,3,3,2,2,2,2
139,Travel_Rarely,1240,9,3,1,184,3,Male,48,3,2,4,6347,13982,0,Yes,19,3,4,80,0,12,2,1,11,9,4,7
140,Travel_Rarely,1033,9,3,1,190,1,Female,41,3,1,1,4200,10224,7,No,22,4,1,80,0,10,2,4,5,4,0,4
141,Travel_Rarely,1316,29,3,1,192,3,Male,83,3,1,4,3452,9752,5,No,13,3,2,80,0,9,2,2,6,5,0,3
142,Travel_Rarely,364,3,5,1,193,4,Female,32,3,2,3,4317,2302,3,Yes,20,4,2,80,0,19,2,3,3,2,2,2
143,Travel_Rarely,438,18,3,1,194,1,Female,75,3,1,3,2632,23910,1,No,14,3,3,80,0,5,4,2,5,4,0,4
144,Travel_Frequently,689,9,2,1,195,4,Male,35,1,2,4,4668,22812,0,No,17,3,4,80,3,9,2,4,8,7,0,7
145,Travel_Rarely,201,5,3,1,197,4,Female,84,3,1,1,3204,10415,5,No,14,3,4,80,1,8,3,3,3,2,2,2
146,Travel_Rarely,1427,2,1,1,198,2,Male,35,2,1,4,2720,11162,0,No,13,3,4,80,0,6,3,3,5,3,1,2
147,Travel_Frequently,857,10,3,1,199,4,Male,91,2,4,1,17181,12888,4,No,13,3,2,80,1,21,2,2,7,6,7,7
148,Travel_Rarely,933,9,4,1,200,3,Male,94,3,1,1,2238,6961,2,No,21,4,4,80,1,7,2,3,5,0,1,4
149,Travel_Rarely,1181,3,1,1,201,2,Female,79,3,1,2,1483,16102,1,No,14,3,4,80,0,1,3,3,1,0,0,0
150,Travel_Frequently,1395,26,3,1,202,2,Female,54,3,2,2,5605,8504,1,No,11,3,1,80,1,20,2,3,20,7,2,13
151,Travel_Rarely,662,1,5,1,204,3,Male,94,3,3,2,7295,11439,1,No,13,3,1,80,2,10,3,3,10,8,0,6
152,Travel_Rarely,1436,6,2,1,205,2,Male,34,3,2,3,2306,16047,2,Yes,20,4,4,80,1,13,3,1,7,7,4,5
153,Travel_Rarely,194,9,3,1,206,2,Male,60,3,2,2,2348,10901,8,No,18,3,3,80,1,20,2,1,17,9,0,15
154,Travel_Frequently,967,8,3,1,207,2,Female,43,3,3,4,8998,15589,1,No,14,3,4,80,0,9,2,3,9,8,3,7
155,Non-Travel,1496,1,1,1,208,4,Male,41,3,2,3,4319,26283,1,No,13,3,1,80,1,10,1,3,10,7,0,9
156,Travel_Rarely,1169,7,4,1,211,2,Male,34,2,2,3,6132,13983,2,No,17,3,3,80,0,10,2,3,1,0,0,0
157,Travel_Rarely,1145,9,3,1,214,2,Female,75,2,1,2,3346,11873,4,Yes,20,4,2,80,1,9,3,2,1,0,0,0
158,Travel_Rarely,630,4,4,1,215,3,Male,67,2,3,4,10855,8552,7,No,11,3,1,80,1,15,2,2,12,11,2,11
159,Travel_Frequently,303,2,4,1,216,3,Female,75,3,1,3,2231,11314,6,No,18,3,4,80,1,6,3,3,4,3,1,2
160,Travel_Rarely,1256,19,1,1,217,3,Male,80,3,1,4,2323,11992,1,No,24,4,1,80,2,2,6,3,2,2,2,2
161,Non-Travel,691,9,3,1,218,4,Male,57,3,1,2,2024,5970,6,No,18,3,4,80,1,6,1,1,2,2,2,2
162,Travel_Rarely,440,21,3,1,221,3,Male,42,3,1,4,2713,6672,1,No,11,3,3,80,1,5,2,1,5,2,0,2
163,Travel_Rarely,334,24,2,1,223,3,Male,83,4,3,4,9439,23402,3,Yes,16,3,2,80,1,12,2,1,5,3,1,4
164,Non-Travel,1450,3,3,1,224,3,Male,79,2,1,3,2566,25326,1,Yes,15,3,4,80,1,1,2,2,1,1,0,1
165,Travel_Rarely,1452,11,3,1,226,3,Female,53,3,5,2,19926,17053,3,No,15,3,2,80,0,21,5,3,5,4,4,4
166,Travel_Rarely,465,14,3,1,227,1,Male,56,3,1,3,2451,4609,4,No,12,3,1,80,1,13,2,3,9,8,1,8
167,Travel_Rarely,1339,5,3,1,228,2,Female,41,3,3,4,9419,8053,2,No,12,3,3,80,1,12,2,3,10,9,7,4
168,Travel_Rarely,702,1,4,1,230,1,Female,59,2,2,4,8686,12930,4,No,22,4,3,80,0,12,2,4,8,3,0,7
169,Travel_Rarely,120,6,5,1,231,3,Male,43,3,1,3,3038,12430,3,No,20,4,1,80,0,8,2,3,5,4,1,4
170,Travel_Rarely,1157,17,3,1,233,3,Male,51,3,1,2,3058,13364,0,Yes,16,3,4,80,1,6,3,2,5,2,1,1
171,Travel_Frequently,602,1,1,1,235,3,Female,100,1,1,1,2325,20989,0,No,21,4,1,80,0,1,5,4,0,0,0,0
172,Travel_Frequently,1480,3,2,1,238,4,Male,30,3,1,2,2088,15062,4,No,12,3,3,80,0,13,3,2,8,7,7,2
173,Non-Travel,111,9,3,1,239,3,Male,66,3,2,1,3072,11012,1,No,11,3,3,80,2,12,4,3,12,9,6,10
174,Travel_Rarely,1268,4,2,1,240,3,Female,30,3,2,1,5006,6319,4,Yes,11,3,1,80,1,9,3,4,5,4,0,3
175,Travel_Rarely,713,8,3,1,241,3,Female,67,3,1,1,4257,13939,4,Yes,18,3,3,80,1,19,3,3,2,2,2,2
176,Travel_Rarely,134,2,3,1,242,3,Male,90,3,1,4,2500,10515,0,No,14,3,1,80,0,4,2,4,3,1,0,2
177,Travel_Rarely,303,2,3,1,243,2,Male,47,2,1,4,1102,9241,1,No,22,4,3,80,0,1,3,2,1,0,1,0
178,Travel_Rarely,526,1,2,1,244,2,Female,92,3,3,1,10453,2137,1,No,25,4,3,80,3,24,2,3,24,13,15,7
179,Travel_Rarely,1380,9,2,1,245,3,Female,75,3,1,4,2288,6319,1,No,12,3,3,80,0,2,3,3,2,2,2,1
180,Travel_Rarely,140,12,1,1,246,3,Female,95,3,1,4,3929,6984,8,Yes,23,4,3,80,1,7,0,3,4,2,0,2
181,Travel_Rarely,629,27,2,1,247,4,Female,95,3,1,2,2311,5711,2,No,15,3,4,80,0,9,3,3,3,2,1,2
182,Travel_Rarely,1356,20,2,1,248,2,Female,70,3,1,2,3140,21728,1,Yes,22,4,4,80,0,4,5,2,4,3,0,2
183,Travel_Rarely,328,1,3,1,249,3,Male,86,2,1,3,3690,3425,2,No,15,3,4,80,1,5,2,2,3,2,0,2
184,Travel_Rarely,1084,13,2,1,250,4,Female,57,4,2,1,4450,26250,1,No,11,3,3,80,2,5,3,3,4,2,1,3
185,Travel_Rarely,931,14,3,1,252,4,Female,72,3,1,2,2756,4673,1,No,13,3,4,80,1,8,5,3,8,7,1,6
186,Travel_Rarely,989,4,1,1,253,4,Female,46,3,5,3,19033,6499,1,No,14,3,2,80,1,21,2,3,20,8,9,9
187,Travel_Rarely,692,14,4,1,254,3,Male,61,4,5,2,18722,13339,8,No,11,3,4,80,0,36,3,3,24,15,2,15
188,Travel_Frequently,1069,2,1,1,256,4,Male,45,2,2,3,9547,14074,1,No,17,3,3,80,0,10,2,2,10,9,1,9
189,Travel_Rarely,313,3,3,1,258,4,Female,98,3,4,2,13734,7192,3,No,18,3,3,80,0,21,6,3,7,7,1,0
190,Travel_Rarely,699,1,4,1,259,3,Male,65,2,5,3,19999,5678,0,No,14,3,1,80,1,34,5,3,33,18,11,9
191,Travel_Rarely,894,9,3,1,260,4,Female,99,3,1,2,2279,11781,1,No,16,3,4,80,0,7,2,2,7,7,0,3
192,Travel_Rarely,556,23,2,1,261,2,Male,50,2,2,3,5916,15497,3,Yes,13,3,1,80,0,8,1,3,1,0,0,1
193,Non-Travel,1344,7,3,1,262,4,Male,37,4,1,4,2089,5228,4,No,14,3,4,80,3,7,3,4,5,4,2,2
194,Non-Travel,1195,2,2,1,264,1,Male,65,2,4,4,16792,20462,9,No,23,4,4,80,1,22,1,3,20,8,11,8
195,Travel_Rarely,290,21,3,1,267,2,Male,65,4,1,1,3564,22977,1,Yes,12,3,1,80,1,8,3,2,8,7,1,7
