,Relative Compactness,Surface Area,Wall Area,Roof Area,Overall Height,Orientation,Galzing Area,Glazing Area Distribution,Heating Load,Cooling Load
78,0.71,710.5,269.5,220.5,3.5,4.0,0.1,1.0,10.7,13.87
79,0.71,710.5,269.5,220.5,3.5,5.0,0.1,1.0,10.75,14.27
80,0.69,735.0,294.0,220.5,3.5,2.0,0.1,1.0,11.11,14.28
81,0.69,735.0,294.0,220.5,3.5,3.0,0.1,1.0,11.13,14.61
82,0.69,735.0,294.0,220.5,3.5,4.0,0.1,1.0,11.09,14.3
83,0.69,735.0,294.0,220.5,3.5,5.0,0.1,1.0,11.16,14.45
84,0.66,759.5,318.5,220.5,3.5,2.0,0.1,1.0,11.68,13.9
85,0.66,759.5,318.5,220.5,3.5,3.0,0.1,1.0,11.69,13.72
86,0.66,759.5,318.5,220.5,3.5,4.0,0.1,1.0,11.7,13.88
87,0.66,759.5,318.5,220.5,3.5,5.0,0.1,1.0,11.69,13.65
88,0.64,784.0,343.0,220.5,3.5,2.0,0.1,1.0,15.41,19.37
89,0.64,784.0,343.0,220.5,3.5,3.0,0.1,1.0,15.2,19.43
90,0.64,784.0,343.0,220.5,3.5,4.0,0.1,1.0,15.42,19.34
91,0.64,784.0,343.0,220.5,3.5,5.0,0.1,1.0,15.21,19.32
92,0.62,808.5,367.5,220.5,3.5,2.0,0.1,1.0,12.96,14.34
93,0.62,808.5,367.5,220.5,3.5,3.0,0.1,1.0,12.97,14.5
94,0.62,808.5,367.5,220.5,3.5,4.0,0.1,1.0,12.93,14.33
95,0.62,808.5,367.5,220.5,3.5,5.0,0.1,1.0,13.02,14.27
96,0.98,514.5,294.0,110.25,7.0,2.0,0.1,2.0,24.29,25.95
97,0.98,514.5,294.0,110.25,7.0,3.0,0.1,2.0,24.31,25.63
98,0.98,514.5,294.0,110.25,7.0,4.0,0.1,2.0,24.13,26.13
99,0.98,514.5,294.0,110.25,7.0,5.0,0.1,2.0,24.25,25.89
100,0.9,563.5,318.5,122.5,7.0,2.0,0.1,2.0,28.88,32.54
101,0.9,563.5,318.5,122.5,7.0,3.0,0.1,2.0,29.68,29.44
102,0.9,563.5,318.5,122.5,7.0,4.0,0.1,2.0,28.83,29.36
103,0.9,563.5,318.5,122.5,7.0,5.0,0.1,2.0,27.9,34.2
104,0.86,588.0,294.0,147.0,7.0,2.0,0.1,2.0,26.48,30.91
105,0.86,588.0,294.0,147.0,7.0,3.0,0.1,2.0,27.02,25.63
106,0.86,588.0,294.0,147.0,7.0,4.0,0.1,2.0,26.33,27.36
107,0.86,588.0,294.0,147.0,7.0,5.0,0.1,2.0,25.36,31.9
108,0.82,612.5,318.5,147.0,7.0,2.0,0.1,2.0,23.75,27.38
109,0.82,612.5,318.5,147.0,7.0,3.0,0.1,2.0,24.23,25.02
110,0.82,612.5,318.5,147.0,7.0,4.0,0.1,2.0,23.67,24.8
111,0.82,612.5,318.5,147.0,7.0,5.0,0.1,2.0,22.79,28.79
112,0.79,637.0,343.0,147.0,7.0,2.0,0.1,2.0,35.65,41.07
113,0.79,637.0,343.0,147.0,7.0,3.0,0.1,2.0,37.26,34.62
114,0.79,637.0,343.0,147.0,7.0,4.0,0.1,2.0,36.97,33.87
115,0.79,637.0,343.0,147.0,7.0,5.0,0.1,2.0,36.03,42.86
116,0.76,661.5,416.5,122.5,7.0,2.0,0.1,2.0,33.16,33.91
117,0.76,661.5,416.5,122.5,7.0,3.0,0.1,2.0,32.4,34.07
118,0.76,661.5,416.5,122.5,7.0,4.0,0.1,2.0,33.12,34.17
119,0.76,661.5,416.5,122.5,7.0,5.0,0.1,2.0,32.41,33.78
120,0.74,686.0,245.0,220.5,3.5,2.0,0.1,2.0,10.42,13.39
121,0.74,686.0,245.0,220.5,3.5,3.0,0.1,2.0,10.46,13.72
122,0.74,686.0,245.0,220.5,3.5,4.0,0.1,2.0,10.32,13.57
123,0.74,686.0,245.0,220.5,3.5,5.0,0.1,2.0,10.45,13.79
124,0.71,710.5,269.5,220.5,3.5,2.0,0.1,2.0,10.64,13.67
125,0.71,710.5,269.5,220.5,3.5,3.0,0.1,2.0,10.72,14.11
126,0.71,710.5,269.5,220.5,3.5,4.0,0.1,2.0,10.55,13.8
127,0.71,710.5,269.5,220.5,3.5,5.0,0.1,2.0,10.68,14.21
128,0.69,735.0,294.0,220.5,3.5,2.0,0.1,2.0,11.45,13.2
129,0.69,735.0,294.0,220.5,3.5,3.0,0.1,2.0,11.46,13.54
130,0.69,735.0,294.0,220.5,3.5,4.0,0.1,2.0,11.32,13.32
131,0.69,735.0,294.0,220.5,3.5,5.0,0.1,2.0,11.49,13.51
132,0.66,759.5,318.5,220.5,3.5,2.0,0.1,2.0,11.45,14.86
133,0.66,759.5,318.5,220.5,3.5,3.0,0.1,2.0,11.42,14.75
134,0.66,759.5,318.5,220.5,3.5,4.0,0.1,2.0,11.33,15.0
135,0.66,759.5,318.5,220.5,3.5,5.0,0.1,2.0,11.43,14.74
136,0.64,784.0,343.0,220.5,3.5,2.0,0.1,2.0,15.41,19.23
137,0.64,784.0,343.0,220.5,3.5,3.0,0.1,2.0,15.18,19.34
138,0.64,784.0,343.0,220.5,3.5,4.0,0.1,2.0,15.34,19.32
139,0.64,784.0,343.0,220.5,3.5,5.0,0.1,2.0,15.19,19.3
140,0.62,808.5,367.5,220.5,3.5,2.0,0.1,2.0,12.88,14.37
141,0.62,808.5,367.5,220.5,3.5,3.0,0.1,2.0,13.0,14.57
142,0.62,808.5,367.5,220.5,3.5,4.0,0.1,2.0,12.97,14.27
143,0.62,808.5,367.5,220.5,3.5,5.0,0.1,2.0,13.04,14.24
144,0.98,514.5,294.0,110.25,7.0,2.0,0.1,3.0,24.28,25.68
145,0.98,514.5,294.0,110.25,7.0,3.0,0.1,3.0,24.4,26.02
146,0.98,514.5,294.0,110.25,7.0,4.0,0.1,3.0,24.11,25.84
147,0.98,514.5,294.0,110.25,7.0,5.0,0.1,3.0,24.35,26.14
148,0.9,563.5,318.5,122.5,7.0,2.0,0.1,3.0,28.07,34.14
149,0.9,563.5,318.5,122.5,7.0,3.0,0.1,3.0,29.01,32.85
150,0.9,563.5,318.5,122.5,7.0,4.0,0.1,3.0,29.62,30.08
151,0.9,563.5,318.5,122.5,7.0,5.0,0.1,3.0,29.05,29.67
152,0.86,588.0,294.0,147.0,7.0,2.0,0.1,3.0,25.41,31.73
153,0.86,588.0,294.0,147.0,7.0,3.0,0.1,3.0,26.47,31.01
154,0.86,588.0,294.0,147.0,7.0,4.0,0.1,3.0,26.89,25.9
155,0.86,588.0,294.0,147.0,7.0,5.0,0.1,3.0,26.46,27.4
156,0.82,612.5,318.5,147.0,7.0,2.0,0.1,3.0,22.93,28.68
157,0.82,612.5,318.5,147.0,7.0,3.0,0.1,3.0,23.84,27.54
158,0.82,612.5,318.5,147.0,7.0,4.0,0.1,3.0,24.17,25.35
159,0.82,612.5,318.5,147.0,7.0,5.0,0.1,3.0,23.87,24.93
160,0.79,637.0,343.0,147.0,7.0,2.0,0.1,3.0,35.78,43.12
161,0.79,637.0,343.0,147.0,7.0,3.0,0.1,3.0,35.48,41.22
162,0.79,637.0,343.0,147.0,7.0,4.0,0.1,3.0,36.97,35.1
163,0.79,637.0,343.0,147.0,7.0,5.0,0.1,3.0,36.7,34.29
164,0.76,661.5,416.5,122.5,7.0,2.0,0.1,3.0,32.52,33.85
165,0.76,661.5,416.5,122.5,7.0,3.0,0.1,3.0,33.28,34.11
166,0.76,661.5,416.5,122.5,7.0,4.0,0.1,3.0,32.33,34.48
167,0.76,661.5,416.5,122.5,7.0,5.0,0.1,3.0,33.24,34.5
168,0.74,686.0,245.0,220.5,3.5,2.0,0.1,3.0,10.39,13.6
169,0.74,686.0,245.0,220.5,3.5,3.0,0.1,3.0,10.34,13.36
170,0.74,686.0,245.0,220.5,3.5,4.0,0.1,3.0,10.35,13.65
171,0.74,686.0,245.0,220.5,3.5,5.0,0.1,3.0,10.38,13.49
172,0.71,710.5,269.5,220.5,3.5,2.0,0.1,3.0,10.77,14.14
173,0.71,710.5,269.5,220.5,3.5,3.0,0.1,3.0,10.68,13.77
174,0.71,710.5,269.5,220.5,3.5,4.0,0.1,3.0,10.68,14.3
175,0.71,710.5,269.5,220.5,3.5,5.0,0.1,3.0,10.7,13.87
176,0.69,735.0,294.0,220.5,3.5,2.0,0.1,3.0,11.22,14.44
177,0.69,735.0,294.0,220.5,3.5,3.0,0.1,3.0,11.16,14.27
178,0.69,735.0,294.0,220.5,3.5,4.0,0.1,3.0,11.1,14.67
179,0.69,735.0,294.0,220.5,3.5,5.0,0.1,3.0,11.14,14.4
180,0.66,759.5,318.5,220.5,3.5,2.0,0.1,3.0,11.59,13.46
181,0.66,759.5,318.5,220.5,3.5,3.0,0.1,3.0,11.6,13.7
182,0.66,759.5,318.5,220.5,3.5,4.0,0.1,3.0,11.53,13.59
183,0.66,759.5,318.5,220.5,3.5,5.0,0.1,3.0,11.61,13.83
184,0.64,784.0,343.0,220.5,3.5,2.0,0.1,3.0,15.16,19.14
185,0.64,784.0,343.0,220.5,3.5,3.0,0.1,3.0,15.36,19.18
186,0.64,784.0,343.0,220.5,3.5,4.0,0.1,3.0,15.12,19.37
187,0.64,784.0,343.0,220.5,3.5,5.0,0.1,3.0,15.36,19.29
188,0.62,808.5,367.5,220.5,3.5,2.0,0.1,3.0,12.68,14.09
189,0.62,808.5,367.5,220.5,3.5,3.0,0.1,3.0,12.63,14.23
190,0.62,808.5,367.5,220.5,3.5,4.0,0.1,3.0,12.71,14.14
191,0.62,808.5,367.5,220.5,3.5,5.0,0.1,3.0,12.73,13.89
192,0.98,514.5,294.0,110.25,7.0,2.0,0.1,4.0,24.38,25.91
193,0.98,514.5,294.0,110.25,7.0,3.0,0.1,4.0,24.23,25.72
194,0.98,514.5,294.0,110.25,7.0,4.0,0.1,4.0,24.04,26.18
195,0.98,514.5,294.0,110.25,7.0,5.0,0.1,4.0,24.32,25.87
196,0.9,563.5,318.5,122.5,7.0,2.0,0.1,4.0,29.06,29.34
197,0.9,563.5,318.5,122.5,7.0,3.0,0.1,4.0,28.05,33.91
198,0.9,563.5,318.5,122.5,7.0,4.0,0.1,4.0,28.86,32.83
199,0.9,563.5,318.5,122.5,7.0,5.0,0.1,4.0,29.79,29.92
200,0.86,588.0,294.0,147.0,7.0,2.0,0.1,4.0,26.44,27.17
201,0.86,588.0,294.0,147.0,7.0,3.0,0.1,4.0,25.37,31.76
202,0.86,588.0,294.0,147.0,7.0,4.0,0.1,4.0,26.33,31.06
203,0.86,588.0,294.0,147.0,7.0,5.0,0.1,4.0,27.03,25.81
204,0.82,612.5,318.5,147.0,7.0,2.0,0.1,4.0,23.8,24.61
205,0.82,612.5,318.5,147.0,7.0,3.0,0.1,4.0,22.8,28.61
206,0.82,612.5,318.5,147.0,7.0,4.0,0.1,4.0,23.59,27.57
207,0.82,612.5,318.5,147.0,7.0,5.0,0.1,4.0,24.24,25.16
208,0.79,637.0,343.0,147.0,7.0,2.0,0.1,4.0,36.86,34.25
209,0.79,637.0,343.0,147.0,7.0,3.0,0.1,4.0,35.89,43.3
210,0.79,637.0,343.0,147.0,7.0,4.0,0.1,4.0,35.45,41.86
211,0.79,637.0,343.0,147.0,7.0,5.0,0.1,4.0,37.1,35.29
212,0.76,661.5,416.5,122.5,7.0,2.0,0.1,4.0,33.08,34.11
213,0.76,661.5,416.5,122.5,7.0,3.0,0.1,4.0,32.38,33.62
214,0.76,661.5,416.5,122.5,7.0,4.0,0.1,4.0,33.09,33.89
215,0.76,661.5,416.5,122.5,7.0,5.0,0.1,4.0,32.31,34.05
216,0.74,686.0,245.0,220.5,3.5,2.0,0.1,4.0,10.08,13.2
217,0.74,686.0,245.0,220.5,3.5,3.0,0.1,4.0,10.15,13.36
218,0.74,686.0,245.0,220.5,3.5,4.0,0.1,4.0,10.07,13.21
219,0.74,686.0,245.0,220.5,3.5,5.0,0.1,4.0,10.14,13.53
220,0.71,710.5,269.5,220.5,3.5,2.0,0.1,4.0,10.66,13.67
221,0.71,710.5,269.5,220.5,3.5,3.0,0.1,4.0,10.68,14.12
222,0.71,710.5,269.5,220.5,3.5,4.0,0.1,4.0,10.53,13.79
223,0.71,710.5,269.5,220.5,3.5,5.0,0.1,4.0,10.72,14.2
224,0.69,735.0,294.0,220.5,3.5,2.0,0.1,4.0,11.18,14.29
225,0.69,735.0,294.0,220.5,3.5,3.0,0.1,4.0,11.22,14.49
226,0.69,735.0,294.0,220.5,3.5,4.0,0.1,4.0,11.07,14.42
227,0.69,735.0,294.0,220.5,3.5,5.0,0.1,4.0,11.2,14.73
228,0.66,759.5,318.5,220.5,3.5,2.0,0.1,4.0,11.44,14.86
229,0.66,759.5,318.5,220.5,3.5,3.0,0.1,4.0,11.42,14.67
230,0.66,759.5,318.5,220.5,3.5,4.0,0.1,4.0,11.33,15.0
231,0.66,759.5,318.5,220.5,3.5,5.0,0.1,4.0,11.43,14.83
232,0.64,784.0,343.0,220.5,3.5,2.0,0.1,4.0,15.4,19.24
233,0.64,784.0,343.0,220.5,3.5,3.0,0.1,4.0,15.19,19.25
234,0.64,784.0,343.0,220.5,3.5,4.0,0.1,4.0,15.32,19.42
235,0.64,784.0,343.0,220.5,3.5,5.0,0.1,4.0,15.16,19.48
236,0.62,808.5,367.5,220.5,3.5,2.0,0.1,4.0,12.85,14.37
237,0.62,808.5,367.5,220.5,3.5,3.0,0.1,4.0,13.04,14.34
238,0.62,808.5,367.5,220.5,3.5,4.0,0.1,4.0,13.0,14.28
239,0.62,808.5,367.5,220.5,3.5,5.0,0.1,4.0,13.0,14.47
240,0.98,514.5,294.0,110.25,7.0,2.0,0.1,5.0,24.35,25.64
241,0.98,514.5,294.0,110.25,7.0,3.0,0.1,5.0,24.33,25.98
242,0.98,514.5,294.0,110.25,7.0,4.0,0.1,5.0,24.03,25.88
243,0.98,514.5,294.0,110.25,7.0,5.0,0.1,5.0,24.26,26.18
244,0.9,563.5,318.5,122.5,7.0,2.0,0.1,5.0,29.83,29.82
245,0.9,563.5,318.5,122.5,7.0,3.0,0.1,5.0,29.08,29.52
246,0.9,563.5,318.5,122.5,7.0,4.0,0.1,5.0,28.03,34.45
247,0.9,563.5,318.5,122.5,7.0,5.0,0.1,5.0,29.02,33.01
248,0.86,588.0,294.0,147.0,7.0,2.0,0.1,5.0,27.03,25.82
249,0.86,588.0,294.0,147.0,7.0,3.0,0.1,5.0,26.45,27.33
250,0.86,588.0,294.0,147.0,7.0,4.0,0.1,5.0,25.36,32.04
251,0.86,588.0,294.0,147.0,7.0,5.0,0.1,5.0,26.45,31.28
252,0.82,612.5,318.5,147.0,7.0,2.0,0.1,5.0,24.37,25.11
253,0.82,612.5,318.5,147.0,7.0,3.0,0.1,5.0,23.89,24.77
254,0.82,612.5,318.5,147.0,7.0,4.0,0.1,5.0,22.89,28.88
255,0.82,612.5,318.5,147.0,7.0,5.0,0.1,5.0,23.86,27.69
256,0.79,637.0,343.0,147.0,7.0,2.0,0.1,5.0,37.03,34.99
257,0.79,637.0,343.0,147.0,7.0,3.0,0.1,5.0,36.71,34.18
258,0.79,637.0,343.0,147.0,7.0,4.0,0.1,5.0,36.77,43.14
259,0.79,637.0,343.0,147.0,7.0,5.0,0.1,5.0,35.48,41.26
260,0.76,661.5,416.5,122.5,7.0,2.0,0.1,5.0,32.31,34.25
261,0.76,661.5,416.5,122.5,7.0,3.0,0.1,5.0,33.21,34.35
262,0.76,661.5,416.5,122.5,7.0,4.0,0.1,5.0,32.46,33.64
263,0.76,661.5,416.5,122.5,7.0,5.0,0.1,5.0,33.27,33.88
264,0.74,686.0,245.0,220.5,3.5,2.0,0.1,5.0,10.47,13.65
265,0.74,686.0,245.0,220.5,3.5,3.0,0.1,5.0,10.37,13.44
266,0.74,686.0,245.0,220.5,3.5,4.0,0.1,5.0,10.34,13.72
267,0.74,686.0,245.0,220.5,3.5,5.0,0.1,5.0,10.39,13.5
268,0.71,710.5,269.5,220.5,3.5,2.0,0.1,5.0,10.78,14.18
269,0.71,710.5,269.5,220.5,3.5,3.0,0.1,5.0,10.7,13.75
270,0.71,710.5,269.5,220.5,3.5,4.0,0.1,5.0,10.67,14.26
271,0.71,710.5,269.5,220.5,3.5,5.0,0.1,5.0,13.69,13.89
272,0.69,735.0,294.0,220.5,3.5,2.0,0.1,5.0,11.21,14.55
273,0.69,735.0,294.0,220.5,3.5,3.0,0.1,5.0,11.14,14.28
274,0.69,735.0,294.0,220.5,3.5,4.0,0.1,5.0,11.11,14.46
275,0.69,735.0,294.0,220.5,3.5,5.0,0.1,5.0,11.16,14.39
276,0.66,759.5,318.5,220.5,3.5,2.0,0.1,5.0,11.38,14.54
277,0.66,759.5,318.5,220.5,3.5,3.0,0.1,5.0,11.34,14.81
278,0.66,759.5,318.5,220.5,3.5,4.0,0.1,5.0,11.22,14.65
279,0.66,759.5,318.5,220.5,3.5,5.0,0.1,5.0,11.34,14.87
280,0.64,784.0,343.0,220.5,3.5,2.0,0.1,5.0,15.16,19.24
281,0.64,784.0,343.0,220.5,3.5,3.0,0.1,5.0,15.37,19.18
282,0.64,784.0,343.0,220.5,3.5,4.0,0.1,5.0,15.12,19.26
283,0.64,784.0,343.0,220.5,3.5,5.0,0.1,5.0,15.36,19.29
284,0.62,808.5,367.5,220.5,3.5,2.0,0.1,5.0,12.59,14.24
285,0.62,808.5,367.5,220.5,3.5,3.0,0.1,5.0,12.74,13.97
286,0.62,808.5,367.5,220.5,3.5,4.0,0.1,5.0,12.8,13.99
287,0.62,808.5,367.5,220.5,3.5,5.0,0.1,5.0,12.62,14.15
288,0.98,514.5,294.0,110.25,7.0,2.0,0.25,1.0,28.15,29.79
289,0.98,514.5,294.0,110.25,7.0,3.0,0.25,1.0,28.15,29.79
290,0.98,514.5,294.0,110.25,7.0,4.0,0.25,1.0,28.37,29.28
291,0.98,514.5,294.0,110.25,7.0,5.0,0.25,1.0,28.41,29.49
292,0.9,563.5,318.5,122.5,7.0,2.0,0.25,1.0,32.68,36.12
293,0.9,563.5,318.5,122.5,7.0,3.0,0.25,1.0,33.48,33.17
294,0.9,563.5,318.5,122.5,7.0,4.0,0.25,1.0,32.84,32.71
295,0.9,563.5,318.5,122.5,7.0,5.0,0.25,1.0,32.0,37.58
296,0.86,588.0,294.0,147.0,7.0,2.0,0.25,1.0,29.54,33.98
297,0.86,588.0,294.0,147.0,7.0,3.0,0.25,1.0,30.05,28.61
298,0.86,588.0,294.0,147.0,7.0,4.0,0.25,1.0,29.6,30.12
299,0.86,588.0,294.0,147.0,7.0,5.0,0.25,1.0,28.66,34.73
300,0.82,612.5,318.5,147.0,7.0,2.0,0.25,1.0,26.84,30.17
301,0.82,612.5,318.5,147.0,7.0,3.0,0.25,1.0,27.27,27.84
302,0.82,612.5,318.5,147.0,7.0,4.0,0.25,1.0,26.97,27.25
303,0.82,612.5,318.5,147.0,7.0,5.0,0.25,1.0,26.19,31.39
304,0.79,637.0,343.0,147.0,7.0,2.0,0.25,1.0,38.67,43.8
305,0.79,637.0,343.0,147.0,7.0,3.0,0.25,1.0,40.03,37.81
306,0.79,637.0,343.0,147.0,7.0,4.0,0.25,1.0,39.86,36.85
307,0.79,637.0,343.0,147.0,7.0,5.0,0.25,1.0,39.04,45.52
308,0.76,661.5,416.5,122.5,7.0,2.0,0.25,1.0,36.96,36.85
309,0.76,661.5,416.5,122.5,7.0,3.0,0.25,1.0,36.13,37.58
310,0.76,661.5,416.5,122.5,7.0,4.0,0.25,1.0,36.91,37.45
311,0.76,661.5,416.5,122.5,7.0,5.0,0.25,1.0,36.43,36.62
312,0.74,686.0,245.0,220.5,3.5,2.0,0.25,1.0,12.43,15.19
313,0.74,686.0,245.0,220.5,3.5,3.0,0.25,1.0,12.5,15.5
314,0.74,686.0,245.0,220.5,3.5,4.0,0.25,1.0,12.41,15.28
315,0.74,686.0,245.0,220.5,3.5,5.0,0.25,1.0,12.45,15.5
316,0.71,710.5,269.5,220.5,3.5,2.0,0.25,1.0,12.57,15.42
317,0.71,710.5,269.5,220.5,3.5,3.0,0.25,1.0,12.65,15.85
318,0.71,710.5,269.5,220.5,3.5,4.0,0.25,1.0,12.57,15.44
319,0.71,710.5,269.5,220.5,3.5,5.0,0.25,1.0,12.63,15.81
320,0.69,735.0,294.0,220.5,3.5,2.0,0.25,1.0,12.78,15.21
321,0.69,735.0,294.0,220.5,3.5,3.0,0.25,1.0,12.93,15.63
322,0.69,735.0,294.0,220.5,3.5,4.0,0.25,1.0,12.73,15.48
323,0.69,735.0,294.0,220.5,3.5,5.0,0.25,1.0,12.72,15.78
324,0.66,759.5,318.5,220.5,3.5,2.0,0.25,1.0,13.17,16.39
325,0.66,759.5,318.5,220.5,3.5,3.0,0.25,1.0,13.18,16.27
326,0.66,759.5,318.5,220.5,3.5,4.0,0.25,1.0,13.17,16.39
327,0.66,759.5,318.5,220.5,3.5,5.0,0.25,1.0,13.18,16.19
328,0.64,784.0,343.0,220.5,3.5,2.0,0.25,1.0,17.5,21.13
329,0.64,784.0,343.0,220.5,3.5,3.0,0.25,1.0,17.35,21.19
