Interaction_ID,User_ID,File_Type,Interaction_Type,Rating,Timestamp,Age,Gender,Subscription_Type,Title,Artist,Album,Genre,Release_Year,Lyrics,File_ID,Sentiment,Target
I00041,U0055,Video,Listen,5,2024-05-06 16:41:30.389872,47,F,Free,Video_Song_2234,Adele,Album_47,Hip-Hop,2023,I just called to say I love you,V2234,0.264,1
I00042,U0183,Video,Skip,2,2024-09-16 17:19:30.389872,46,Other,Premium,Video_Song_2356,David Bowie,Album_12,Jazz,1995,"Shake it off, shake it off",V2356,0.336,0
I00043,U0455,Audio,Skip,3,2023-12-09 15:50:30.389872,59,F,Free,Audio_Song_1215,Sia,Album_40,Classical,2003,"It's a beautiful day, don't let it get away",A1215,0.903,0
I00044,U0173,Audio,Skip,3,2023-11-14 12:17:30.389872,28,F,Premium,Audio_Song_1504,Frank Sinatra,Album_79,Hip-Hop,2008,"Every breath you take, every move you make",A1504,-0.973,0
I00045,U0122,Audio,Listen,4,2025-06-19 06:57:30.389872,17,Other,Free,Audio_Song_548,Lizzo,Album_98,Jazz,1995,"Cause baby you're a firework, come on show 'em what you're worth",A548,-0.603,1
I00046,U0499,Video,Like,3,2025-02-19 12:23:30.389872,19,Other,Free,Video_Song_9,Elton John,Album_7,Pop,1993,Is this the real life? Is this just fantasy?,V009,-0.305,0
I00047,U0017,Video,Share,2,2025-01-18 01:50:30.389872,29,Other,Free,Video_Song_2495,Metallica,Album_18,Rock,2007,"Uptown funk you up, uptown funk you up",V2495,-0.052,0
I00048,U0473,Audio,Share,1,2025-04-12 02:33:30.389872,40,M,Premium,Audio_Song_1585,Billie Eilish,Album_35,Jazz,2016,"Here comes the sun, and I say, it's alright",A1585,-0.895,0
I00049,U0286,Video,Share,1,2025-07-04 15:18:30.389872,33,F,Free,Video_Song_1270,Metallica,Album_69,Hip-Hop,1997,"Imagine there's no heaven, it's easy if you try",V1270,-0.043,0
I00050,U0044,Video,Listen,5,2023-05-16 15:17:30.389872,16,M,Premium,Video_Song_1442,Shakira,Album_55,Jazz,2016,"Cause baby you're a firework, come on show 'em what you're worth",V1442,-0.391,1
I00051,U0451,Audio,Skip,1,2023-07-17 02:37:30.389872,52,F,Premium,Audio_Song_251,Foo Fighters,Album_35,Electronic,1990,I get by with a little help from my friends,A251,-0.644,0
I00052,U0126,Video,Skip,2,2025-01-23 06:00:30.389872,29,Other,Free,Video_Song_480,Olivia Rodrigo,Album_40,Classical,2001,"Imagine there's no heaven, it's easy if you try",V480,-0.757,0
I00053,U0450,Audio,Skip,4,2024-04-26 00:55:30.389872,22,F,Free,Audio_Song_301,Prince,Album_53,Pop,1999,"I can't get no satisfaction, I can't get no satisfaction",A301,0.106,0
I00054,U0254,Audio,Listen,5,2024-04-13 07:18:30.389872,50,M,Premium,Audio_Song_1906,Aretha Franklin,Album_94,Electronic,1999,"Uptown funk you up, uptown funk you up",A1906,-0.399,1
I00055,U0428,Video,Listen,2,2024-12-10 20:16:30.389872,59,M,Free,Video_Song_2353,Metallica,Album_94,Hip-Hop,2017,"I can't get no satisfaction, I can't get no satisfaction",V2353,0.231,0
I00056,U0061,Video,Share,1,2024-08-19 03:37:30.389872,27,M,Free,Video_Song_1034,Travis Scott,Album_83,Classical,2005,"I see a little silhouetto of a man, Scaramouche, Scaramouche",V1034,-0.633,0
I00057,U0153,Video,Skip,2,2025-09-12 10:19:30.389872,46,F,Free,Video_Song_734,Nicki Minaj,Album_11,Electronic,2020,"Don't stop believin', hold on to that feeling",V734,0.729,0
I00058,U0117,Audio,Share,5,2023-03-04 09:03:30.389872,17,Other,Premium,Audio_Song_22,Biggie Smalls,Album_51,Rock,1998,"I see a little silhouetto of a man, Scaramouche, Scaramouche",A022,0.089,1
I00059,U0361,Video,Share,4,2023-07-26 12:52:30.389872,15,F,Premium,Video_Song_112,The Weeknd,Album_22,Electronic,1990,"I will always love you, I will always love you",V112,-0.969,1
I00060,U0433,Video,Listen,4,2024-10-23 13:02:30.389872,27,Other,Free,Video_Song_1171,Sia,Album_98,Hip-Hop,2018,"I can't get no satisfaction, I can't get no satisfaction",V1171,-0.226,1
I00061,U0472,Audio,Listen,4,2024-05-09 10:17:30.389872,36,M,Free,Audio_Song_538,Marvin Gaye,Album_25,Hip-Hop,2006,"Livin' on a prayer, take my hand, we'll make it I swear",A538,-0.989,1
I00062,U0035,Audio,Skip,3,2024-07-02 11:57:30.389872,39,F,Free,Audio_Song_1109,Bruce Springsteen,Album_42,Rock,2002,"Don't stop believin', hold on to that feeling",A1109,0.797,0
I00063,U0419,Video,Skip,2,2023-08-29 17:44:30.389872,44,M,Premium,Video_Song_1782,Lil Nas X,Album_68,Jazz,1990,"I can't get no satisfaction, I can't get no satisfaction",V1782,-0.005,0
I00064,U0500,Audio,Share,2,2023-06-25 09:38:30.389872,15,M,Premium,Audio_Song_676,Janis Joplin,Album_2,Rock,2017,"Sweet dreams are made of this, who am I to disagree?",A676,-0.106,0
I00065,U0179,Audio,Skip,3,2023-04-28 09:24:30.389872,56,F,Free,Audio_Song_1582,Imagine Dragons,Album_88,Pop,2017,"Cause baby you're a firework, come on show 'em what you're worth",A1582,0.361,0
I00066,U0177,Audio,Skip,5,2025-05-21 17:00:30.389872,43,F,Premium,Audio_Song_1207,Khalid,Album_10,Jazz,2018,"Don't stop believin', hold on to that feeling",A1207,0.1,0
I00067,U0199,Video,Listen,5,2024-04-04 05:34:30.389872,42,F,Free,Video_Song_2407,Doja Cat,Album_22,Classical,2011,"Nothing else matters, never cared for what they do",V2407,-0.797,1
I00068,U0258,Video,Skip,1,2024-03-23 12:50:30.389872,47,M,Premium,Video_Song_1316,Lady Gaga,Album_80,Classical,2018,I get by with a little help from my friends,V1316,0.823,0
I00069,U0497,Video,Skip,5,2025-05-14 21:49:30.389872,42,F,Premium,Video_Song_341,Charlie Puth,Album_35,Rock,1991,"Hello from the other side, I must have called a thousand times",V341,-0.98,0
I00070,U0298,Audio,Like,5,2024-06-21 08:28:30.389872,48,F,Premium,Audio_Song_2287,James Brown,Album_49,Pop,1998,"You're simply the best, better than all the rest",A2287,-0.797,1
I00071,U0022,Audio,Skip,4,2025-02-21 12:50:30.389872,27,M,Premium,Audio_Song_1447,Lil Nas X,Album_3,Rock,1995,Is this the real life? Is this just fantasy?,A1447,-0.535,0
I00072,U0310,Video,Skip,2,2025-01-20 14:30:30.389872,49,Other,Premium,Video_Song_803,Linkin Park,Album_38,Jazz,2019,Hit me baby one more time,V803,-0.677,0
I00073,U0086,Video,Share,4,2023-01-22 13:22:30.389872,45,M,Free,Video_Song_390,J. Cole,Album_98,Classical,1994,"Shake it off, shake it off",V390,0.948,1
I00074,U0347,Video,Like,2,2023-09-22 02:09:30.389872,18,M,Free,Video_Song_130,Paul McCartney,Album_38,Jazz,2001,Is this the real life? Is this just fantasy?,V130,0.681,0
I00075,U0173,Audio,Skip,2,2025-03-09 06:46:30.389872,28,F,Premium,Audio_Song_693,Amy Winehouse,Album_75,Electronic,2008,Is this the real life? Is this just fantasy?,A693,-0.024,0
I00076,U0365,Audio,Like,2,2024-12-09 22:48:30.389872,41,M,Free,Audio_Song_652,James Brown,Album_75,Classical,1995,"Let it be, let it be, let it be, let it be",A652,-0.798,0
I00077,U0331,Audio,Share,1,2024-02-02 13:12:30.389872,20,F,Free,Audio_Song_1756,Lorde,Album_21,Rock,1991,"Shake it off, shake it off",A1756,-0.065,0
I00078,U0446,Audio,Like,4,2023-05-25 17:17:30.389872,22,Other,Premium,Audio_Song_1700,Drake,Album_73,Pop,2022,"Nothing else matters, never cared for what they do",A1700,-0.055,1
I00079,U0192,Video,Like,3,2024-05-12 00:50:30.389872,40,F,Premium,Video_Song_125,Shakira,Album_85,Hip-Hop,2024,"I can't get no satisfaction, I can't get no satisfaction",V125,0.799,0
I00080,U0384,Video,Skip,3,2023-07-25 06:36:30.389872,40,F,Premium,Video_Song_507,Hozier,Album_19,Classical,2019,"We will, we will rock you, we will, we will rock you",V507,0.719,0
I00081,U0397,Audio,Share,1,2024-11-16 20:35:30.389872,46,M,Free,Audio_Song_1702,Stevie Nicks,Album_56,Electronic,2018,"I can't get no satisfaction, I can't get no satisfaction",A1702,0.283,0
I00082,U0146,Video,Skip,4,2023-02-09 15:34:30.390878,24,Other,Premium,Video_Song_1199,BTS,Album_24,Electronic,2005,Is this the real life? Is this just fantasy?,V1199,0.213,0
I00083,U0133,Audio,Listen,1,2024-12-12 08:56:30.390878,31,Other,Premium,Audio_Song_214,Taylor Swift,Album_51,Classical,2012,"Sweet dreams are made of this, who am I to disagree?",A214,-0.779,0
I00084,U0154,Audio,Like,1,2023-01-16 15:42:30.390878,39,M,Premium,Audio_Song_2223,Shakira,Album_32,Jazz,2002,"We will, we will rock you, we will, we will rock you",A2223,-0.126,0
I00085,U0419,Audio,Like,4,2024-12-10 23:53:30.390878,44,M,Premium,Audio_Song_564,Foo Fighters,Album_74,Classical,2024,"All the single ladies, all the single ladies",A564,-0.211,1
I00086,U0283,Video,Like,5,2023-05-06 21:34:30.390878,26,M,Premium,Video_Song_1767,Tupac Shakur,Album_85,Classical,2000,"Livin' on a prayer, take my hand, we'll make it I swear",V1767,0.437,1
I00087,U0253,Audio,Like,3,2025-06-12 12:01:30.390878,29,F,Free,Audio_Song_2077,Nirvana,Album_26,Rock,2001,"I see a little silhouetto of a man, Scaramouche, Scaramouche",A2077,0.16,0
I00088,U0135,Audio,Like,3,2023-03-01 10:50:30.390878,46,M,Premium,Audio_Song_1507,Justin Bieber,Album_8,Electronic,2000,"I see a little silhouetto of a man, Scaramouche, Scaramouche",A1507,0.965,0
I00089,U0391,Video,Listen,2,2025-05-23 23:47:30.390878,31,Other,Free,Video_Song_1322,Doja Cat,Album_1,Pop,1996,"Shake it off, shake it off",V1322,-0.383,0
I00090,U0009,Video,Share,2,2025-08-16 17:22:30.390878,44,F,Premium,Video_Song_1336,Joni Mitchell,Album_35,Jazz,1997,"I see a little silhouetto of a man, Scaramouche, Scaramouche",V1336,-0.467,0
I00091,U0148,Video,Listen,3,2023-03-01 01:31:30.390878,50,F,Premium,Video_Song_438,Hozier,Album_35,Jazz,2020,I just called to say I love you,V438,0.637,0
I00092,U0245,Audio,Like,4,2024-03-16 02:26:30.390878,45,Other,Free,Audio_Song_1232,Post Malone,Album_8,Pop,2002,"I will always love you, I will always love you",A1232,0.393,1
I00093,U0011,Audio,Listen,1,2024-05-11 19:07:30.390878,51,Other,Premium,Audio_Song_2467,Foo Fighters,Album_2,Pop,2000,"Sweet dreams are made of this, who am I to disagree?",A2467,-0.051,0
I00094,U0267,Audio,Like,1,2024-09-19 11:20:30.390878,49,M,Free,Audio_Song_823,Halsey,Album_6,Hip-Hop,1993,"It's a beautiful day, don't let it get away",A823,-0.892,0
I00095,U0475,Video,Like,1,2025-03-13 17:30:30.390878,44,Other,Free,Video_Song_1090,Stevie Nicks,Album_63,Pop,2023,"I will always love you, I will always love you",V1090,0.53,0
I00096,U0060,Audio,Share,4,2024-11-14 19:05:30.390878,36,M,Premium,Audio_Song_1441,Tupac Shakur,Album_27,Electronic,2020,"I see a little silhouetto of a man, Scaramouche, Scaramouche",A1441,-0.48,1
I00097,U0436,Video,Skip,4,2023-12-14 04:10:30.390878,18,M,Premium,Video_Song_1302,Bob Marley,Album_82,Pop,2016,"I want to hold your hand, I want to hold your hand",V1302,0.224,0
I00098,U0273,Video,Skip,4,2024-05-04 07:06:30.390878,51,M,Free,Video_Song_1064,Sia,Album_75,Jazz,2022,"I see a little silhouetto of a man, Scaramouche, Scaramouche",V1064,0.183,0
I00099,U0228,Video,Listen,4,2023-12-24 16:11:30.390878,20,F,Free,Video_Song_2145,Nina Simone,Album_64,Pop,1994,"Livin' on a prayer, take my hand, we'll make it I swear",V2145,0.325,1
I00100,U0067,Video,Share,4,2025-07-25 10:42:30.390878,36,Other,Free,Video_Song_404,Hozier,Album_44,Pop,1991,"Uptown funk you up, uptown funk you up",V404,-0.62,1
I00101,U0045,Video,Skip,4,2025-04-04 08:35:30.390878,25,M,Free,Video_Song_1115,Freddie Mercury,Album_65,Hip-Hop,2008,"Rolling in the deep, you had my heart inside of your hand",V1115,0.914,0
I00102,U0308,Video,Skip,2,2023-12-28 13:13:30.390878,31,M,Premium,Video_Song_747,Sam Smith,Album_84,Jazz,1994,Hit me baby one more time,V747,0.76,0
I00103,U0195,Video,Skip,4,2024-10-03 06:01:30.390878,33,F,Free,Video_Song_2430,Khalid,Album_49,Classical,2017,Hit me baby one more time,V2430,0.855,0
I00104,U0309,Audio,Share,3,2025-02-01 18:09:30.390878,30,M,Free,Audio_Song_1878,Shawn Mendes,Album_87,Pop,2017,"Beat it, beat it, no one wants to be defeated",A1878,-0.398,0
I00105,U0303,Audio,Skip,2,2025-03-31 03:29:30.390878,52,F,Free,Audio_Song_1271,Billie Eilish,Album_10,Hip-Hop,1995,"I will always love you, I will always love you",A1271,0.218,0
I00106,U0140,Video,Skip,2,2024-09-19 15:51:30.390878,33,M,Free,Video_Song_1208,Eminem,Album_73,Jazz,2014,"I will always love you, I will always love you",V1208,-0.587,0
I00107,U0276,Audio,Listen,2,2024-07-28 07:04:30.390878,52,F,Free,Audio_Song_1664,Green Day,Album_80,Rock,2018,I get by with a little help from my friends,A1664,-0.868,0
I00108,U0282,Video,Skip,4,2024-11-25 07:08:30.390878,27,Other,Premium,Video_Song_2085,Sam Smith,Album_79,Hip-Hop,2015,"You're simply the best, better than all the rest",V2085,-0.719,0
I00109,U0030,Audio,Share,1,2024-02-28 21:57:30.390878,36,M,Free,Audio_Song_978,Whitney Houston,Album_40,Pop,1994,"I want to hold your hand, I want to hold your hand",A978,0.583,0
I00110,U0188,Audio,Skip,5,2024-11-12 13:07:30.390878,42,Other,Premium,Audio_Song_497,Kendrick Lamar,Album_66,Jazz,2024,"I will always love you, I will always love you",A497,0.099,0
I00111,U0044,Audio,Skip,4,2024-06-23 01:15:30.390878,16,M,Premium,Audio_Song_1305,Beyoncé,Album_57,Electronic,2001,"Here comes the sun, and I say, it's alright",A1305,-0.115,0
I00112,U0249,Video,Skip,5,2024-08-24 22:56:30.390878,50,F,Free,Video_Song_2055,Lil Nas X,Album_35,Rock,2013,"Uptown funk you up, uptown funk you up",V2055,0.085,0
I00113,U0398,Video,Share,3,2024-03-29 09:18:30.390878,42,M,Premium,Video_Song_1096,Mariah Carey,Album_64,Hip-Hop,1999,"Shake it off, shake it off",V1096,0.921,0
I00114,U0123,Audio,Share,4,2024-08-03 09:48:30.390878,21,Other,Premium,Audio_Song_1032,U2,Album_9,Jazz,1992,"Imagine there's no heaven, it's easy if you try",A1032,-0.962,1
I00115,U0138,Video,Share,4,2024-06-24 12:18:30.390878,59,Other,Free,Video_Song_152,Frank Sinatra,Album_99,Rock,2010,"We will, we will rock you, we will, we will rock you",V152,0.623,1
I00116,U0180,Audio,Skip,5,2024-03-09 02:18:30.390878,41,F,Free,Audio_Song_959,Halsey,Album_49,Pop,2006,"Let it be, let it be, let it be, let it be",A959,-0.383,0
I00117,U0128,Audio,Share,3,2025-02-17 15:14:30.390878,33,M,Premium,Audio_Song_2017,Ariana Grande,Album_87,Jazz,2013,"Uptown funk you up, uptown funk you up",A2017,-0.062,0
I00118,U0227,Audio,Like,2,2023-05-27 13:31:30.390878,23,M,Free,Audio_Song_2109,Post Malone,Album_86,Jazz,2006,"I see a little silhouetto of a man, Scaramouche, Scaramouche",A2109,-0.461,0
I00119,U0127,Audio,Like,2,2025-06-26 13:44:30.390878,46,Other,Free,Audio_Song_1896,Aretha Franklin,Album_92,Rock,2000,"Uptown funk you up, uptown funk you up",A1896,0.28,0
I00120,U0380,Audio,Share,3,2023-09-26 01:04:30.390878,50,M,Premium,Audio_Song_724,Nirvana,Album_3,Jazz,2012,"I will always love you, I will always love you",A724,-0.912,0
I00121,U0393,Audio,Listen,2,2024-05-21 17:30:30.390878,54,Other,Free,Audio_Song_1180,Tina Turner,Album_6,Pop,2004,Is this the real life? Is this just fantasy?,A1180,-0.32,0
I00122,U0057,Audio,Like,5,2023-08-25 23:29:30.390878,23,F,Free,Audio_Song_884,Stevie Nicks,Album_75,Pop,2019,"Shake it off, shake it off",A884,-0.524,1
I00123,U0331,Video,Share,5,2024-05-23 01:40:30.390878,20,F,Free,Video_Song_284,Aretha Franklin,Album_50,Classical,2008,I just called to say I love you,V284,-0.176,1
I00124,U0263,Audio,Listen,3,2025-04-14 16:37:30.390878,59,M,Premium,Audio_Song_2104,Biggie Smalls,Album_100,Hip-Hop,2016,"We will, we will rock you, we will, we will rock you",A2104,0.617,0
I00125,U0320,Video,Skip,2,2024-12-20 06:54:30.390878,29,Other,Premium,Video_Song_12,BTS,Album_27,Classical,2015,Is this the real life? Is this just fantasy?,V012,-0.832,0
I00126,U0136,Audio,Listen,2,2023-01-17 01:03:30.390878,49,Other,Free,Audio_Song_645,Otis Redding,Album_72,Hip-Hop,2023,"You're simply the best, better than all the rest",A645,-0.78,0
I00127,U0343,Audio,Share,4,2024-12-16 01:28:30.390878,27,F,Premium,Audio_Song_1982,Cardi B,Album_28,Rock,2021,I get by with a little help from my friends,A1982,-0.505,1
I00128,U0455,Audio,Skip,2,2025-06-18 15:19:30.390878,59,F,Free,Audio_Song_1668,Lorde,Album_98,Hip-Hop,1992,I get by with a little help from my friends,A1668,0.166,0
I00129,U0092,Video,Listen,1,2024-02-02 21:12:30.390878,35,F,Free,Video_Song_448,Camila Cabello,Album_68,Hip-Hop,2021,"I see a little silhouetto of a man, Scaramouche, Scaramouche",V448,0.067,0
I00130,U0413,Video,Skip,4,2024-05-07 16:29:30.390878,28,Other,Free,Video_Song_1660,Shawn Mendes,Album_91,Hip-Hop,2009,"Here comes the sun, and I say, it's alright",V1660,0.425,0
I00131,U0311,Video,Share,1,2023-03-22 23:25:30.390878,15,M,Premium,Video_Song_970,Kanye West,Album_84,Pop,2008,"Sweet dreams are made of this, who am I to disagree?",V970,-0.073,0
I00132,U0371,Audio,Listen,1,2023-11-07 07:46:30.390878,25,F,Premium,Audio_Song_1097,Megan Thee Stallion,Album_63,Hip-Hop,2009,"Rolling in the deep, you had my heart inside of your hand",A1097,0.182,0
I00133,U0226,Video,Like,1,2024-08-13 09:58:30.390878,30,M,Premium,Video_Song_1627,The Chainsmokers,Album_82,Rock,1992,I just called to say I love you,V1627,0.611,0
I00134,U0330,Video,Share,3,2024-02-17 21:37:30.390878,28,F,Free,Video_Song_456,Sam Smith,Album_95,Rock,2020,I get by with a little help from my friends,V456,-0.164,0
I00135,U0396,Video,Listen,2,2025-06-27 13:38:30.390878,54,M,Premium,Video_Song_1732,Travis Scott,Album_19,Rock,1999,"You're simply the best, better than all the rest",V1732,0.121,0
I00136,U0124,Audio,Share,4,2025-01-30 01:45:30.390878,33,Other,Free,Audio_Song_2199,Linkin Park,Album_14,Rock,1997,"Cause baby you're a firework, come on show 'em what you're worth",A2199,0.637,1
I00137,U0082,Video,Share,5,2024-12-24 09:46:30.390878,27,M,Premium,Video_Song_2045,Bruce Springsteen,Album_84,Hip-Hop,2016,"Here comes the sun, and I say, it's alright",V2045,0.089,1
I00138,U0433,Audio,Like,3,2023-02-20 14:10:30.390878,27,Other,Free,Audio_Song_334,Coldplay,Album_71,Hip-Hop,2001,"All the single ladies, all the single ladies",A334,-0.138,0
I00139,U0302,Video,Listen,4,2023-04-10 13:29:30.390878,18,M,Premium,Video_Song_2294,Janis Joplin,Album_6,Hip-Hop,2008,"I can't get no satisfaction, I can't get no satisfaction",V2294,-0.924,1
I00140,U0188,Video,Skip,1,2024-06-03 06:30:30.390878,42,Other,Premium,Video_Song_1130,The Chainsmokers,Album_92,Rock,2008,I get by with a little help from my friends,V1130,-0.575,0
I00141,U0147,Video,Share,3,2025-06-10 03:49:30.390878,45,Other,Free,Video_Song_2339,Lil Nas X,Album_5,Classical,2014,"Uptown funk you up, uptown funk you up",V2339,0.236,0
