id,creationdate,score,viewcount,title,answercount,commentcount,favoritecount,quest_name,quest_rep,ans_name,ans_rep
9850954,2012-03-24 10:26:50,14,4498,pandas - get most recent value of a particular column indexed by another column (get maximum value of a particular column indexed by another column),6,0,5.0,enrishi,303.0,,
9851018,2012-03-24 10:35:14,1,203,What extra data is stored in Series and DataFrame objects?,1,0,,user1289813,6.0,,
9877391,2012-03-26 18:11:04,13,6897,How to get the closest single row after a specific datetime index using Python Pandas,3,0,5.0,John Cornwell,114.0,Wes McKinney,43310.0
9892044,2012-03-27 14:54:46,3,1037,Pandas Date converter,1,0,,Fernando Mourão,16.0,,
9927711,2012-03-29 14:42:42,1,1659,Reading csv in python pandas and handling bad values,3,0,2.0,Dave31415,914.0,eumiro,104313.0
9938130,2012-03-30 06:41:28,5,3781,plotting stacked barplots on a panda data frame,2,1,,Abhi,1824.0,Wes McKinney,43310.0
9941288,2012-03-30 10:30:59,1,423,pandas: Change one Series by using a second one with the same index,1,0,,Einar,1561.0,eumiro,104313.0
9943848,2012-03-30 13:22:40,3,5184,Forecasting using Pandas OLS,1,1,3.0,Turukawa,122.0,Chang She,8528.0
9944436,2012-03-30 13:58:29,10,5874,Converting OHLC stock data into a different timeframe with python and pandas,3,3,6.0,kgr,6144.0,Garrett,15536.0
9962114,2012-04-01 05:25:20,9,8079,Control Charts in Python,1,0,3.0,John,8807.0,Josh Hemann,590.0
9962822,2012-04-01 07:56:42,8,3877,Pandas pivot_table on date,1,1,6.0,John,8807.0,Wes McKinney,43310.0
10002181,2012-04-03 22:10:49,1,573,What python's Pandas data struts used for?,1,0,,Merlin,6684.0,Wes McKinney,43310.0
10003171,2012-04-03 23:59:41,1,404,"What is an efficient way in pandas to do summaryBy(...,full.dimension=T)",2,1,,LmW.,486.0,Wes McKinney,43310.0
10009468,2012-04-04 10:38:56,6,3821,"GroupBy functions in Python Pandas like SUM(col_1*col_2), weighted average etc",3,0,3.0,Arthur G,987.0,Wes McKinney,43310.0
10015284,2012-04-04 16:22:28,2,3600,How you create a datetime index in pandas,1,0,1.0,Merlin,6684.0,,
10017938,2012-04-04 19:27:14,2,1133,How to index with a list of values with only one label in a Pandas MultiIndex,1,0,1.0,John Cornwell,114.0,LmW.,486.0
10020591,2012-04-04 23:17:23,21,20171,How to resample a dataframe with different functions applied to each column?,4,0,15.0,bmu,17129.0,bmu,17129.0
10027719,2012-04-05 11:28:00,0,500,Installing Pandas with Python 2.5 on Windows,1,0,,JamesS,191.0,Wes McKinney,43310.0
10065051,2012-04-08 18:01:13,83,77902,python-pandas and databases like mysql,11,4,65.0,user1320615,532.0,,
10114399,2012-04-11 21:40:38,13,4847,Pandas: simple 'join' not working?,1,0,,Phil,68.0,Wes McKinney,43310.0
10130734,2012-04-12 19:51:25,4,3768,Best way to insert a new value,1,0,1.0,geronimo,311.0,,
10133021,2012-04-12 22:56:34,4,1888,Multiindex from array in Pandas with non unique data,1,0,2.0,elyase,19551.0,Wes McKinney,43310.0
10145025,2012-04-13 16:52:55,3,1125,Pandas: index data by a histogram result,1,0,2.0,Rafael S. Calsaverini,5056.0,Wes McKinney,43310.0
10145224,2012-04-13 17:08:02,9,5528,Pandas: trouble understanding how merge works,1,0,4.0,Rafael S. Calsaverini,5056.0,Avaris,21067.0
10158060,2012-04-14 23:00:05,2,2435,How to create high low open close chart with pandas,1,0,1.0,SlyFly,11.0,,
10158613,2012-04-15 00:37:31,4,2252,Importing Confusion Pandas,3,1,,user1234440,3369.0,Wes McKinney,43310.0
10175068,2012-04-16 13:27:44,15,7501,Select data at a particular level from a MultiIndex,2,3,5.0,elyase,19551.0,elyase,19551.0
10194482,2012-04-17 15:45:10,9,11592,custom matplotlib plot : chess board like table with colored cells,1,3,9.0,Abhi,1824.0,Joe Kington,151179.0
10198295,2012-04-17 20:03:13,1,1070,Last non-NaN value in a group,1,0,,bzyueshen,6.0,,
10202570,2012-04-18 03:59:55,91,88115,Pandas DataFrame - Find row where values for column is maximal,4,2,24.0,lazy1,7054.0,ely,26102.0
10214692,2012-04-18 17:28:36,3,2997,pip install numpy pandas fails?,1,2,1.0,sebas,16.0,,
10215259,2012-04-18 18:04:04,5,1808,pandas aggregated data to a numpy array : data structure conversion,1,0,3.0,Abhi,1824.0,Wes McKinney,43310.0
10264739,2012-04-22 02:35:06,9,2362,major memory problems reading in a csv file using numpy,3,2,7.0,vgoklani,1752.0,vgoklani,1752.0
10373660,2012-04-29 16:10:35,199,207980,Converting a Pandas GroupBy object to DataFrame,5,0,90.0,saveenr,2421.0,Wes McKinney,43310.0
10376647,2012-04-29 22:41:28,12,26110,Installed Python Modules - Python can't find them,2,14,3.0,mikebmassey,2362.0,andrew cooke,31770.0
10393447,2012-05-01 04:12:13,0,130,Scope gotcha when dynamically adding methods in a loop,2,0,,Chris Billington,424.0,Ignacio Vazquez-Abrams,513959.0
10422438,2012-05-02 22:12:45,1,1491,Check if HDF5 Store object is empty?,1,0,,nitin,2945.0,bmu,17129.0
10445549,2012-05-04 08:43:55,2,2127,Pandas shuffle rows at a certain level,2,0,1.0,Marijn van Vliet,2819.0,Garrett,15536.0
10449663,2012-05-04 13:20:52,1,6111,Pandas cannot be imported into IPython,2,2,,Michele Reilly,346.0,,
10457584,2012-05-05 00:00:12,72,117890,Redefining the Index in a Pandas DataFrame object,2,1,19.0,nitin,2945.0,Avaris,21067.0
10458493,2012-05-05 03:10:23,1,2355,Pandas: how to plot yearly data on top of each other,2,0,3.0,dailyglen,460.0,Garrett,15536.0
10464738,2012-05-05 18:25:59,24,16884,Interpolation on DataFrame in pandas,2,0,14.0,archlight,349.0,Avaris,21067.0
10475488,2012-05-07 00:38:47,5,2263,Calculating crossing (intercept) points of a Series or DataFrame,1,1,3.0,dailyglen,460.0,dailyglen,460.0
10484106,2012-05-07 14:46:14,7,15141,pandas reading csv orientation,2,0,2.0,Nicola Vianello,597.0,,
10484424,2012-05-07 15:04:58,0,196,Possible bug in Series.interpolate,2,0,,dailyglen,460.0,Avaris,21067.0
10511024,2012-05-09 06:45:29,71,48836,"in Ipython notebook, Pandas is not displaying the graph I try to plot",6,3,22.0,chrisfs,1617.0,Tal Yarkoni,1710.0
10518803,2012-05-09 15:05:08,2,1216,Cannot export to CSV after data alignment,2,3,,Michele Reilly,346.0,,
10532501,2012-05-10 10:53:48,1,1681,Convert interval datetime values to any-frequency time series,1,3,1.0,Olexiy Strashko,18.0,eumiro,104313.0
10545957,2012-05-11 05:36:56,11,9690,creating pandas data frame from multiple files,4,0,9.0,Abhi,1824.0,zach,6311.0
10556568,2012-05-11 18:17:19,0,347,Aggregating longitudinal data in Pandas DataFrame for mapping in matplotlib,0,2,1.0,davideps,140.0,,
10565282,2012-05-12 16:05:17,16,17683,"pandas, python - how to select specific times in timeseries",4,0,19.0,Dr. Dave,83.0,Marc Shivers,558.0
10575251,2012-05-13 21:05:23,0,99,Why is there this read_fwf() error?,1,0,,user1234440,3369.0,Garrett,15536.0
10591000,2012-05-14 21:01:58,25,20693,Specifying data type in Pandas csv reader,2,2,5.0,Gardner,126.0,,
10591796,2012-05-14 22:17:20,1,159,Python Pandas: Aggregate changed from 0.7.1 to 0.7.3,0,2,,Dylan Cutler,41.0,,
10594515,2012-05-15 05:17:50,0,1333,Why isn't read_fwf() output correct content of files?,1,0,,user1234440,3369.0,,
10595327,2012-05-15 06:34:02,4,7773,Pandas: Sort pivot table,1,1,2.0,mrmagooey,2487.0,Wes McKinney,43310.0
10601041,2012-05-15 12:49:25,11,3892,Pandas: where's the memory leak here?,1,1,5.0,iron.arty,91.0,,
10636024,2012-05-17 12:48:00,36,30386,Python / Pandas - GUI for viewing a DataFrame or Matrix,15,6,27.0,Ross R,1562.0,user1319128,555.0
10665889,2012-05-19 14:11:42,144,179896,How to take column-slices of dataframe in pandas,7,3,65.0,cpa,988.0,Ted Petrou,10426.0
10671227,2012-05-20 06:14:57,0,473,Pandas FloatingPoint Error,1,5,,tshauck,5957.0,Karmel,2870.0
10697423,2012-05-22 07:14:56,2,2893,How do I display multiple charts in pandas python,2,1,,chrisfs,1617.0,Wes McKinney,43310.0
10705715,2012-05-22 16:00:59,0,304,averaging half-hourly data for weekdays only,1,2,,Ben Hussey,43.0,,
10706533,2012-05-22 16:54:49,0,1391,"Error Installing Pandas using pip, Windows 7 64bit Python 3.2",1,0,,Reflux,1044.0,Wes McKinney,43310.0
10715519,2012-05-23 07:41:57,21,18580,Conditionally fill column values based on another columns value in pandas,3,0,12.0,Jan Willem Tulp,304.0,Wes McKinney,43310.0
10715965,2012-05-23 08:12:31,340,408347,add one row in a pandas.DataFrame,15,3,89.0,PhE,1988.0,fred,2342.0
10717504,2012-05-23 09:53:22,7,5475,Is it possible to use read_csv to read only specific lines?,4,0,3.0,user1412286,81.0,eumiro,104313.0
10723847,2012-05-23 16:08:37,0,99,Print out inner series,1,7,,fred,2342.0,,
10728757,2012-05-23 22:27:09,0,1411,numpy function to aggregate a signal for time?,3,4,,saroele,2055.0,,
10729210,2012-05-23 23:21:18,125,181045,iterating row by row through a pandas dataframe,1,2,23.0,peoplesparkresident,603.0,Wes McKinney,43310.0
10751127,2012-05-25 08:35:27,41,21699,Returning multiple values from pandas apply on a DataFrame,1,2,13.0,Einar,1561.0,,
10760364,2012-05-25 19:33:39,8,2977,"""Zebra Tables"" in IPython Notebook?",3,0,4.0,JD Long,33098.0,minrk,22244.0
10767163,2012-05-26 14:41:22,1,1084,Python Pandas GroupBy equivalent of If A and not B where clause in SQL,1,0,3.0,pythOnometrist,1068.0,lbolla,4552.0
10771745,2012-05-27 04:53:45,0,1146,Removing duplicates from dataframe with index + row matching,1,2,1.0,dailyglen,460.0,dailyglen,460.0
10791661,2012-05-29 00:06:52,7,12210,How do I discretize values in a pandas DataFrame and convert to a binary matrix?,5,0,3.0,Uri Laserson,958.0,lbolla,4552.0
10797734,2012-05-29 10:54:38,3,2435,How to optimally apply a function on all items of a dataframe using inputs from another dataframe?,2,2,1.0,sweetdream,710.0,bmu,17129.0
10816994,2012-05-30 13:10:38,1,2103,Python Pandas: Data Downsampling,2,1,,user1412286,81.0,lbolla,4552.0
10824906,2012-05-30 22:03:44,2,580,How to create a dataframe from grouped data,1,0,1.0,user1427057,76.0,,
10839701,2012-05-31 19:04:59,6,2570,Time-weighted average with Pandas,1,0,4.0,user2303,608.0,,
10841538,2012-05-31 21:28:05,4,4487,Pandas: List of Column names in a pivot table,1,0,1.0,Daniel Velazquez,25.0,,
10844493,2012-06-01 04:40:16,5,4397,DataFrame.apply in python pandas alters both original and duplicate DataFrames,1,0,1.0,MikeGruz,28.0,BrenBarn,136870.0
10857924,2012-06-01 22:05:44,46,37222,Remove NULL columns in a dataframe Pandas?,1,1,10.0,shelly,333.0,Wes McKinney,43310.0
10867028,2012-06-03 00:38:37,28,25115,Get pandas.read_csv to read empty values as empty string instead of nan,3,0,5.0,BrenBarn,136870.0,Wes McKinney,43310.0
10883805,2012-06-04 15:22:52,1,1707,"Load un-aligned time series into a DataFrame, with one index?",2,0,1.0,luffe,658.0,,
10908295,2012-06-06 04:46:19,5,3175,How to convert pandas dataframe so that index is the unique set of values and data is the count of each value?,1,0,2.0,dailyglen,460.0,Wes McKinney,43310.0
10934323,2012-06-07 14:55:58,4,4181,DataFrame.ix() in pandas - is there an option to catch situations when requested columns do not exist?,2,0,1.0,Lev Selector,451.0,,
10943478,2012-06-08 05:24:57,12,11115,pandas reindex DataFrame with datetime objects,1,0,4.0,BFTM,895.0,BrenBarn,136870.0
10947968,2012-06-08 11:28:57,5,6334,XML to pandas dataframe,1,2,1.0,root,29368.0,eumiro,104313.0
10951341,2012-06-08 15:01:32,48,19879,Pandas DataFrame aggregate function using multiple columns,6,0,27.0,user1444817,241.0,,
10972410,2012-06-10 21:12:43,19,46428,pandas: combine two columns in a DataFrame,5,0,5.0,BFTM,895.0,BrenBarn,136870.0
10975690,2012-06-11 07:02:14,3,1822,How to do groupby in pandas with part of date string?,1,0,,jason,1147.0,eumiro,104313.0
10982089,2012-06-11 14:28:49,40,38413,How to shift a column in Pandas DataFrame,3,0,10.0,root,29368.0,eumiro,104313.0
10982266,2012-06-11 14:38:45,1,1693,How to aggregate duplicate timestamps with pandas?,1,2,2.0,Andrew,248.0,eumiro,104313.0
11004088,2012-06-12 20:11:53,5,2008,indexing a pandas DataFrame,1,0,1.0,elyase,19551.0,diliop,5952.0
11005012,2012-06-12 21:17:34,1,587,Importing data table using Pandas - Exception: Index (columns 0) have duplicate values [nan],1,2,1.0,user1452228,11.0,,
11012981,2012-06-13 10:29:47,5,4664,Create Excel-like SUMIFS in Pandas,2,0,,Julio Guzman,41.0,,
11015974,2012-06-13 13:32:55,0,546,"Vectorize High Frequency Data, Calculate Spread,",1,4,,Andrew,248.0,Pavel T,154.0
11017862,2012-06-13 15:06:07,2,2136,Pyodbc default types for numbers,2,0,,Roger,148.0,Bryan,9472.0
11018120,2012-06-13 15:19:52,2,560,Bug in resampling with pandas 0.8?,1,0,,sweetdream,710.0,Wes McKinney,43310.0
11037895,2012-06-14 16:58:42,9,1144,How can I generalize my pandas data grouping to more than 3 dimensions?,1,0,4.0,Tim Whitcomb,7432.0,Wes McKinney,43310.0
11039985,2012-06-14 19:25:11,1,59,to_panel fills nonexistent values with (seemingly) huge random numbers,0,1,,K Raphael,416.0,,
11040626,2012-06-14 20:09:38,13,10496,Pandas DataFrame Add column to index without resetting,2,0,3.0,user1441053,68.0,Wes McKinney,43310.0
11041411,2012-06-14 21:11:12,10,8010,How to write/read a Pandas DataFrame with MultiIndex from/to an ASCII file?,2,1,2.0,dailyglen,460.0,diliop,5952.0
11057222,2012-06-15 19:45:33,4,1955,How can I iterate and apply a function over a single level of a DataFrame with MultiIndex?,2,0,1.0,Tim Whitcomb,7432.0,Wes McKinney,43310.0
11067027,2012-06-16 21:05:01,115,85762,Python Pandas - Re-ordering columns in a dataframe based on column name,11,2,28.0,pythOnometrist,1068.0,BrenBarn,136870.0
11073609,2012-06-17 18:07:39,32,24509,How to group DataFrame by a period of time?,1,0,5.0,serguei,183.0,BrenBarn,136870.0
11077023,2012-06-18 04:45:48,120,63617,What are the differences between Pandas and NumPy+SciPy in Python?,3,5,29.0,,,Wes McKinney,43310.0
11105728,2012-06-19 16:57:17,4,3929,Pivoting a DataFrame in Pandas for output to CSV,1,3,,user1467068,21.0,,
11106823,2012-06-19 18:11:14,26,22927,Adding two pandas dataframes,4,1,6.0,cs0679,133.0,Wes McKinney,43310.0
11129478,2012-06-20 23:11:41,0,553,Directed graph in pandas,2,0,1.0,poeticcapybara,170.0,Keith C Campbell,826.0
11131647,2012-06-21 04:48:00,2,268,Pandas - Aggregating grouped data provided certain criteria is met,1,0,1.0,enrishi,303.0,,
11136006,2012-06-21 10:15:21,4,6028,Python Pandas: What is the fastest way to create a datetime index?,1,2,3.0,user1412286,81.0,diliop,5952.0
11138859,2012-06-21 13:07:26,1,2907,Pandas panel data,2,0,,Michael WS,763.0,,
11139757,2012-06-21 13:54:52,1,768,using pandas how do I get the mean of last two rows in a group,1,0,1.0,user1472282,6.0,,
11157450,2012-06-22 13:47:00,3,819,How do you force a figure redraw ipython notebook inline?,1,0,0.0,Bonnie Yu MSFT,195.0,,
11170653,2012-06-23 15:22:48,9,2121,pandas row specific apply,2,0,,Carson Farmer,161.0,luke14free,2084.0
11174367,2012-06-24 01:32:34,2,2537,Averaging data from multiple data files in Python with pandas,3,0,1.0,Randy Olson,1278.0,Wes McKinney,43310.0
11175213,2012-06-24 05:33:45,3,1736,"pandas read_csv() input local datetime strings, tz_convert to UTC",1,0,,Jeff Kowalczyk,316.0,,
11193212,2012-06-25 16:22:35,3,593,Pandas changes default numpy array format,2,0,,Johann Hibschman,1192.0,,
11194610,2012-06-25 17:52:09,12,3691,How can I reorder multi-indexed dataframe columns at a specific level,2,0,1.0,Tim Whitcomb,7432.0,Wes McKinney,43310.0
11197690,2012-06-25 21:34:19,5,811,pandas MovingOLS doesn't support NA values?,1,0,,Preyas,35.0,Wes McKinney,43310.0
11199437,2012-06-26 00:52:19,2,1656,issue with pandas and semilog for boxplot,1,2,,Bonnie Yu MSFT,195.0,,
11230071,2012-06-27 15:41:10,3,847,Resampling pandas timeseries without computing a new offset,1,0,,Tim Whitcomb,7432.0,,
11232275,2012-06-27 17:58:38,29,14016,Pandas pivot warning about repeated entries on index,4,1,4.0,Tarantula,8221.0,Wes McKinney,43310.0
11233502,2012-06-27 19:21:52,1,456,Inconsistent R^2 adjusted values in pandas OLS,1,0,,Preyas,35.0,Wes McKinney,43310.0
11235604,2012-06-27 22:21:04,0,435,nosetests: algorithms.py:125: RuntimeWarning: tp_compare didn't return -1 or -2 for exception,1,0,,user1487028,6.0,,
11237557,2012-06-28 03:07:25,0,403,"TypeError on read_csv, working in pandas .7, error in .8.0rc2, possible dependency error?",2,0,,Jeff,76.0,Chang She,8528.0
11253390,2012-06-28 21:47:30,1,593,Find all elements in dataframe column that startswith string,1,0,,Julio Guzman,41.0,,
11264307,2012-06-29 15:09:28,9,7436,"Adding levels to MultiIndex, removing without losing",1,0,4.0,Arthur G,987.0,Arthur G,987.0
11265116,2012-06-29 15:58:11,1,5701,Most efficient way to calculate the mean of a group of columns in a pandas DataFrame,2,0,1.0,Einar,1561.0,DSM,164692.0
11285613,2012-07-01 21:03:16,331,526432,Selecting columns in a pandas dataframe,8,4,104.0,user1234440,3369.0,ely,26102.0
11289670,2012-07-02 07:52:09,0,865,".EXE installer crashes when installing Python modules: IPython, Pandas and Matplotlib",3,1,,,,,
11295147,2012-07-02 13:55:35,3,2449,Winsorize data in Pandas for Python,1,0,,David M,79.0,ecatmur,104067.0
11298097,2012-07-02 17:06:58,2,812,concatenating TimeSeries of different lengths using Pandas,1,1,1.0,user1496672,11.0,,
11306167,2012-07-03 07:16:53,1,1125,Pandas slicing on a timeseries seems inconsistent with list slicing,1,2,,Lamarth,23.0,eumiro,104313.0
11314693,2012-07-03 15:53:33,6,6643,Can I export a Python Pandas dataframe to MS SQL?,2,0,4.0,David M,79.0,lbolla,4552.0
11321243,2012-07-04 01:09:56,3,1488,grouped pandas DataFrames: how do I apply scipy.stats.sem to them?,1,4,1.0,Randy Olson,1278.0,ely,26102.0
11329611,2012-07-04 12:57:23,0,1162,Python Pandas: to_panel() from dataframe returns weird numbers for binary variable,2,0,,user1501612,1.0,,
11334098,2012-07-04 18:43:10,2,7893,How to take out the column index name in dataframe,2,0,0.0,user1234440,3369.0,ely,26102.0
11337437,2012-07-05 03:10:24,1,299,Convert object to DateRange,1,1,,lycovian,98.0,,
11346283,2012-07-05 14:21:15,834,931604,Renaming columns in pandas,21,1,231.0,user1504276,4206.0,eumiro,104313.0
11348183,2012-07-05 15:59:54,18,26272,Pandas bar plot with specific colors and legend location?,2,3,7.0,Shane,69835.0,Wes McKinney,43310.0
11350488,2012-07-05 18:38:37,1,777,"Efficient way to calculate averages, standard deviations from a txt file",1,2,0.0,user1504774,52.0,Amyunimus,693.0
11350770,2012-07-05 18:57:34,149,155776,pandas + dataframe - select by partial string,7,0,52.0,euforia,816.0,,
11360675,2012-07-06 10:43:35,4,6572,slicing pandas dataframe on date range,2,0,2.0,G Garcia,661.0,,
11361985,2012-07-06 12:12:49,66,122222,Output data from all columns in a dataframe in pandas,6,1,20.0,Curious2learn,7931.0,eumiro,104313.0
11362376,2012-07-06 12:39:18,1,136,Append extras informations to Series in Pandas,1,0,,Lionel Roubeyrie,90.0,,
11362943,2012-07-06 13:16:37,10,7022,Efficient Cointegration Test in Python,1,1,4.0,Akavall,30059.0,,
11391969,2012-07-09 09:04:33,44,27467,How to group pandas DataFrame entries by date in a non-unique column,5,1,15.0,Boris Gorelik,9605.0,Wes McKinney,43310.0
11398688,2012-07-09 15:51:48,1,588,merging DataFrames with pandas,1,0,,Claus,1038.0,Chang She,8528.0
11400181,2012-07-09 17:36:31,3,4883,"pandas pivoting a dataframe, duplicate rows",3,1,2.0,tomas,350.0,,
11414596,2012-07-10 13:40:36,5,8885,"dropping a row in pandas with dates indexes, python",2,0,,user1504276,4206.0,eumiro,104313.0
11415701,2012-07-10 14:36:11,14,18041,Efficiently construct Pandas DataFrame from large list of tuples/rows,2,2,3.0,ely,26102.0,eumiro,104313.0
11416692,2012-07-10 15:26:15,1,564,Plotting millisecond range in pandas,1,0,,user1515250,20.0,Chang She,8528.0
11418192,2012-07-10 16:56:37,42,24109,pandas: complex filter on rows of DataFrame,4,0,6.0,duckworthd,4733.0,duckworthd,4733.0
11422552,2012-07-10 21:48:20,3,356,pandas: bypassing numerical index,1,0,,duckworthd,4733.0,Chang She,8528.0
11423690,2012-07-10 23:55:38,1,1109,better method to aggregate pandas dataframe by non matching criteria,1,0,1.0,mrjoh3,43.0,Wes McKinney,43310.0
11423790,2012-07-11 00:09:49,1,499,Why am I getting an is_monotonic assertion error using pandas Series.asfreq,1,0,,MikeRand,1918.0,Chang She,8528.0
11435668,2012-07-11 15:06:33,2,4575,All possible combinations of columns of a DataFrame - pandas / python,2,0,1.0,gustavopr,13.0,Chang She,8528.0
11459106,2012-07-12 19:21:46,5,4297,How use the mean method on a pandas TimeSeries with Decimal type values?,1,1,1.0,THM,305.0,ely,26102.0
11470105,2012-07-13 12:00:42,2,3149,Pandas advanced indexing assignment,1,0,1.0,brendan,13.0,ely,26102.0
11492215,2012-07-15 13:14:38,3,850,How to do a groupby on an empty set of columns in Pandas?,2,0,,joelhoro,379.0,DSM,164692.0
11495051,2012-07-15 19:44:50,22,5292,Difference in Python statsmodels OLS and R's lm,2,0,7.0,Skylar Saveland,6611.0,Dirk Eddelbuettel,245753.0
11511880,2012-07-16 20:17:12,7,1918,issue converting python pandas DataFrame to R dataframe for use with rpy2,3,0,2.0,yayder9990,43.0,Joshua Ulrich,124096.0
