DBA Name,Facility Type,Risk,Address,Zip,Inspection Date,Inspection Type,Results,Violations
CLUB SALUD Y FELICIDAD,HERBALIFE/ZUMBA,Risk 2 (Medium),5450 S KEDZIE AVE ,60632.0,02/02/2017,Canvass,Pass,"38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: OBSERVED NO HANDSINK IN FRONT PREP AREA, INSTRUCTED TO PROVIDE. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: OBSERVED THE RUG ON THE FLOOR NOT CLEAN, INSTRUCTED TO CLEAN TO REMOVE STAINS.OBSERVED MANY MISSING TILES IN REAR STORAGE/ENTRANCE TO HOT WATER TANK ROOM, INSTRUCTED TO REPLACE. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: OBSERVED WATER DAMAGED CEILING TILES IN REAR ZUMBA AREA, INSTRUCTED TO REPLACE. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: OBSERVED THE FREEZER NOT CLEAN, INSTRUCTED TO CLEAN."
ANNA MARIA PASTERIA,Restaurant,Risk 1 (High),4400-4404 N CLARK ST ,60640.0,02/01/2017,Complaint,Pass,"30. FOOD IN ORIGINAL CONTAINER, PROPERLY LABELED: CUSTOMER ADVISORY POSTED AS NEEDED - Comments: ALL BULK FOODS MUST BE LABELED. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: INTERIOR OF THE BAR EXPOSED HAND SINK DIRTY. MUST CLEAN AND MAINTAIN. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: PEELING PAINT ON THE CEILING OF THE MENS WASHROOM AND AT THE BACK SPLASH OF THE KITCHEN ONE COMPARTMENT PREP SINK. MUST REMOVE PEELING PAINT. | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: MISSING LIGHT SHIELD ABOVE THE BASEMENT ICE MACHINE. MUST REPLACE. MUST PROVIDE A LIGHT SHIELD OR A SHATTER PROOF BULB ABOVE THE BASEMENT BOX FREEZER. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: FLOORS UNDER THE BAR THREE COMPARTMENT SINK, BAR EXPOSED HAND SINK AND DISH ROOM GREASE TRAP DIRTY WITH DEBRIS. MUST CLEAN AND MAINTAIN. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: MUST PROVIDE STOPPERS FOR THE DISH ROOM THREE COMPARTMENT SINK."
QUEBRADITA,Restaurant,Risk 1 (High),4047 W NORTH AVE ,60639.0,02/01/2017,Canvass Re-Inspection,Pass,"29. PREVIOUS MINOR VIOLATION(S) CORRECTED 7-42-090 - Comments: VIOLATION CORRECTED | 30. FOOD IN ORIGINAL CONTAINER, PROPERLY LABELED: CUSTOMER ADVISORY POSTED AS NEEDED - Comments: VIOLATION CORRECTED | 31. CLEAN MULTI-USE UTENSILS AND SINGLE SERVICE ARTICLES PROPERLY STORED: NO REUSE OF SINGLE SERVICE ARTICLES - Comments: VIOLATION CORRECTED | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: Inspector Comments: MUST REMOVE RUST FROM WALK IN COOLER SHELVING UNITS,RUST FROM LOWER SHELF OF PREP TABLE NEAR REAR 3- COMP SINK.
 | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: Inspector Comments: MUST CLEAN GREASE AND FOOD DEBRI FROM CUTTING BOARDS,GRILL TABLES,FRYER CABINETS,PREP TABLES,PREP COOLERS AND REACH IN FREEZERS,EXTERIOR OF GARBAGE CANS,WHEEL BASES OF FRYERS,WALK IN COOLER SHELVING UNITS AND FAN GUARD COVERS | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: Inspector Comments: MUST CLEAN FOOD DEBRI FROM FLOOR UNDER,AROUND,ALONG WALL BASES THROUGHOUT PREMISES INCLUDING WALK IN COOLER. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: Inspector Comments: MUST REPAIR OR REPLACE DAMAGED WALL TILE IN DRY FOOD STORAGE AREA. | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: VIOLATION CORRECTED | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: Inspector Comments: MUST PLACE TABLE TOP GRILL COMPLETELY UNDER VENTILATION HOOD. | 40. REFRIGERATION AND METAL STEM THERMOMETERS PROVIDED AND CONSPICUOUS - Comments: VIOLATION CORRECTED | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: VIOLATION CORRECTED"
DUNKIN BASKINS TOGOS,Restaurant,Risk 2 (Medium),801 W DIVERSEY PKWY ,60614.0,02/01/2017,Complaint Re-Inspection,Pass,"16. FOOD PROTECTED DURING STORAGE, PREPARATION, DISPLAY, SERVICE AND TRANSPORTATION - Comments: VIOLATION CORRECTED. ICE MACHINE SERVICED BUY HIGHTECH MECHANICAL & REFRIGERATION, WILMETTE, IL. INVOICE PROVIDED | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: VIOLATION CORRECTED. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: OBSERVED CUTTING BOARD ON PREP COOLER IN NEED OF REPAIR OR REPLACING, BLACK GROOVES PRESENT. INSTRUCTED TO REPAIR/REPLACE AND MAINTAIN.  | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: OBSERVED THE FOLLOWING FOOD AND NON FOOD CONTACT EQUIPMENT WITH DRIED FOOD DEBRIS OR DIRT; EXTERIOR OF ICE CAMBROS BEHIND THE FRONT COUNTER. INSTRUCTED TO DETAIL CLEAN, AND MAINTAIN.   | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: OBSERVED FLOORS (CORNERS)BEHIND THE FRONT COUNTER, REAR PREP, WALK IN COOLER, AND AROUND THE MOP SINK NOT CLEAN. DRIED FOOD ITEMS PRESENT. ALSO, DIRTY FLOORS DRAINS THROUGHOUT REAR PREP AREA. INSTRUCTED TO DETAIL CLEAN AND MAINTAIN. "
BLUE FROG THAI,Restaurant,Risk 1 (High),2951 S ARCHER AVE ,60608.0,02/01/2017,License,Pass,"32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: REPLACE THE TORN DOOR GASKET AT THE CENTER DOOR OF THE 3 DOOR PREP COOLER. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: PAINT THE UNFINISHED DRYWALL WALLS AND CEILING IN THE BASEMENT."
LEGEND TASTY HOUSE,Restaurant,Risk 1 (High),2242 S WENTWORTH AVE ,60616.0,02/01/2017,License Re-Inspection,Pass,"16. FOOD PROTECTED DURING STORAGE, PREPARATION, DISPLAY, SERVICE AND TRANSPORTATION - Comments: VIOLATION CORRECTED. ADEQUATE SNEEZE GUARDS PROVIDED AT FRONT SERVICE COUNTER. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: VIOLATION CORRECTED. OPENING AROUND FLOOR DRAIN IN BASEMENT WASHROOM SEALED. | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: MUST PROVIDE LIGHT SHIELDS FOR OVER HEAD LAMPS ABOVE HOT HOLDING UNIT AT FRONT SERVICE COUNTER. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: VIOLATION CORRECTED."
POPUP DROPOFF,Restaurant,Risk 1 (High),1229 E 87TH ST ,60619.0,02/01/2017,Canvass,Pass,"37. TOILET ROOM DOORS SELF CLOSING: DRESSING ROOMS WITH LOCKERS PROVIDED: COMPLETE SEPARATION FROM LIVING/SLEEPING QUARTERS - Comments: CORRECTED FROM 2016. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: MUST CLEAN FLOORS AROUND AND BEHIND EQUIPMENT IN KITCHEN. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: MUST CLEAN VENTS IN HOODED SYSTEM ABOVE COOKING EQUIPMENT. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: MUST CLEAN AND MAINTAIN INTERIOR OF UTILITY SINK. | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: OBSERVED ONE SET OF LIGHTS IN THE PREP AREA WITHOUT A SHIELD; MUST PROVIDE A SHIELD FOR THIS SET OF LIGHTS."
TOWNSHIP,Restaurant,Risk 1 (High),2200-2202 N CALIFORNIA AVE ,60647.0,02/01/2017,Complaint Re-Inspection,Pass,"18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: CORRECTED, NO INSECT ACTIVITY OBSERVED ON PREMISES AT THIS TIME. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: CORRECTED | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: CORRECTED | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: CORRECTED | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: CORRECTED | 45. FOOD HANDLER REQUIREMENTS MET - Comments: CORRECTED"
ROMA'S BEEF & SAUSAGE,Restaurant,Risk 1 (High),4237 N CICERO AVE ,60641.0,02/01/2017,Canvass,Pass,"30. FOOD IN ORIGINAL CONTAINER, PROPERLY LABELED: CUSTOMER ADVISORY POSTED AS NEEDED - Comments: LABEL AND DATE ALL POTENTIALLY HAZARDOUS FOODS INSIDE THE CONTAINERS IN THE WALK IN COOLER. ALSO ALL BROWNIES PACKED ON A PLASTIC CONTAINER FOR SALE HAS TO HAVE A LABEL,NAME OF THE COMPANY, ADDRESS, INGREDIENTS AND FODD ALLERGENS NOTED. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: INSTALL A SPLASH GUARD BETWEEN THE EXPOSED HAND SINK AND THE PREP TABLE. 
RELOCATE THE SOAP DISPENSER WHICH IS LOCATED ABOVE THE PREP TABLE. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: CLEAN AND REMOVE DUST BUILD -UP ON THE 2 DOOR REACH IN COOLER AND MAINTAIN.
CLEAN AND SANITIZE INTERIOR OF THE ICE MACHINE,(ICE ARE FOR HUMAN CONSUMPTION) AND MAINTAIN. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: CLEAN IN DETAIL THE FLOOR IN THE FRONT AND REAR PREP AREA AND MAINTAIN.                    

MISSING FLOOR TILES INSIDE THE WASHROOM. MUST REPLACE/REPAIR AND MAINTAIN.

 | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: MISSING WALL TILES BEHIND THE PREP TABLE CLOSE TO THE REFRIGERATOR. MUST REPAIR/REPLACE AND MAINTAIN.

HOOD,FILTER WITH GREASE BUILD-UP. MUST CLEAN AND MAINTAIN. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: INSTALL A DIPPER WELLS IN THE FRONT SERVING AREA FOR THE ICE CREAM SECTION."
JULIANA,Restaurant,Risk 1 (High),3001 W PETERSON AVE ,60659.0,02/01/2017,Canvass Re-Inspection,Pass w/ Conditions,"16. FOOD PROTECTED DURING STORAGE, PREPARATION, DISPLAY, SERVICE AND TRANSPORTATION - Comments: ICE MACHINE IS NOW CLEANED AND MAINTAINED | 29. PREVIOUS MINOR VIOLATION(S) CORRECTED 7-42-090 - Comments: NOTED THE FOLLOWING PREVIOUS MINOR VIOLATIONS CORRECTED:-#30,#32, #33, #34, #35, #43. | 29. PREVIOUS MINOR VIOLATION(S) CORRECTED 7-42-090 - Comments: NOTED PREVIOUS MINOR VIOLATION FROM INSPECTION REPORT #1631896 DATED 2/18/16 NOT CORRECTED:-#45) OBSERVED NO IDPH FOOD HANDLER LIST. MUST PROVIDE FOOD HANDLER CERTIFICATES FOR ALL EMPLOYEES. 
SERIOUS VIOLATION #7-42-090    | 30. FOOD IN ORIGINAL CONTAINER, PROPERLY LABELED: CUSTOMER ADVISORY POSTED AS NEEDED - Comments: CORRECTED | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: NOTED BLACK AND DIRTY STAINS ON CUTTING BOARDS AT THE KITCHEN PREP AREA. INSTRUCTED TO DETAIL CLEAN AND SANITIZE..NOTED TORN RUBBER GASKET AT 3 DOOR REFRIGERATION UNIT. INSTRUCTED TO REPAIR AND/OR REPLACE RUBBER GASKETS....NOTED MILK CRATES USED FOR ELEVATION. INSTRUCTED TO PROVIDE PROPER SHELVING FOR FOOD STORAGE TO PREVENT HIDING PLACES FOR PEST. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: CORRECTED | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: CORRECTED | 21. * CERTIFIED FOOD MANAGER ON SITE WHEN POTENTIALLY HAZARDOUS FOODS ARE  PREPARED AND SERVED - Comments: MANAGER ENROLLED."
GIORDANO'S ON SHERIDAN,Restaurant,Risk 1 (High),6836 N SHERIDAN RD ,60626.0,02/01/2017,Canvass Re-Inspection,Pass,"29. PREVIOUS MINOR VIOLATION(S) CORRECTED 7-42-090 - Comments:  VIOLATION#29 CORRECTED | 31. CLEAN MULTI-USE UTENSILS AND SINGLE SERVICE ARTICLES PROPERLY STORED: NO REUSE OF SINGLE SERVICE ARTICLES - Comments:  VIOLATION#31 CORRECTED | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments:  VIOLATION#33 CORRECTED | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: VIOLATION #34 CORRECTED. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments:  VIOLATION #38 CORRECTED. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments:  VIOLATION #41 CORRECTED | 43. FOOD (ICE) DISPENSING UTENSILS, WASH CLOTHS PROPERLY STORED - Comments:  VIOLATION #43 CORRECTED"
QUALITY CATERING,Mobile Food Dispenser,Risk 3 (Low),1204 W 36TH PL ,60609.0,02/01/2017,License,Fail,"1. SOURCE SOUND CONDITION, NO SPOILAGE, FOODS PROPERLY LABELED, SHELLFISH TAGS IN PLACE - Comments: NO APPROVED COMMISSARY. FOOD MUST COME FROM AN APPROVED SOURCE AND SERVICE AGREEMENT PROVIDED. 
 | 2. FACILITIES TO MAINTAIN PROPER TEMPERATURE - Comments: HOT HOLDING UNITS NOT MAINTAINING PROPER TEMPERATURE 136.2F  | 30. FOOD IN ORIGINAL CONTAINER, PROPERLY LABELED: CUSTOMER ADVISORY POSTED AS NEEDED - Comments: PROPERLY PRINT CORRECT LICENSE NUMBER ON LATERAL SIDES OF VEHICLE."
TAQUERIA LA PAZ,Restaurant,Risk 1 (High),5134 W GRAND AVE ,60639.0,02/01/2017,Complaint,Pass,"31. CLEAN MULTI-USE UTENSILS AND SINGLE SERVICE ARTICLES PROPERLY STORED: NO REUSE OF SINGLE SERVICE ARTICLES - Comments: MUST INVERT MULTIUSE UTENSILS ON LOWER SHELVING UNIT OF GRILL TABLE AND FOOD STORAGE SHELF. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: MUST REMOVE OVER SIZED POTS FROM PREMISES THAT CAN'T BE SUBMERGED IN 3- COMP SINK.MUST REPAIR OR REPLACE TORN CHAIR SEATS IN DINING AREA,WORN DOOR GASKETS ON BOTH 1- DOOR PREP COOLERS,1 & 2- DOOR REACH IN COOLER.MUST REMOVE FOIL FROM LOWER SHELVES OF TABLES UNDER COOKING EQUIPMENT. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: MUST CLEAN EXCESSIVE GREASE AND FOOD DEBRI FROM INTERIOR AND EXTERIOR OF ALL COOLERS,OVEN,GRILL TABLE,PREP TABLE,WHEEL BASES OF EQUIPMENT ,FOOD STORAGE SHELVES,STEAM TABLE. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: MUST CLEAN EXCESSIVE GREASE AND FOOD DEBRI FROM FLOOR UNDER,AROUND,ALONG WALL BASES IN PREP AREA,DINING AREA AND FLOOR MATS.MUST REPAIR OR REPLACE TORN AND WORN FLOOR MATS ,DAMAGED FLOOR TILES IN PREP AREA.MUST REMOVE STANDING WATER UNDER 2- DOOR REACH IN COOLER. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: MUST REPAIR OR REPLACE MISSING AND DAMAGED WALL TILES AND WALL BASE IN PREP AREA AND TOILETROOM,LOOSE CEILING VENT ABOVE HAND SINK IN PREP AREA.MUST CLEAN GREASE BUILD UP FROM GRATED CEILING VENT IN PREP AREA,WALLS AND MENU BOARD IN PREP AREA,FILTERS,CEILING TILES,LIGHT SHIELDS.MUST REMOVE PAPER AND TAPE FROM WALL IN DINING AROUND COVERING UNFINISHED WALL NEAR REAR DOOR. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: MUST REPAIR OR REPLACE LEAKY PIPES AT HAND SINK OUTSIDE OF TOILETROOM AND PLASTIC BAGS WRAPPED AROUND PIPES THAT ARE LEAKING UNDER 3- COMP SINK AND LEAKY FAUCET AT SAME. | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: MUST REPAIR OR REPLACE CRACKED LIGHT SHIELDS AT HOOD OF COOKING EQUIPMENT AND PREP AREA"
SEAFOOD JUNCTION # 4 INC.,Restaurant,Risk 1 (High),1317 E 87TH ST ,60619.0,02/01/2017,Canvass,Pass,"42. APPROPRIATE METHOD OF HANDLING OF FOOD (ICE) HAIR RESTRAINTS AND CLEAN APPAREL WORN - Comments: CORRECTED FROM MAY 2016. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: THE VENTS ABOVE THE COOKING EQUIPMENT IN THE PREP AREA NEED CLEANING IN THE CENTER AREA; CLEAN VENTS. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: CLEAN FLOORS IN CORNER AREAS AROUND AND BEHIND VARIOUS KITCHEN EQUIPMENT."
"TAQUERIA MI LINDO DURANGO, INC",Restaurant,Risk 1 (High),9940 S VINCENNES AVE ,60643.0,02/01/2017,Canvass,Pass w/ Conditions,"6. HANDS WASHED AND CLEANED, GOOD HYGIENIC PRACTICES; NO BARE HAND CONTACT WITH READY-TO-EAT FOODS. - Comments: UPON INSPECTION OBSERVED FOOD HANDLER/MANAGER USING BARE HANDS WHILE PREPARING CUSTOMER SANDWHICH,( HAMBURGER).TOUCHING READY TO EAT FOODS, BREAD,LETTUCE,TOMATOES,CHEESE,ETC.INSTRUCTED MGR THERE IS NO BARE HAND CONTACT WITH READY TO EAT FOODS.MUST WEAR GLOVES,TONGS,SPOONS,SPATUALAS,ETC.
CRITICAL VIOLATION 7-38-010A | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: FOUND CLUTTER OF ARTICLES UNDER HAND SINK IN WASHROOM.MUST ORGANIZE AREA."
EL CARRITO,Restaurant,Risk 1 (High),6019-6023 N LINCOLN AVE ,60659.0,02/01/2017,Canvass Re-Inspection,Pass,"19. OUTSIDE GARBAGE WASTE GREASE AND STORAGE AREA; CLEAN, RODENT PROOF, ALL CONTAINERS COVERED - Comments: OUTSIDE GREASE CONTAINER IS NOW MAINTAINED. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: CORRECTED | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: CORRECTED | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: CORRECTED"
NAZARETH BAKERY,Bakery,Risk 1 (High),4806-4808 N KEDZIE AVE ,60625.0,02/01/2017,Canvass,Out of Business,
LITTLE TYKES II DAYCARE INC,Daycare Combo 1586,Risk 1 (High),1723 W 35TH ST ,60609.0,12/05/2016,Canvass,Pass,"41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments:  CLUTTER AT DRY STORAGE AREA NEEDS TO BE REMOVED AND REORGANIZED."
DRAGON BOAT RESTAURANT,Restaurant,Risk 1 (High),5645 W BELMONT AVE ,60634.0,02/01/2017,Canvass Re-Inspection,Pass,"29. PREVIOUS MINOR VIOLATION(S) CORRECTED 7-42-090 - Comments: CORRECTED (PREVIOUS MINOR VIOLATIONS HAS NOW BEEN CORRECTED). | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: CORRECTED | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: CORRECTED | 40. REFRIGERATION AND METAL STEM THERMOMETERS PROVIDED AND CONSPICUOUS - Comments: CORRECTED | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: CORRECTED | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: MUST DETAIL CLEAN AND MAINTAIN CONDENSER FAN COVER WITH DUST ACCUMULATION INSIDE WALK-IN COOLER.----------MUST REPLACE MISSING AND WATER STAINED CEILING TILES ABOVE REAR HOT WATER TANK (BY EXIT DOOR)."
Barry,School,Risk 2 (Medium),2828 N Kilbourn (4500W) ,60641.0,02/01/2017,Canvass,Pass,"36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: BURNED OUT LIGHT  BULB INSIDE THE WALK IN FREEZER. MUST REPLACE AND MAINTAIN. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: DUST BUILD-UP O THE FAN GUARD OF THE 2 DOOR REACH IN COOLER IN THE KITCHEN AND IN THE DINING LUNCH ROOM. MUST CLEAN, REMOVE DUST AND MAINTAIN. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: LEAK ON THE FAUCET CONNECTOR ARM OF THE 3 COMPT SINK. MUST REPAIR TO STOP THE LEAK.

MUST INCREASE THE HOT WATER PRESSURE ON THE WASHBOWL SINK OF THE BOYS WASHROOM 2ND FLOOR NORTH SIDE AND MAINTAIN. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: PEELING PAINT ON THE WALLS BEHIND THE TOILET BOWL IN THE TEACHER'S WASHROOM 2ND FLOOR. MUST SCRAPE PEELING PAINT AND RE PAINT."
