age,workclass,education,education-num,occupation,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
45,Private,Bachelors,13,Exec-managerial,White,Male,0,1408,40,United-States,<=50K
30,Federal-gov,Some-college,10,Adm-clerical,White,Male,0,0,40,United-States,<=50K
22,State-gov,Some-college,10,Other-service,Black,Male,0,0,15,United-States,<=50K
48,Private,11th,7,Machine-op-inspct,White,Male,0,0,40,Puerto-Rico,<=50K
21,Private,Some-college,10,Machine-op-inspct,White,Male,0,0,40,United-States,<=50K
19,Private,HS-grad,9,Adm-clerical,White,Female,0,0,25,United-States,<=50K
48,Self-emp-not-inc,Assoc-acdm,12,Prof-specialty,White,Male,0,0,40,United-States,<=50K
31,Private,9th,5,Machine-op-inspct,White,Male,0,0,43,United-States,<=50K
53,Self-emp-not-inc,Bachelors,13,Prof-specialty,White,Male,0,0,40,United-States,<=50K
24,Private,Bachelors,13,Tech-support,White,Male,0,0,50,United-States,<=50K
49,Private,HS-grad,9,Adm-clerical,White,Female,0,0,40,United-States,<=50K
25,Private,HS-grad,9,Handlers-cleaners,White,Male,0,0,35,United-States,<=50K
57,Federal-gov,Bachelors,13,Prof-specialty,Black,Male,0,0,40,United-States,>50K
53,Private,HS-grad,9,Machine-op-inspct,White,Male,0,0,38,United-States,<=50K
44,Private,Masters,14,Exec-managerial,White,Female,0,0,40,United-States,<=50K
41,State-gov,Assoc-voc,11,Craft-repair,White,Male,0,0,40,United-States,<=50K
29,Private,Assoc-voc,11,Prof-specialty,White,Male,0,0,43,United-States,<=50K
25,Private,Some-college,10,Exec-managerial,Other,Female,0,0,40,United-States,<=50K
47,Private,Prof-school,15,Prof-specialty,White,Female,0,1902,60,Honduras,>50K
50,Federal-gov,Bachelors,13,Exec-managerial,White,Male,0,0,55,United-States,>50K
47,Self-emp-inc,HS-grad,9,Exec-managerial,White,Male,0,0,60,United-States,<=50K
43,Private,Some-college,10,Tech-support,White,Male,0,0,40,United-States,>50K
46,Private,5th-6th,3,Machine-op-inspct,White,Male,0,0,40,Mexico,<=50K
35,Private,Assoc-voc,11,Other-service,White,Male,0,0,40,Puerto-Rico,<=50K
41,Private,HS-grad,9,Adm-clerical,White,Male,0,0,48,United-States,<=50K
30,Private,HS-grad,9,Machine-op-inspct,White,Male,5013,0,40,United-States,<=50K
30,Private,Bachelors,13,Sales,White,Male,2407,0,40,United-States,<=50K
48,Private,HS-grad,9,Transport-moving,White,Male,0,0,40,United-States,<=50K
42,Private,Doctorate,16,Prof-specialty,White,Male,0,0,45,United-States,>50K
29,Private,Some-college,10,Tech-support,White,Male,0,0,58,United-States,<=50K
36,Private,HS-grad,9,Craft-repair,White,Male,0,0,40,United-States,<=50K
28,Private,Some-college,10,Adm-clerical,White,Female,0,0,40,United-States,<=50K
53,Private,HS-grad,9,Adm-clerical,White,Female,0,0,40,United-States,>50K
49,Self-emp-inc,Some-college,10,Exec-managerial,White,Male,0,0,50,United-States,>50K
19,Private,Some-college,10,Prof-specialty,White,Male,0,0,32,United-States,<=50K
31,Private,Bachelors,13,Sales,Black,Female,0,0,40,United-States,<=50K
29,Self-emp-not-inc,Bachelors,13,Sales,White,Male,0,0,70,United-States,>50K
23,Private,Some-college,10,Machine-op-inspct,White,Male,0,0,40,United-States,<=50K
79,Private,Some-college,10,Prof-specialty,White,Male,0,0,20,United-States,<=50K
27,Private,HS-grad,9,Other-service,White,Male,0,0,40,Mexico,<=50K
40,Private,Assoc-acdm,12,Adm-clerical,White,Male,0,0,40,United-States,<=50K
18,Private,11th,7,Other-service,White,Female,0,0,22,United-States,<=50K
31,Local-gov,7th-8th,4,Farming-fishing,White,Male,0,0,40,United-States,<=50K
18,Private,HS-grad,9,Sales,White,Male,0,0,30,United-States,<=50K
52,Private,Bachelors,13,Other-service,White,Male,0,0,40,Cuba,<=50K
46,Private,HS-grad,9,Other-service,White,Female,0,0,40,United-States,<=50K
59,Private,HS-grad,9,Sales,White,Male,0,0,48,United-States,<=50K
44,Private,HS-grad,9,Craft-repair,White,Female,14344,0,40,United-States,>50K
53,Private,HS-grad,9,Sales,White,Female,0,0,35,United-States,<=50K
49,Local-gov,HS-grad,9,Protective-serv,White,Male,0,0,40,United-States,>50K
33,Private,Masters,14,Prof-specialty,White,Male,0,0,50,United-States,<=50K
30,Private,9th,5,Sales,White,Male,0,0,40,United-States,<=50K
43,Federal-gov,Doctorate,16,Prof-specialty,White,Female,0,0,50,United-States,>50K
57,Private,Assoc-voc,11,Prof-specialty,White,Male,0,0,40,United-States,<=50K
37,Private,Some-college,10,Craft-repair,White,Female,0,0,40,United-States,<=50K
28,Private,Some-college,10,Machine-op-inspct,Black,Female,0,0,25,United-States,<=50K
34,Local-gov,Bachelors,13,Protective-serv,White,Male,0,0,40,United-States,>50K
29,Local-gov,Some-college,10,Handlers-cleaners,White,Male,0,0,50,United-States,<=50K
48,Self-emp-not-inc,Doctorate,16,Prof-specialty,White,Male,0,1902,60,United-States,>50K
37,Private,Some-college,10,Sales,White,Male,0,0,48,United-States,>50K
48,Private,Assoc-acdm,12,Exec-managerial,White,Female,0,0,40,England,<=50K
32,Federal-gov,HS-grad,9,Other-service,Black,Male,0,0,40,United-States,<=50K
76,Private,Masters,14,Exec-managerial,White,Male,0,0,40,United-States,>50K
44,Private,Bachelors,13,Exec-managerial,White,Male,15024,0,60,United-States,>50K
47,Self-emp-not-inc,Masters,14,Prof-specialty,White,Female,0,0,50,United-States,<=50K
20,Private,Some-college,10,Tech-support,White,Female,0,0,40,United-States,<=50K
29,Private,HS-grad,9,Craft-repair,White,Male,0,0,40,United-States,<=50K
32,Self-emp-inc,HS-grad,9,Craft-repair,White,Male,7688,0,40,United-States,>50K
30,Private,11th,7,Handlers-cleaners,White,Male,0,0,40,United-States,<=50K
31,Local-gov,HS-grad,9,Adm-clerical,White,Female,0,0,40,United-States,<=50K
42,Private,HS-grad,9,Handlers-cleaners,White,Male,0,0,40,United-States,<=50K
24,Private,Bachelors,13,Sales,White,Male,0,0,40,United-States,<=50K
38,Private,Prof-school,15,Prof-specialty,White,Male,0,0,40,United-States,>50K
56,Self-emp-not-inc,HS-grad,9,Other-service,White,Male,0,1887,50,Canada,>50K
28,Private,Some-college,10,Sales,White,Female,4064,0,25,United-States,<=50K
36,Private,HS-grad,9,Machine-op-inspct,White,Female,0,0,40,United-States,<=50K
53,Private,9th,5,Handlers-cleaners,White,Male,0,0,50,United-States,<=50K
56,Self-emp-inc,Some-college,10,Sales,White,Male,0,0,50,United-States,<=50K
49,Local-gov,Assoc-voc,11,Craft-repair,Black,Male,0,0,40,United-States,>50K
55,Private,Some-college,10,Sales,White,Male,0,0,56,United-States,<=50K
22,Private,HS-grad,9,Craft-repair,White,Male,0,0,41,United-States,<=50K
21,Private,Some-college,10,Other-service,White,Female,0,0,40,United-States,<=50K
40,Private,Bachelors,13,Exec-managerial,White,Male,0,0,60,United-States,<=50K
30,Private,Bachelors,13,Exec-managerial,Black,Male,0,0,40,Germany,<=50K
29,State-gov,Bachelors,13,Prof-specialty,White,Male,0,0,50,United-States,>50K
19,Private,Some-college,10,Other-service,Black,Male,0,0,35,United-States,<=50K
47,Private,Bachelors,13,Exec-managerial,White,Female,0,0,40,United-States,>50K
20,Private,Some-college,10,Adm-clerical,White,Female,0,1719,28,United-States,<=50K
31,Private,Assoc-acdm,12,Adm-clerical,White,Male,0,0,40,United-States,>50K
39,Private,Some-college,10,Craft-repair,White,Male,0,0,40,United-States,<=50K
28,Private,Assoc-acdm,12,Sales,White,Female,0,0,60,United-States,<=50K
24,Private,HS-grad,9,Other-service,White,Female,0,1762,40,United-States,<=50K
38,Self-emp-not-inc,HS-grad,9,Craft-repair,White,Male,4386,0,35,United-States,<=50K
37,Private,Bachelors,13,Sales,White,Male,0,0,50,United-States,<=50K
46,Private,Assoc-acdm,12,Tech-support,Black,Female,0,0,36,United-States,<=50K
38,Federal-gov,Masters,14,Prof-specialty,White,Male,0,0,40,Iran,>50K
43,Self-emp-not-inc,HS-grad,9,Craft-repair,White,Male,0,0,60,United-States,<=50K
27,Private,Assoc-voc,11,Adm-clerical,White,Female,0,0,35,United-States,<=50K
20,Private,Some-college,10,Sales,White,Male,0,0,20,United-States,<=50K
49,Private,Some-college,10,Craft-repair,Asian-Pac-Islander,Male,0,0,40,United-States,>50K
61,Self-emp-inc,HS-grad,9,Craft-repair,White,Male,0,0,40,United-States,<=50K
27,Private,Some-college,10,Sales,White,Female,0,0,40,United-States,<=50K
19,Private,Some-college,10,Other-service,White,Male,0,0,30,Mexico,<=50K
45,Private,Assoc-voc,11,Prof-specialty,White,Female,0,1564,40,United-States,>50K
70,Private,Some-college,10,Tech-support,White,Male,0,0,40,United-States,<=50K
31,Private,HS-grad,9,Transport-moving,Black,Female,0,0,30,United-States,<=50K
22,Private,Some-college,10,Other-service,White,Male,0,0,24,United-States,<=50K
36,Private,HS-grad,9,Other-service,White,Female,0,0,24,United-States,<=50K
64,Private,11th,7,Craft-repair,White,Male,0,2179,40,United-States,<=50K
47,Local-gov,Some-college,10,Adm-clerical,White,Female,0,0,38,Mexico,<=50K
34,Private,HS-grad,9,Adm-clerical,White,Female,0,0,40,United-States,<=50K
33,Private,Bachelors,13,Exec-managerial,Asian-Pac-Islander,Female,0,0,40,Philippines,<=50K
21,Private,HS-grad,9,Craft-repair,White,Male,0,0,35,United-States,<=50K
48,Private,HS-grad,9,Craft-repair,White,Male,0,0,46,United-States,<=50K
23,Private,Bachelors,13,Handlers-cleaners,White,Male,0,0,40,United-States,<=50K
71,Self-emp-not-inc,Some-college,10,Sales,Black,Male,0,1816,2,United-States,<=50K
29,Private,HS-grad,9,Craft-repair,White,Male,0,0,60,United-States,<=50K
42,Private,Bachelors,13,Other-service,Black,Male,0,0,50,United-States,<=50K
25,Private,HS-grad,9,Other-service,White,Female,0,0,40,United-States,<=50K
44,Self-emp-inc,Masters,14,Exec-managerial,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K
28,Private,HS-grad,9,Exec-managerial,Asian-Pac-Islander,Female,0,0,40,England,<=50K
45,Self-emp-not-inc,Masters,14,Sales,White,Male,0,0,40,United-States,>50K
36,Private,Some-college,10,Other-service,White,Female,0,0,40,Mexico,<=50K
39,Federal-gov,Assoc-acdm,12,Exec-managerial,White,Male,0,0,42,United-States,<=50K
46,State-gov,Masters,14,Protective-serv,White,Male,0,0,40,United-States,<=50K
18,Private,11th,7,Handlers-cleaners,White,Male,0,0,16,United-States,<=50K
66,Local-gov,Assoc-voc,11,Prof-specialty,White,Female,0,0,20,United-States,<=50K
27,Private,HS-grad,9,Other-service,White,Male,0,1980,40,United-States,<=50K
28,State-gov,HS-grad,9,Protective-serv,White,Male,0,0,40,United-States,<=50K
51,Private,Some-college,10,Sales,White,Male,0,1977,40,United-States,>50K
27,Private,Bachelors,13,Craft-repair,White,Male,0,0,50,United-States,<=50K
28,State-gov,Bachelors,13,Prof-specialty,White,Male,0,0,40,United-States,>50K
27,Private,HS-grad,9,Sales,White,Female,0,0,25,United-States,<=50K
21,Private,HS-grad,9,Craft-repair,Black,Male,0,0,40,United-States,<=50K
34,Private,HS-grad,9,Handlers-cleaners,Black,Male,0,0,40,United-States,<=50K
18,Private,HS-grad,9,Other-service,White,Male,0,0,12,United-States,<=50K
33,Private,Bachelors,13,Prof-specialty,White,Male,0,0,65,United-States,<=50K
44,Local-gov,Some-college,10,Exec-managerial,Black,Male,0,0,38,United-States,>50K
43,Private,Some-college,10,Adm-clerical,White,Female,0,0,40,United-States,<=50K
30,Private,Some-college,10,Craft-repair,Black,Male,0,0,45,United-States,<=50K
40,Private,7th-8th,4,Machine-op-inspct,White,Male,0,0,40,Mexico,>50K
37,Federal-gov,Some-college,10,Adm-clerical,White,Male,0,0,42,United-States,>50K
34,Private,HS-grad,9,Adm-clerical,Black,Male,0,0,40,United-States,<=50K
41,Self-emp-not-inc,Bachelors,13,Exec-managerial,White,Female,0,0,40,United-States,<=50K
31,Private,Masters,14,Prof-specialty,White,Female,0,0,50,United-States,<=50K
58,State-gov,Doctorate,16,Prof-specialty,White,Male,0,0,1,United-States,>50K
38,Private,Some-college,10,Machine-op-inspct,Black,Female,0,0,28,United-States,<=50K
24,Private,Some-college,10,Machine-op-inspct,White,Male,0,0,40,United-States,<=50K
41,Local-gov,Bachelors,13,Craft-repair,Black,Male,0,0,40,United-States,<=50K
47,Private,Some-college,10,Tech-support,White,Male,0,0,45,United-States,<=50K
41,Federal-gov,Bachelors,13,Tech-support,White,Male,0,0,24,United-States,<=50K
23,Private,5th-6th,3,Transport-moving,White,Male,0,0,40,Mexico,<=50K
36,Private,Some-college,10,Craft-repair,White,Male,0,0,40,United-States,<=50K
40,Federal-gov,Masters,14,Exec-managerial,White,Female,14084,0,55,United-States,>50K
35,Private,Masters,14,Prof-specialty,White,Male,7298,0,40,United-States,>50K
24,Self-emp-not-inc,HS-grad,9,Sales,White,Male,0,0,40,United-States,<=50K
26,Private,Masters,14,Prof-specialty,White,Female,0,1876,40,United-States,<=50K
51,Private,Bachelors,13,Exec-managerial,White,Male,0,0,50,United-States,>50K
42,Local-gov,Some-college,10,Prof-specialty,White,Female,0,1340,40,United-States,<=50K
37,State-gov,HS-grad,9,Adm-clerical,White,Female,0,0,35,United-States,<=50K
18,Private,11th,7,Sales,White,Female,0,0,40,United-States,<=50K
36,Private,Bachelors,13,Other-service,Black,Male,7298,0,36,United-States,>50K
35,Private,HS-grad,9,Craft-repair,White,Male,0,0,60,United-States,<=50K
58,Self-emp-inc,HS-grad,9,Sales,White,Female,15024,0,35,United-States,>50K
17,Private,11th,7,Sales,White,Female,0,0,12,United-States,<=50K
44,Local-gov,HS-grad,9,Transport-moving,Black,Male,0,0,40,United-States,<=50K
37,Private,HS-grad,9,Craft-repair,White,Male,0,0,40,United-States,>50K
35,Private,Some-college,10,Sales,Amer-Indian-Eskimo,Female,0,0,40,United-States,<=50K
60,Private,HS-grad,9,Craft-repair,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K
54,Self-emp-inc,7th-8th,4,Machine-op-inspct,White,Male,0,0,40,United-States,>50K
37,Private,Bachelors,13,Exec-managerial,Black,Male,0,0,60,United-States,>50K
50,Private,Assoc-acdm,12,Sales,White,Female,0,0,40,United-States,<=50K
38,Private,Bachelors,13,Sales,White,Male,0,0,50,Poland,<=50K
45,Private,Bachelors,13,Prof-specialty,White,Male,0,0,55,United-States,<=50K
25,Private,10th,6,Craft-repair,White,Male,0,0,40,United-States,<=50K
31,Private,Some-college,10,Handlers-cleaners,White,Male,0,0,40,United-States,<=50K
90,Private,HS-grad,9,Other-service,Black,Male,0,2206,40,United-States,<=50K
54,Private,HS-grad,9,Adm-clerical,Black,Male,0,0,20,United-States,<=50K
53,Local-gov,Preschool,1,Machine-op-inspct,White,Female,0,0,35,United-States,<=50K
18,Private,HS-grad,9,Sales,White,Female,0,0,40,United-States,<=50K
66,Self-emp-not-inc,HS-grad,9,Farming-fishing,White,Male,1409,0,50,United-States,<=50K
75,Private,Assoc-voc,11,Adm-clerical,White,Female,0,0,20,Columbia,<=50K
65,Private,HS-grad,9,Adm-clerical,White,Female,0,0,40,United-States,<=50K
35,Private,11th,7,Transport-moving,Black,Male,3674,0,40,United-States,<=50K
41,Private,HS-grad,9,Sales,Black,Female,0,0,38,United-States,<=50K
25,Private,Some-college,10,Adm-clerical,White,Male,0,0,42,United-States,<=50K
33,Private,Some-college,10,Craft-repair,Other,Female,0,0,40,United-States,<=50K
28,Private,Prof-school,15,Prof-specialty,White,Male,0,0,55,United-States,>50K
59,State-gov,HS-grad,9,Other-service,White,Male,0,0,40,United-States,<=50K
40,State-gov,Some-college,10,Adm-clerical,White,Female,0,0,38,United-States,<=50K
41,Private,Bachelors,13,Exec-managerial,White,Male,0,0,50,Iran,>50K
38,Local-gov,Masters,14,Exec-managerial,White,Male,0,0,70,United-States,>50K
23,Private,HS-grad,9,Transport-moving,White,Male,0,0,40,United-States,<=50K
40,Private,Bachelors,13,Prof-specialty,White,Male,0,0,40,United-States,>50K
41,Self-emp-not-inc,HS-grad,9,Other-service,White,Female,0,0,20,United-States,<=50K
24,State-gov,Assoc-acdm,12,Protective-serv,White,Male,0,0,50,United-States,<=50K
38,Private,Some-college,10,Craft-repair,White,Male,0,1741,40,United-States,<=50K
58,Private,HS-grad,9,Adm-clerical,White,Male,0,0,45,United-States,>50K
32,Private,HS-grad,9,Other-service,White,Female,0,0,34,United-States,<=50K
40,Private,Assoc-acdm,12,Tech-support,White,Male,0,1977,60,United-States,>50K
41,Private,Prof-school,15,Prof-specialty,White,Female,0,0,40,United-States,>50K
42,Private,Bachelors,13,Adm-clerical,Black,Female,0,0,40,United-States,<=50K
59,Local-gov,10th,6,Other-service,Black,Female,0,0,30,United-States,<=50K
19,Local-gov,Some-college,10,Adm-clerical,White,Male,0,0,40,United-States,<=50K
58,Private,Some-college,10,Transport-moving,White,Male,0,0,20,United-States,<=50K
42,Self-emp-not-inc,HS-grad,9,Farming-fishing,Asian-Pac-Islander,Male,0,0,40,Cambodia,>50K
20,Private,HS-grad,9,Other-service,White,Female,0,0,40,United-States,<=50K
32,Private,HS-grad,9,Other-service,White,Female,0,0,30,United-States,<=50K
45,Private,Assoc-voc,11,Exec-managerial,White,Female,0,0,45,United-States,<=50K
50,Private,7th-8th,4,Craft-repair,White,Male,0,0,40,United-States,<=50K
36,Private,Bachelors,13,Prof-specialty,White,Female,0,0,40,United-States,<=50K
45,Private,HS-grad,9,Sales,White,Male,0,0,60,United-States,<=50K
17,Private,11th,7,Other-service,White,Male,0,0,12,United-States,<=50K
59,Private,Some-college,10,Sales,White,Male,4064,0,40,United-States,<=50K
26,Private,11th,7,Craft-repair,White,Male,0,0,40,United-States,<=50K
37,Self-emp-inc,Some-college,10,Exec-managerial,Asian-Pac-Islander,Male,0,0,75,Thailand,>50K
64,Private,HS-grad,9,Exec-managerial,White,Male,0,0,40,United-States,>50K
33,Private,Bachelors,13,Prof-specialty,White,Female,0,0,45,United-States,<=50K
33,Private,HS-grad,9,Craft-repair,White,Female,0,0,40,United-States,>50K
61,Private,HS-grad,9,Exec-managerial,White,Male,0,0,40,United-States,>50K
17,Private,9th,5,Other-service,White,Male,1055,0,24,United-States,<=50K
50,Self-emp-not-inc,Masters,14,Farming-fishing,White,Male,2407,0,98,United-States,<=50K
27,Local-gov,Masters,14,Prof-specialty,White,Male,0,0,35,United-States,<=50K
30,Private,HS-grad,9,Prof-specialty,White,Female,0,0,40,United-States,<=50K
43,Private,HS-grad,9,Handlers-cleaners,Black,Male,0,0,40,United-States,<=50K
44,Private,Some-college,10,Craft-repair,White,Male,7298,0,40,United-States,>50K
35,Private,Some-college,10,Exec-managerial,White,Female,0,0,40,United-States,<=50K
25,Private,Some-college,10,Tech-support,White,Female,0,0,40,United-States,<=50K
24,Private,Some-college,10,Machine-op-inspct,White,Female,7298,0,48,United-States,>50K
22,Private,Bachelors,13,Prof-specialty,White,Female,0,0,15,Germany,<=50K
42,Local-gov,Some-college,10,Craft-repair,White,Male,5178,0,40,United-States,>50K
34,Private,Assoc-acdm,12,Sales,Black,Female,0,0,45,United-States,<=50K
60,Private,Bachelors,13,Prof-specialty,White,Female,0,0,42,United-States,<=50K
21,Private,HS-grad,9,Handlers-cleaners,White,Male,0,0,40,United-States,<=50K
57,Federal-gov,Masters,14,Sales,White,Male,15024,0,40,United-States,>50K
41,Private,Prof-school,15,Prof-specialty,White,Male,0,0,60,United-States,>50K
50,Private,Some-college,10,Other-service,White,Male,0,0,45,United-States,<=50K
25,Private,Bachelors,13,Exec-managerial,White,Female,0,0,40,United-States,<=50K
50,Private,7th-8th,4,Craft-repair,White,Male,0,0,40,Ecuador,<=50K
36,Private,Bachelors,13,Prof-specialty,White,Male,0,0,45,United-States,<=50K
31,Private,HS-grad,9,Prof-specialty,White,Female,0,0,40,United-States,<=50K
29,Local-gov,Bachelors,13,Protective-serv,White,Male,0,0,56,United-States,<=50K
21,Private,Some-college,10,Sales,White,Male,0,0,45,United-States,<=50K
27,Private,Bachelors,13,Tech-support,Black,Female,0,0,40,United-States,<=50K
65,Private,HS-grad,9,Transport-moving,White,Male,0,0,16,United-States,<=50K
37,Self-emp-inc,Bachelors,13,Sales,White,Female,0,0,60,United-States,<=50K
24,Private,HS-grad,9,Craft-repair,White,Male,0,0,40,United-States,<=50K
38,Private,HS-grad,9,Sales,White,Male,0,0,80,United-States,<=50K
48,Private,Bachelors,13,Adm-clerical,White,Male,7688,0,40,United-States,>50K
21,Private,Some-college,10,Other-service,Asian-Pac-Islander,Female,0,0,25,United-States,<=50K
31,Private,HS-grad,9,Transport-moving,White,Male,0,0,45,United-States,>50K
55,Private,HS-grad,9,Sales,White,Male,4386,0,40,United-States,>50K
24,Private,Some-college,10,Adm-clerical,Asian-Pac-Islander,Female,0,0,40,Laos,<=50K
43,Private,HS-grad,9,Adm-clerical,White,Female,0,0,40,United-States,<=50K
26,Private,Assoc-acdm,12,Tech-support,White,Male,0,0,45,United-States,<=50K
46,Private,Assoc-acdm,12,Prof-specialty,White,Female,0,0,33,United-States,<=50K
35,Private,Assoc-acdm,12,Adm-clerical,White,Male,0,0,40,United-States,>50K
41,Self-emp-inc,Some-college,10,Farming-fishing,White,Male,0,0,54,United-States,>50K
26,Private,Bachelors,13,Sales,White,Male,0,0,40,United-States,<=50K
34,Private,Masters,14,Exec-managerial,Asian-Pac-Islander,Male,7298,0,35,Taiwan,>50K
36,Self-emp-not-inc,Bachelors,13,Prof-specialty,Black,Female,0,0,40,United-States,>50K
22,Private,Some-college,10,Sales,White,Male,0,0,15,United-States,<=50K
24,Private,Some-college,10,Machine-op-inspct,White,Male,0,0,40,United-States,<=50K
77,Self-emp-not-inc,Some-college,10,Sales,White,Male,0,0,40,United-States,<=50K
22,Private,5th-6th,3,Machine-op-inspct,White,Female,0,0,40,Mexico,<=50K
29,Private,Some-college,10,Tech-support,White,Female,0,0,40,United-States,<=50K
62,Private,HS-grad,9,Other-service,White,Female,0,0,24,United-States,<=50K
39,Self-emp-not-inc,HS-grad,9,Exec-managerial,White,Male,0,0,40,United-States,<=50K
43,Private,Some-college,10,Craft-repair,White,Male,0,1485,50,United-States,<=50K
35,Private,HS-grad,9,Transport-moving,White,Male,0,0,45,United-States,<=50K
29,Private,11th,7,Exec-managerial,White,Female,0,0,40,United-States,<=50K
76,Self-emp-not-inc,Masters,14,Craft-repair,White,Male,0,0,10,United-States,<=50K
63,Self-emp-not-inc,HS-grad,9,Farming-fishing,White,Male,0,0,45,United-States,<=50K
43,Private,Some-college,10,Prof-specialty,White,Female,0,1887,50,United-States,>50K
58,Self-emp-not-inc,HS-grad,9,Handlers-cleaners,White,Male,0,0,40,United-States,<=50K
66,Private,HS-grad,9,Transport-moving,White,Male,2050,0,55,United-States,<=50K
41,Private,Some-college,10,Craft-repair,Black,Male,0,0,45,United-States,<=50K
26,Private,Bachelors,13,Adm-clerical,White,Male,0,0,40,United-States,<=50K
47,Private,Assoc-voc,11,Other-service,White,Male,0,0,40,United-States,<=50K
55,Local-gov,10th,6,Adm-clerical,White,Male,0,0,40,United-States,<=50K
53,Private,HS-grad,9,Transport-moving,White,Male,0,0,40,United-States,<=50K
17,Private,5th-6th,3,Other-service,White,Male,0,0,48,Mexico,<=50K
30,Private,HS-grad,9,Craft-repair,White,Male,0,0,40,United-States,<=50K
49,Private,Masters,14,Prof-specialty,White,Male,0,0,60,United-States,<=50K
19,Private,HS-grad,9,Sales,Black,Male,0,0,30,Haiti,<=50K
45,Private,HS-grad,9,Other-service,Black,Male,0,0,40,United-States,<=50K
26,Private,Assoc-acdm,12,Sales,White,Male,0,0,40,United-States,<=50K
38,Private,Assoc-voc,11,Craft-repair,White,Male,7298,0,40,United-States,>50K
36,State-gov,HS-grad,9,Protective-serv,White,Male,7298,0,40,United-States,>50K
33,Private,HS-grad,9,Farming-fishing,White,Male,0,0,20,United-States,<=50K
22,State-gov,Some-college,10,Protective-serv,Black,Female,0,0,40,United-States,<=50K
43,Self-emp-not-inc,Bachelors,13,Sales,White,Male,0,0,42,United-States,<=50K
56,Private,Assoc-acdm,12,Other-service,White,Male,0,0,25,Iran,<=50K
31,Private,Bachelors,13,Prof-specialty,White,Male,0,0,25,United-States,<=50K
33,Private,Bachelors,13,Exec-managerial,White,Male,0,0,40,United-States,>50K
26,Private,HS-grad,9,Other-service,White,Male,0,0,40,United-States,<=50K
33,Private,Bachelors,13,Exec-managerial,White,Male,0,0,40,United-States,>50K
46,Local-gov,11th,7,Transport-moving,White,Male,0,0,30,United-States,<=50K
38,Federal-gov,HS-grad,9,Adm-clerical,White,Male,0,0,40,United-States,>50K
65,Private,11th,7,Other-service,Other,Male,0,0,40,United-States,<=50K
40,Private,Assoc-voc,11,Tech-support,White,Male,0,0,40,United-States,>50K
42,Private,HS-grad,9,Adm-clerical,White,Female,0,0,35,United-States,<=50K
26,Self-emp-not-inc,9th,5,Craft-repair,White,Male,0,0,40,Portugal,<=50K
36,Private,10th,6,Other-service,White,Female,0,0,24,United-States,<=50K
62,Private,Masters,14,Prof-specialty,White,Male,0,0,40,United-States,>50K
