Customer,TransDate,Quantity,PurchAmount,Cost
126172,14.01.2008,1,99.95,45.00
126172,08.01.2008,1,199.95,79.98
126172,09.09.2008,2,159.90,92.24
126172,29.01.2009,1,44.95,31.13
126172,15.09.2009,1,39.95,15.98
126172,15.09.2009,1,39.95,15.98
126172,08.04.2011,1,129.95,89.99
126172,10.02.2011,1,59.95,15.00
126172,07.05.2012,1,169.95,102.20
126172,25.08.2012,1,129.95,60.00
195110,29.03.2011,1,24.95,10.25
195110,29.03.2011,1,9.95,5.50
163652,08.04.2007,1,99.95,34.15
163652,06.02.2008,1,79.95,35.00
163652,21.07.2009,1,59.95,24.00
163652,21.07.2009,1,69.95,35.00
163652,20.11.2010,1,69.95,25.50
196783,11.11.2011,1,69.95,28.00
196783,11.11.2011,1,69.95,28.00
196783,11.11.2011,1,69.95,28.00
196783,14.11.2011,1,69.95,26.60
196783,14.11.2011,1,9.95,0.00
132010,16.11.2008,1,34.95,12.50
132010,16.11.2008,1,34.95,12.50
132010,16.11.2008,1,34.95,12.50
162318,20.04.2007,1,69.95,36.00
162318,20.04.2007,1,29.95,12.35
162318,26.02.2011,1,129.95,66.58
153293,15.03.2006,1,429.95,180.00
186838,12.02.2006,1,119.95,56.38
186838,27.12.2006,1,119.95,56.38
186838,15.01.2007,1,79.95,36.00
150478,12.01.2005,1,29.95,12.17
150478,12.01.2005,1,29.95,13.50
150478,12.01.2005,1,3.95,1.73
150478,12.01.2005,1,24.95,11.88
113947,29.11.2006,1,49.95,14.98
113947,10.06.2007,1,99.95,49.00
181006,23.06.2009,1,54.95,24.99
181006,10.09.2009,1,99.95,41.65
181006,06.05.2010,1,64.95,27.30
103550,15.12.2005,1,99.95,34.05
103550,12.05.2006,1,69.95,29.25
103550,05.03.2006,1,59.95,26.45
103550,30.10.2010,1,29.95,13.80
174719,11.07.2008,1,199.95,91.67
174719,11.07.2008,1,199.95,91.67
174719,11.07.2008,1,49.95,22.05
150372,30.11.2005,1,119.95,53.50
150372,30.11.2005,1,79.95,36.00
198566,03.12.2012,1,59.95,29.00
198566,03.12.2012,1,169.95,102.20
198566,03.12.2012,2,139.90,72.52
176059,26.11.2008,1,29.95,18.95
176059,12.06.2010,1,49.95,14.15
154135,17.10.2010,1,39.95,20.00
120063,14.09.2007,1,79.95,28.90
120063,04.04.2008,1,71.95,60.60
120063,04.04.2008,1,139.95,105.00
120063,04.04.2008,1,59.95,43.38
179199,02.02.2009,1,54.95,22.60
187123,11.12.2007,1,129.95,45.00
147585,09.12.2005,1,99.95,50.00
147585,09.12.2005,1,39.95,14.50
162965,06.12.2007,2,79.90,21.10
162965,06.12.2007,1,29.95,10.25
162965,08.07.2010,1,39.95,17.40
162965,08.07.2010,1,49.95,22.50
174250,28.10.2008,1,149.95,57.33
174250,28.10.2008,1,129.95,43.70
174250,09.07.2010,1,49.95,16.23
145705,21.03.2005,1,49.95,22.60
190065,12.02.2009,1,39.95,15.98
190065,12.02.2009,1,39.95,15.98
187768,05.11.2009,1,299.95,200.00
187768,05.11.2009,1,19.95,15.60
187768,04.04.2011,1,99.95,44.98
175322,18.11.2008,1,79.95,36.00
197774,12.09.2011,1,69.95,41.00
192890,11.10.2010,1,29.95,15.00
193694,12.02.2010,1,39.95,19.20
193694,15.12.2010,1,34.95,15.75
193694,11.10.2011,1,49.95,17.48
170823,04.04.2008,2,109.90,45.20
196391,14.10.2011,1,49.95,14.78
108559,16.12.2005,1,39.95,18.00
176784,12.04.2008,1,89.95,33.40
176784,12.04.2008,1,149.95,72.75
176784,12.04.2008,1,24.95,10.40
151046,12.07.2005,1,199.95,104.00
151046,12.07.2005,1,79.95,38.00
151046,14.09.2007,1,119.95,65.00
195566,06.10.2011,1,99.95,40.00
195566,06.10.2011,1,69.95,27.00
195566,06.10.2011,1,199.95,100.00
195566,06.10.2011,1,129.95,90.00
195566,06.10.2011,1,59.95,18.36
195566,06.10.2011,1,29.95,11.00
195566,07.05.2011,1,29.95,11.00
195566,07.05.2011,1,29.95,11.00
195566,07.05.2011,1,29.95,11.00
195566,07.05.2011,1,29.95,11.00
195566,07.05.2011,1,29.95,11.00
195566,15.12.2011,1,139.95,58.25
195566,15.12.2011,1,89.95,23.00
195566,15.12.2011,1,99.95,41.05
102142,26.09.2005,1,189.95,86.11
102142,18.04.2005,1,34.95,15.10
102142,11.11.2005,1,24.95,7.33
102142,11.11.2005,1,39.95,16.70
102142,31.10.2006,1,39.95,16.70
102142,30.07.2007,1,99.95,49.99
102142,28.07.2008,1,149.95,63.00
102142,21.11.2009,1,149.95,69.99
166057,13.11.2007,1,89.95,41.99
166057,16.11.2011,1,29.95,13.75
166057,16.11.2011,1,4.95,1.08
155576,21.09.2006,1,39.95,18.85
155576,21.09.2006,1,169.95,87.14
155576,21.09.2006,1,24.95,11.00
155576,21.09.2006,1,39.95,17.70
155576,27.10.2006,1,269.95,162.49
155576,27.10.2006,1,7.95,3.30
155576,27.10.2006,1,269.95,162.49
155576,27.10.2006,1,7.95,3.30
155576,11.08.2006,1,269.95,162.49
155576,11.08.2006,1,7.95,3.30
155576,14.11.2007,1,34.95,16.00
155576,14.11.2007,1,34.95,16.00
155576,14.11.2007,1,44.95,23.00
155576,14.11.2007,1,49.95,22.48
155576,14.11.2007,1,3.95,1.73
155576,14.11.2007,1,49.95,21.00
155576,29.04.2008,1,39.95,19.18
155576,29.04.2008,1,39.95,19.18
155576,11.04.2008,1,39.95,18.80
155576,21.01.2009,2,39.90,23.36
155576,27.02.2009,1,599.95,300.00
155576,12.01.2009,1,129.95,50.46
155576,09.06.2012,1,169.95,102.20
155576,09.06.2012,1,69.95,36.26
152358,01.08.2006,1,39.95,16.40
152358,16.11.2007,1,44.95,20.58
152358,19.10.2009,1,149.95,65.30
152358,27.11.2011,1,69.95,27.16
193530,29.11.2010,1,69.95,19.26
193530,29.11.2010,1,99.95,35.00
193530,29.11.2010,1,39.95,25.13
193530,29.11.2010,1,24.95,10.30
193530,29.11.2010,2,39.90,14.10
193530,29.11.2010,1,49.95,35.93
193530,29.11.2010,1,19.95,7.05
193530,29.11.2010,1,24.95,9.65
193530,25.01.2012,2,79.90,13.56
193530,03.02.2012,1,79.95,40.00
162273,18.04.2007,1,249.95,125.00
162273,18.04.2007,1,39.95,20.00
162273,18.04.2007,1,29.95,10.00
162273,20.11.2007,1,49.95,20.75
162273,20.11.2007,2,49.90,21.00
162273,08.04.2008,1,29.95,13.00
162273,08.04.2008,1,35.00,17.50
162273,08.04.2008,1,79.95,41.90
109348,02.05.2006,1,49.95,22.60
148925,11.08.2005,1,29.95,13.50
148925,11.08.2005,1,34.95,16.75
148925,11.08.2005,1,29.95,10.25
155771,10.02.2006,1,59.95,31.50
198929,24.05.2012,1,24.95,7.25
136364,02.02.2009,1,39.95,18.66
173491,26.09.2008,1,49.95,22.00
173491,26.09.2008,1,69.95,20.75
161773,17.03.2007,1,99.95,63.00
161773,24.05.2007,1,24.95,9.05
161773,24.05.2007,1,12.95,2.70
161773,24.05.2007,1,29.95,12.00
161773,11.12.2007,1,39.95,19.40
161773,11.12.2007,1,39.95,16.00
161773,11.12.2007,1,39.95,16.00
161773,28.11.2007,2,79.90,32.00
161773,30.07.2008,1,129.95,63.70
161773,12.11.2010,2,59.90,33.00
161773,12.11.2010,1,39.95,18.00
161773,12.11.2010,1,29.95,14.50
161773,12.11.2010,2,9.90,2.16
161773,12.11.2010,2,79.90,50.56
161773,12.11.2010,2,9.90,2.16
161773,12.11.2010,4,19.80,4.32
161773,12.11.2010,1,39.95,14.00
161773,12.11.2010,1,7.95,2.56
161773,12.11.2010,1,49.95,38.75
161773,12.11.2010,1,159.95,69.95
161773,12.11.2010,1,29.95,13.00
161773,12.06.2011,1,39.95,12.50
161773,12.06.2011,2,79.90,33.00
161773,12.06.2011,1,39.95,16.00
161773,12.06.2011,1,19.95,10.50
161773,12.06.2011,1,39.95,14.00
161773,12.06.2011,1,4.95,1.08
161773,12.06.2011,1,49.95,21.75
161773,12.06.2011,1,4.95,1.08
161773,12.06.2011,1,99.95,46.50
161773,12.06.2011,1,24.95,14.09
161773,12.06.2011,1,4.95,2.19
161773,12.06.2011,1,39.95,14.60
161773,12.06.2011,2,59.90,29.00
161773,15.12.2011,1,39.95,16.50
161773,15.12.2011,1,39.95,16.50
156215,25.10.2006,2,19.90,7.20
156215,25.01.2010,1,39.95,19.50
156215,28.01.2010,1,119.95,50.00
156215,29.04.2010,1,59.95,24.00
156215,17.07.2012,1,99.95,41.05
152518,17.01.2006,1,179.95,82.50
162540,05.08.2007,1,49.95,24.00
148548,31.10.2005,1,109.95,50.93
148548,24.05.2007,1,129.95,61.10
148548,16.09.2009,1,99.95,53.27
148548,15.12.2010,1,49.95,24.25
148548,19.11.2011,1,119.95,52.80
148548,30.11.2011,1,59.95,25.68
148548,13.02.2012,1,39.95,25.90
145691,20.03.2005,1,49.95,25.00
145691,27.11.2005,1,29.95,14.05
145691,27.11.2005,1,6.95,3.25
145691,27.11.2005,1,69.95,31.50
145691,27.11.2005,1,6.95,3.25
145691,26.07.2006,1,224.95,103.46
145691,26.07.2006,1,44.95,19.76
145691,29.11.2006,1,149.95,57.19
145691,18.01.2007,1,69.95,34.00
145691,18.01.2007,1,69.95,34.00
145691,18.01.2007,1,69.95,34.00
145691,18.01.2007,1,29.95,10.50
145691,08.10.2007,1,69.95,34.00
145691,11.03.2008,1,69.95,34.00
145691,11.10.2008,1,59.95,30.00
145691,24.11.2008,1,59.95,24.00
145691,24.11.2008,1,59.95,29.51
145691,15.09.2009,1,59.95,48.34
145691,16.02.2010,1,279.95,134.00
145691,16.02.2010,1,44.95,19.76
145691,05.01.2010,1,99.95,50.00
145691,05.01.2010,1,59.95,30.00
189052,03.08.2012,2,119.90,58.00
170060,14.02.2008,1,39.95,22.78
126873,20.02.2008,1,59.95,18.05
126873,22.07.2008,1,44.95,17.75
189711,20.11.2009,1,199.95,84.50
153009,21.02.2006,1,9.95,7.50
153009,21.02.2006,1,16.95,15.07
153009,21.02.2006,1,7.95,4.80
153009,28.11.2010,1,69.95,35.00
153009,28.11.2010,4,99.80,29.00
165869,11.09.2007,1,59.95,26.13
165869,09.12.2010,1,79.95,30.78
165869,27.10.2010,1,99.95,18.52
106638,12.04.2007,1,29.95,11.00
106638,01.06.2006,1,69.95,34.95
106638,06.05.2006,1,59.95,30.00
106638,09.04.2008,1,99.95,55.00
106638,09.04.2008,1,24.95,8.00
106638,21.05.2010,1,49.95,23.00
106638,05.11.2012,1,29.95,13.15
152838,02.10.2006,1,59.95,23.00
147219,08.08.2005,1,123.95,53.00
163027,15.06.2007,1,139.95,64.40
163027,13.11.2007,3,105.00,52.50
163027,13.11.2007,2,59.90,21.00
163027,13.11.2007,1,179.95,64.21
163027,13.11.2007,1,59.95,26.85
196418,18.10.2011,1,99.95,43.00
104666,12.07.2006,1,59.95,22.50
166727,24.11.2007,1,49.95,24.00
166487,19.11.2007,1,49.95,22.78
145185,02.09.2005,2,81.90,50.00
145185,02.09.2005,1,34.95,28.49
145185,02.09.2005,1,19.95,16.50
163220,30.06.2007,1,24.95,12.50
106708,12.05.2007,1,69.95,29.50
106708,25.02.2008,1,119.95,65.00
106708,06.11.2008,1,69.95,27.50
106708,06.11.2008,2,23.90,5.98
106708,12.09.2010,1,69.95,28.43
106708,12.09.2010,1,89.95,34.30
189910,27.11.2009,1,99.95,42.00
189910,19.10.2010,1,89.95,25.00
154956,14.08.2006,1,139.95,41.33
154956,27.12.2010,1,59.95,29.00
154956,27.12.2010,1,39.95,14.00
154956,10.06.2011,1,79.95,36.00
154956,10.06.2011,2,79.90,27.00
180383,05.04.2009,1,29.95,10.00
180383,11.05.2009,1,69.95,27.00
152616,26.01.2006,1,129.95,60.00
175431,19.11.2008,1,39.95,18.66
175431,19.11.2008,1,39.95,18.66
175431,19.11.2008,1,29.95,13.50
156073,15.11.2010,1,199.95,94.50
144737,01.07.2005,1,149.95,65.00
144737,21.07.2005,1,24.95,9.05
144737,21.07.2005,1,12.95,2.70
144737,17.06.2006,1,69.95,30.00
186878,16.12.2006,1,49.95,15.20
186878,20.11.2008,1,39.95,19.35
186878,01.10.2011,1,34.95,15.75
186878,15.08.2011,1,39.95,0.00
186878,14.09.2011,1,34.95,16.75
180350,05.02.2009,1,39.95,19.50
158303,28.11.2006,1,99.95,52.21
198900,18.05.2012,1,19.95,9.50
151948,18.12.2005,1,44.95,20.25
189716,20.11.2009,1,49.95,22.00
189716,12.02.2009,2,79.90,24.92
189716,30.09.2010,1,59.95,23.50
189716,15.12.2010,1,69.95,29.40
189716,21.01.2011,1,99.95,41.65
163726,13.08.2007,1,49.95,24.00
163726,13.08.2007,1,99.95,45.95
190661,21.12.2009,1,279.95,134.00
175003,13.11.2008,1,99.95,55.00
175003,13.11.2008,1,24.95,8.00
175003,11.10.2009,1,199.95,89.00
181138,07.01.2009,1,49.95,24.00
163104,19.06.2007,1,29.95,10.25
163104,19.06.2007,1,29.95,10.00
163104,26.11.2011,4,199.80,87.00
163104,26.11.2011,1,34.95,11.00
163104,26.11.2011,1,39.95,14.50
133255,12.01.2008,1,49.95,21.25
133255,12.01.2008,1,69.95,22.95
133255,12.01.2008,1,59.95,27.18
133255,12.01.2008,1,19.95,9.80
133255,12.01.2008,1,19.95,9.80
133255,12.01.2008,1,3.95,1.73
157877,25.11.2006,1,69.95,35.00
178453,21.12.2008,1,24.95,13.83
178453,21.12.2008,1,49.95,23.73
193703,12.02.2010,1,69.95,19.26
145218,02.11.2005,1,24.95,20.68
145218,02.11.2005,2,15.90,11.00
166946,23.04.2011,1,549.95,288.75
166946,23.04.2011,1,29.95,13.80
166946,12.08.2011,1,99.95,46.50
166946,12.08.2011,1,24.95,14.09
110384,17.05.2006,1,194.95,108.56
110384,01.11.2008,1,129.95,65.00
171274,05.06.2008,1,89.95,37.92
171274,05.06.2008,1,59.95,27.50
152487,16.01.2006,1,29.95,14.99
146541,13.06.2005,1,34.95,11.76
146541,13.06.2005,1,34.95,11.76
146541,13.06.2005,1,18.95,4.86
146541,13.06.2005,1,18.95,4.86
146541,13.06.2005,3,20.85,3.30
146541,13.06.2005,3,20.85,3.30
146541,07.05.2007,1,59.95,23.75
146541,07.05.2007,1,79.95,42.00
146541,07.01.2008,1,59.95,28.85
146541,11.06.2008,1,79.95,34.65
146541,11.06.2008,1,49.95,20.75
146541,11.06.2008,1,39.95,17.00
146541,11.06.2008,1,79.95,52.00
146541,03.11.2009,1,59.95,53.51
146541,03.11.2009,1,59.95,53.51
146541,29.12.2009,1,39.95,19.50
146541,13.12.2010,1,49.95,20.00
146541,13.12.2010,1,39.95,19.55
102136,23.08.2005,1,24.95,9.05
102136,29.10.2007,1,99.95,48.00
166689,23.11.2007,1,29.95,10.90
166689,11.10.2011,1,49.95,25.00
174607,11.06.2008,1,49.95,22.00
160735,01.12.2007,1,59.95,22.50
160735,02.02.2008,1,49.95,22.50
158579,30.11.2006,1,299.95,156.00
158579,30.11.2006,1,499.95,240.00
158579,30.11.2006,1,39.95,17.00
182635,21.10.2009,1,129.95,54.00
182635,30.11.2010,1,39.95,7.80
186600,01.09.2006,2,59.90,27.20
186600,18.06.2007,1,219.95,120.00
186600,18.06.2007,1,39.95,20.00
186600,09.08.2008,1,24.95,11.25
151530,12.12.2005,2,99.90,49.82
151591,13.12.2005,3,59.85,22.80
151591,13.12.2005,2,79.90,25.50
151591,13.12.2005,2,49.90,18.34
196485,21.10.2011,1,39.95,14.60
196485,21.10.2011,1,169.95,102.20
196485,21.10.2011,1,69.95,36.26
196485,21.10.2011,1,229.95,62.86
147255,14.08.2005,1,29.95,13.00
147255,12.07.2010,1,69.95,19.99
147255,12.07.2010,2,139.90,39.98
123070,08.10.2005,1,79.95,36.00
123070,28.02.2008,1,129.95,65.00
149584,19.11.2005,2,99.90,50.00
149584,11.12.2006,1,109.95,52.50
167597,12.02.2007,1,199.95,75.37
149686,21.11.2005,1,59.95,43.76
149686,23.08.2009,1,269.95,196.61
134211,12.08.2008,1,349.95,187.50
152401,01.10.2006,1,29.95,22.60
152401,01.10.2006,1,9.95,4.47
152401,08.10.2006,2,39.90,22.50
152401,18.05.2007,1,139.95,69.95
152401,04.06.2005,1,79.95,39.00
152401,07.08.2005,1,19.95,11.25
152401,17.11.2005,2,39.90,22.50
152401,23.06.2010,1,179.95,83.12
152401,24.05.2010,1,39.95,19.50
160462,12.08.2010,1,24.95,7.50
175580,20.11.2008,1,49.95,24.00
175580,10.02.2009,1,49.95,15.98
146483,06.07.2005,1,69.95,28.00
146483,05.07.2009,1,49.95,10.10
146483,06.09.2009,1,29.95,10.30
146483,06.09.2009,1,12.95,2.70
146483,06.09.2009,1,59.95,18.75
158826,12.02.2006,1,399.95,235.00
196556,27.10.2011,1,124.95,52.50
175864,24.11.2008,1,79.95,43.00
175864,07.10.2012,1,49.95,23.00
175864,07.10.2012,1,9.95,4.50
163818,19.08.2007,1,29.95,10.09
163818,19.08.2007,1,29.95,10.09
163818,19.08.2007,1,29.95,10.09
163818,19.08.2007,1,29.95,10.09
163818,19.08.2007,1,14.95,4.20
163818,19.08.2007,1,14.95,4.20
163818,19.08.2007,1,14.95,4.20
163818,19.08.2007,1,14.95,4.20
163818,19.08.2007,1,14.95,5.64
148224,18.10.2005,1,129.95,58.60
148224,22.05.2007,1,89.95,40.90
148224,06.05.2007,1,149.95,67.30
131190,24.10.2008,1,99.95,49.50
131190,10.04.2005,1,199.95,79.00
131190,14.11.2005,1,79.95,36.00
197817,12.10.2011,1,49.95,19.00
112257,23.10.2006,1,59.95,25.75
112257,12.03.2006,1,79.95,32.92
112257,12.03.2006,1,4.95,1.65
155657,26.09.2006,1,24.95,10.00
155657,21.09.2007,1,24.95,10.00
155657,21.09.2007,1,29.95,9.50
155657,21.09.2007,1,12.95,2.70
155657,21.09.2007,1,9.95,7.50
155657,09.11.2009,1,49.95,24.99
164365,24.09.2007,1,249.95,97.75
164365,24.09.2007,2,219.90,103.82
164365,24.09.2007,1,24.95,9.00
164365,24.09.2007,1,49.95,24.00
154256,06.09.2006,1,149.95,69.75
154256,06.09.2006,1,19.95,11.25
154256,08.09.2006,2,39.90,22.50
154256,23.09.2005,1,59.95,29.84
154256,18.10.2005,1,29.95,13.60
196603,11.01.2011,1,49.95,21.75
194699,23.01.2011,1,49.95,11.03
104041,16.11.2006,1,139.95,70.00
104041,24.05.2005,1,149.95,104.21
104041,24.05.2005,1,69.95,30.00
104041,08.10.2006,1,79.95,50.00
104041,08.10.2006,1,139.95,82.95
104041,08.10.2006,1,249.95,189.00
104041,29.05.2008,1,59.95,24.00
180959,18.06.2009,1,69.95,22.95
102607,12.03.2005,1,29.95,13.19
152766,02.06.2006,1,89.95,45.00
152766,02.06.2006,1,14.95,9.99
182973,11.03.2009,1,49.95,22.50
148181,15.10.2005,1,109.95,50.93
148181,03.12.2006,1,49.95,19.24
148181,26.09.2007,1,49.95,18.71
148181,26.09.2007,1,99.95,45.00
148181,12.03.2007,1,109.95,50.93
148181,02.08.2008,1,29.95,18.00
168271,12.08.2007,1,249.95,112.50
181273,15.07.2009,1,149.95,76.27
181273,12.06.2009,1,99.95,35.00
181273,12.06.2009,1,29.95,10.30
181273,12.06.2009,2,59.90,35.90
181273,12.06.2009,1,69.95,27.35
181273,03.08.2010,1,29.95,11.00
181273,03.08.2010,1,29.95,11.50
181273,16.03.2010,1,29.95,11.50
181273,28.03.2012,1,299.95,140.00
152789,02.07.2006,2,59.90,30.00
152789,17.07.2009,1,179.95,73.25
199259,22.07.2012,1,699.95,300.00
199259,22.07.2012,1,119.95,46.54
170285,28.02.2008,1,199.95,91.67
170285,28.02.2008,2,299.90,97.40
170285,27.07.2012,1,129.95,45.68
170285,12.08.2009,1,64.95,32.09
170285,12.08.2009,1,59.95,23.50
170285,19.08.2010,1,199.95,84.50
170285,19.08.2010,1,49.95,21.50
170285,19.08.2010,1,379.95,225.00
170285,19.08.2010,1,59.95,23.50
170285,31.08.2010,1,99.95,38.00
170285,31.08.2010,1,19.95,9.80
170285,31.08.2010,1,29.95,16.89
162755,26.05.2007,1,149.95,74.97
162755,26.05.2007,1,19.95,9.97
162755,26.05.2007,1,149.95,48.70
162755,26.05.2007,1,59.95,20.78
162755,26.05.2007,1,99.95,29.62
162755,26.10.2007,1,29.95,13.60
162755,26.10.2007,1,274.95,149.95
162755,26.10.2007,1,1599.95,870.00
162755,04.10.2008,1,169.95,80.00
162755,04.10.2008,1,15.95,5.83
162755,27.05.2008,1,29.95,12.00
162755,27.05.2008,1,99.95,48.59
162755,25.06.2008,1,99.95,47.00
162755,25.06.2008,1,199.95,94.95
162755,27.12.2008,1,59.95,15.98
162755,20.02.2009,1,479.95,239.00
162755,20.02.2009,1,69.95,23.39
162755,20.02.2009,1,44.95,18.00
162755,08.01.2009,1,59.95,24.00
163959,09.02.2007,1,249.95,112.50
163959,09.02.2007,1,249.95,112.50
163959,09.02.2007,1,59.95,30.00
163959,09.02.2007,1,19.95,7.50
163959,09.02.2007,2,119.90,53.30
132886,28.11.2008,1,149.95,49.00
106073,14.09.2007,1,39.95,17.30
106073,10.01.2007,1,69.95,32.85
148109,10.10.2005,2,49.90,18.10
148109,10.10.2005,2,25.90,5.40
153443,27.03.2006,1,149.95,60.00
153443,21.08.2006,1,144.95,72.50
153443,09.12.2006,1,49.95,14.98
153443,11.03.2006,1,349.95,185.00
153443,24.09.2007,1,59.95,28.50
153443,24.09.2007,1,129.95,51.04
153443,10.08.2007,1,44.95,18.00
153443,02.06.2008,1,179.95,85.78
153443,21.02.2008,1,39.95,16.00
153443,05.07.2007,1,99.95,46.39
153443,26.02.2010,1,59.95,25.00
153443,16.09.2010,1,49.95,20.78
153443,18.10.2010,1,199.95,70.00
186974,22.06.2007,1,99.95,49.00
186974,30.10.2007,1,49.95,22.60
100516,17.01.2005,1,9.95,3.00
100516,17.01.2005,1,9.95,3.00
100516,17.01.2005,1,9.95,3.00
100516,27.12.2004,1,129.95,60.20
100516,27.12.2004,1,129.95,60.20
100516,27.10.2006,1,319.95,144.00
100516,27.11.2006,1,79.95,33.52
100516,15.06.2007,1,499.95,252.90
175041,13.11.2008,1,599.95,245.59
197807,12.09.2011,2,99.90,31.50
147008,19.07.2005,1,69.95,33.80
174218,28.10.2008,1,59.95,16.44
145932,04.10.2005,1,99.95,40.00
186662,05.10.2006,1,79.95,36.00
186662,05.10.2006,1,59.95,29.00
186662,04.07.2009,1,24.95,11.25
186662,04.07.2009,1,109.95,49.80
