,Age,Occupation,Annual_Income,Monthly_Inh_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outsting_Debt,Credit_Utilization_Ratio,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,AutoLoan,Credit-BuilderLoan,DebtConsolidationLoan,HomeEquityLoan,MortgageLoan,NotSpecified,PaydayLoan,PersonalLoan,StudentLoan
17,22,Developer,35547.71,2853.3091666666664,7,5,5,0,5,18,2.58,5.0,Standard,943.86,31.65235104376109,Yes,0.0,113.45265630966416,HighspentMediumvaluepayments,421.8782603570025,0,0,0,0,0,0,0,0,0
19,22,Developer,35547.71,2853.3091666666664,7,5,5,0,5,18,2.58,5.0,Standard,943.86,29.56612273444377,Yes,0.0,181.0072171318061,LowspentSmallvaluepayments,394.3236995348605,0,0,0,0,0,0,0,0,0
20,31,Lawyer,73928.46,5988.705000000001,4,5,8,0,8,7,14.14,4.0,Good,548.2,38.13542413744779,No,0.0,56.12102437604161,HighspentLargevaluepayments,782.7494756239585,0,0,0,0,0,0,0,0,0
23,32,Lawyer,73928.46,5988.705000000001,4,5,8,0,8,7,10.14,1552.0,Good,548.2,29.150995190084487,No,0.0,130.87396353628236,HighspentLargevaluepayments,707.9965364637178,0,0,0,0,0,0,0,0,0
25,34,Lawyer,131313.4,10469.207759388815,0,1,8,2,0,2,9.34,4.0,Good,352.16,31.025571099037258,No,911.2201793459374,966.0743358890512,LowspentLargevaluepayments,290.5593920428604,0,1,0,0,1,0,0,0,0
26,34,Lawyer,131313.4,10469.207759388815,0,1,8,2,0,1,9.34,4.0,Good,352.16,26.06663998426569,NM,911.2201793459374,1141.220312604539,LowspentMediumvaluepayments,125.41341532737272,0,1,0,0,1,0,0,0,0
27,34,Lawyer,131313.4,4182.004291203503,0,1,8,2,0,0,10.34,4.0,Good,352.16,34.66559278821641,NM,911.2201793459374,555.8479876829251,LowspentMediumvaluepayments,710.7857402489867,0,1,0,0,1,0,0,0,0
29,30,MediaManager,34081.38,4182.004291203503,8,7,15,3,30,17,17.13,9.0,Standard,1704.18,38.36868220739614,Yes,70.47833267207261,112.9063528724493,HighspentSmallvaluepayments,337.72681445547806,1,0,0,0,0,1,0,0,1
30,31,MediaManager,34081.38,2611.115,8,7,15,3,29,15,17.13,9.0,Standard,1704.18,35.822516046259835,NM,70.47833267207261,50.13096032879131,HighspentMediumvaluepayments,390.50220699913615,1,0,0,0,0,1,0,0,1
31,31,MediaManager,34081.38,2611.115,8,7,15,3,30,14,17.13,9.0,Standard,1704.18,34.748953179588774,NM,70.47833267207261,99.68631755126955,HighspentMediumvaluepayments,340.9468497766578,1,0,0,0,0,1,0,0,1
32,24,Doctor,114838.41,9843.8675,2,5,7,3,11,12,8.24,8.0,Good,1377.74,41.459017527247966,NM,226.8927919215432,213.47648722111185,HighspentLargevaluepayments,784.0174708573453,1,0,1,0,0,0,0,1,0
34,914,Doctor,114838.41,4182.004291203503,2,5,7,3,11,8,8.24,8.0,Good,1377.74,28.993921534588523,No,226.8927919215432,427.38144910581866,LowspentLargevaluepayments,600.1125089726384,1,0,1,0,0,0,0,1,0
36,45,Journalist,31370.8,2825.233333333333,1,6,12,2,3,0,-0.2400000000000002,5.0,Good,421.43,40.6331311728521,No,46.61612907334207,161.58337666453718,!@9#%8,364.3238275954541,0,0,0,0,0,1,1,0,0
37,45,Journalist,31370.8,2825.233333333333,1,6,12,2,2,3,5.76,5.0,Good,421.43,33.85409635172327,No,46.61612907334207,109.4207625788528,HighspentMediumvaluepayments,376.4864416811384,0,0,0,0,0,1,1,0,0
39,45,Journalist,31370.8,4182.004291203503,1,6,12,2,1,0,5.76,5.0,Good,421.43,40.30423113590268,No,46.61612907334207,22.29805714008664,HighspentLargevaluepayments,453.6091471199046,0,0,0,0,0,1,1,0,0
40,41,Teacher,33751.27,2948.605833333333,5,5,20,3,16,19,11.0,8.0,Standard,1328.93,27.983092917100603,Yes,65.00817428651536,271.2081244457186,LowspentSmallvaluepayments,248.6442846010993,1,1,0,0,0,0,0,1,0
47,33,Engineer,88640.24,4182.004291203503,3,6,1766,2,5,2,3.51,5.0,Good,950.36,40.8538943729154,No,135.17337097171767,365.3193150964759,HighspentSmallvaluepayments,486.1759805984733,0,0,0,0,0,0,2,0,0
48,36,Entrepreneur,54392.16,4766.68,6,4,14,3,10,8,5.54,7.0,Standard,179.22,33.50246118473791,Yes,124.39208242092045,329.5529933931268,LowspentLargevaluepayments,292.7229241859528,0,0,0,0,0,1,0,1,1
49,36,Entrepreneur,54392.16,4766.68,6,4,14,3,10,10,5.54,7.0,Standard,179.22,34.02279546061346,Yes,124.39208242092045,145.33057894012762,LowspentMediumvaluepayments,486.945338638952,0,0,0,0,0,1,0,1,1
57,37,Entrepreneur,25546.26,2415.855,8,7,14,5,16,14,7.83,7.0,Standard,758.44,38.6380786528206,Yes,101.3286373638512,105.83772025352778,LowspentMediumvaluepayments,314.4191423826211,1,1,0,0,0,1,0,0,1
59,37,Entrepreneur,25546.26,2415.855,8,7,14,5,16,15,1.83,7.0,Standard,758.44,38.485249511178864,Yes,101.3286373638512,141.04976298055809,LowspentMediumvaluepayments,279.2070996555907,1,1,0,0,0,1,0,0,1
60,31,Scientist,31993.78,2942.148333333333,6,6,3097,2,8,14,6.28,1.0,Standard,818.22,37.190189832300256,Yes,45.14129822463578,23.27102220438635,HighspentLargevaluepayments,465.8025129043112,0,0,0,1,0,0,1,0,0
65,21,Accountant,92047.08,4182.004291203503,6,7,16,0,16,11,9.13,4.0,Standard,1296.64,34.659087165430755,NM,0.0,124.48038648445376,HighspentLargevaluepayments,874.6786135155463,0,0,0,0,0,0,0,0,0
68,46,Teacher,32284.62,2749.762492341615,6,7,17,6,9,1150,9.22,10.0,Standard,1283.37,28.86135378675188,Yes,251.66006801375065,241.57066048913865,LowspentSmallvaluepayments,235.23027915549545,0,2,0,0,1,1,1,1,0
73,27,Musician,97791.42,7449.469346853578,6,6,12,0,18,8,17.92,1.0,Standard,107.41,32.48447662528514,NM,629.8156531464217,698.5571927157868,LowspentLargevaluepayments,379.3713072842132,0,0,0,0,0,0,0,0,0
74,27,Musician,97791.42,7449.469346853578,6,6,12,0,18,6,10.920000000000002,3.0,Standard,107.41,36.427252232568016,Yes,629.8156531464217,159.57872253342185,HighspentMediumvaluepayments,898.3497774665782,0,0,0,0,0,0,0,0,0
75,27,Musician,97791.42,4182.004291203503,6,6,12,0,17,11,17.92,3.0,Standard,107.41,31.517911959036194,Yes,629.8156531464217,189.06955339288945,HighspentLargevaluepayments,858.8589466071106,0,0,0,0,0,0,0,0,0
76,32,Entrepreneur,19300.34,1512.361666666667,6,7,17,5,51,18,9.95,8.0,Bad,2430.21,34.47884913064688,Yes,49.57206224445275,200.427091322806,LowspentSmallvaluepayments,191.237013099408,1,0,1,0,1,1,1,0,0
78,32,Entrepreneur,19300.34,1512.361666666667,6,7,17,5,51,19,9.95,8.0,Bad,2430.21,37.36390440294918,Yes,49.57206224445275,44.50950984607408,LowspentMediumvaluepayments,337.15459457613986,1,0,1,0,1,1,1,0,0
81,42,Musician,19514.88,1828.24,7,5,17,-100,30,15,4.17,4.0,Standard,881.4,27.22256252865838,No,0.0,63.111058923726304,HighspentSmallvaluepayments,379.71294107627375,0,0,0,0,0,0,0,0,0
82,42,Musician,19514.88,1828.24,7,5,17,0,30,14,4.17,4.0,Standard,881.4,36.37300146428006,No,0.0,202.13477304411643,LowspentSmallvaluepayments,270.6892269558836,0,0,0,0,0,0,0,0,0
83,42,Musician,19514.88,1828.24,7,5,17,0,32,12,4.17,4.0,Standard,881.4,39.37948427005254,No,0.0,65.50472270330198,HighspentMediumvaluepayments,367.319277296698,0,0,0,0,0,0,0,0,0
84,42,MediaManager,10183.015,1074.5845833333333,7,5,17,5,45,23,7.97,8.0,Bad,1672.43,34.70806380040905,Yes,37.58807283812568,52.05337930862576,!@9#%8,297.81700618658186,0,2,0,0,1,0,0,0,1
85,42,MediaManager,10183.015,1074.5845833333333,7,5,17,5,48,21,7.97,8.0,Bad,1672.43,35.682262655668886,Yes,37.58807283812568,101.77505505754374,LowspentMediumvaluepayments,248.0953304376639,0,2,0,0,1,0,0,0,1
86,42,MediaManager,10183.015,1074.5845833333333,7,5,17,-100,48,21,7.97,8.0,Bad,1672.43,23.679725156723148,Yes,37.58807283812568,50.04937041611942,LowspentMediumvaluepayments,299.82101507908817,0,2,0,0,1,0,0,0,1
87,42,MediaManager,10183.015,1074.5845833333333,7,5,17,5,48,21,7.97,8.0,Bad,1672.43,33.72430069146658,Yes,37.58807283812568,66.98367928238576,LowspentSmallvaluepayments,292.8867062128219,0,2,0,0,1,0,0,0,1
88,20,Entrepreneur,106733.13,8873.4275,4,4,1,0,3,6,0.86,1.0,Good,76.23,29.671456705130176,No,0.0,357.1133610865673,LowspentMediumvaluepayments,810.2293889134328,0,0,0,0,0,0,0,0,0
89,20,Entrepreneur,106733.13,8873.4275,4,4,1,0,4,5,0.86,1.0,Good,76.23,41.37668565581181,No,0.0,207.72741143089613,HighspentLargevaluepayments,919.615338569104,0,0,0,0,0,0,0,0,0
90,20,Entrepreneur,106733.13,8873.4275,4,4,1,0,5,6,-6.14,1.0,Good,76.23,27.22618109607017,No,0.0,500.52860067389,LowspentMediumvaluepayments,666.8141493261099,0,0,0,0,0,0,0,0,0
92,32,Lawyer,12600.445,782.0370833333334,5,5,10,3,25,19,15.79,11.0,Standard,569.8,33.64942832302815,Yes,26.060347529205966,63.56542786454087,LowspentSmallvaluepayments,278.5779329395865,0,0,0,0,0,1,0,0,2
93,32,Lawyer,12600.445,782.0370833333334,936,5,10,-100,25,19,15.79,11.0,Standard,569.8,39.38484763433654,NM,26.060347529205966,81.8586721957253,LowspentSmallvaluepayments,260.2846886084021,0,0,0,0,0,1,0,0,2
94,32,Lawyer,12600.445,782.0370833333334,5,5,10,3,25,17,15.79,11.0,Standard,569.8,27.54275808476485,NM,26.060347529205966,52.808230662619934,LowspentSmallvaluepayments,289.33513014150736,0,0,0,0,0,1,0,0,2
98,35,Mechanic,57983.12,4182.004291203503,9,8,31,8,50,21,7.27,17.0,Bad,3532.83,35.31638467149612,Yes,200.43261339470683,191.04338258925824,HighspentMediumvaluepayments,330.6166706827016,0,1,1,0,0,1,2,0,2
100,48,Entrepreneur,20787.69,1999.3075,8,6,14,3,22,14,1.13,3.0,Standard,614.6,38.95299631544785,No,42.22199265643221,49.50353558666441,HighspentMediumvaluepayments,358.20522175690337,0,1,0,2,0,0,0,0,0
102,48,Entrepreneur,20787.69,1999.3075,8,6,14,3,22,15,1.13,3.0,Standard,614.6,26.54850967751556,No,42.22199265643221,257.6586730041918,LowspentSmallvaluepayments,190.050084339376,0,1,0,2,0,0,0,0,0
103,49,Entrepreneur,20787.69,1999.3075,8,6,14,3,22,14,1.13,5.0,Standard,614.6,35.33001552852757,No,42.22199265643221,106.328847397762,LowspentSmallvaluepayments,341.3799099458058,0,1,0,2,0,0,0,0,0
104,30,Writer,34290.12,2697.51,9,8,25,7,49,9,13.96,13.0,Standard,2686.81,38.94266783614944,Yes,185.1119825795006,167.28030215512513,LowspentLargevaluepayments,187.3587152653744,1,1,1,2,1,0,0,0,0
106,30,Writer,34290.12,2697.51,9,8,25,7,52,11,13.96,13.0,Standard,2686.81,34.77166896023211,Yes,185.1119825795006,50.45037518047948,HighspentMediumvaluepayments,284.18864224002004,1,1,1,2,1,0,0,0,0
107,30,Writer,34290.12,2697.51,9,8,25,7,52,10,12.96,13.0,Standard,2686.81,24.08827489180331,Yes,185.1119825795006,64.12030667631363,HighspentLargevaluepayments,260.51871074418585,1,1,1,2,1,0,0,0,0
110,33,Accountant,43070.24,3622.186666666666,3,3,18,1,6,8,5.9700000000000015,8.0,Standard,1233.1,27.548973092343964,Yes,30.57608482316153,142.3748859905269,HighspentSmallvaluepayments,449.2676958529782,0,0,1,0,0,0,0,0,0
111,33,Accountant,43070.24,3622.186666666666,3,3,18,1,11,7,8.97,8.0,Standard,1233.1,31.553922400187425,Yes,30.57608482316153,28.187146041020004,HighspentLargevaluepayments,543.4554358024851,0,0,1,0,0,0,0,0,0
112,41,Architect,28572.39,2210.0325,6,3,15,3,25,10,4.89,2.0,Standard,400.07,32.23063700006014,Yes,69.60292048199007,10000.0,LowspentLargevaluepayments,217.06066712009587,1,0,0,0,0,1,1,0,0
115,41,Architect,28572.39,2210.0325,6,3,15,3,25,12,4.89,2.0,Standard,400.07,31.909035592946104,Yes,69.60292048199007,139.64054008224986,HighspentSmallvaluepayments,271.75978943576007,1,0,0,0,0,1,1,0,0
116,38,Manager,39641.54,3007.461666666666,10,211,25,6,61,13,1.54,8.0,Bad,2258.73,32.77593660463945,Yes,172.38252735862687,159.88123200781456,LowspentSmallvaluepayments,258.4824073002253,1,0,1,0,1,0,1,0,1
119,38,Manager,39641.54,3007.461666666666,10,8,25,6,60,2077,1.54,8.0,Bad,2258.73,24.749140589266087,Yes,172.38252735862687,138.19536067914876,LowspentSmallvaluepayments,280.1682786288912,1,0,1,0,1,0,1,0,1
122,55,Scientist,20186.02,1684.168333333333,1,5,1,2,5,5,6.83,4.0,Good,413.32,40.296580610984286,No,29.534583720496048,55.934633624194056,HighspentMediumvaluepayments,332.9476159886433,1,0,0,1,0,0,0,0,0
123,55,Scientist,20186.02,4182.004291203503,1,5,1,2,5,9,6.83,5.0,Good,413.32,35.4911742665814,No,29.534583720496048,14.29027334711074,HighspentLargevaluepayments,364.59197626572654,1,0,0,1,0,0,0,0,0
126,44,Musician,18627.64,1387.303333333333,7,7,19,6,31,23,5.07,7.0,Bad,1793.54,34.78982153993944,Yes,65.13948777561222,74.3042407099912,HighspentSmallvaluepayments,259.2866048477299,0,1,0,0,0,1,2,0,1
128,22,Engineer,12986.745,959.22875,4,3,10,2,27,17,11.8,7.0,Standard,1489.49,25.77541495147188,Yes,16.719300227776053,99.16492465658864,LowspentMediumvaluepayments,260.0386501156353,0,0,0,0,1,0,1,0,0
129,22,Engineer,12986.745,959.22875,4,3,10,2,30,16,11.8,7.0,Standard,1489.49,26.41550224652845,Yes,16.719300227776053,49.9102338322073,LowspentSmallvaluepayments,319.2933409400166,0,0,0,0,1,0,1,0,0
131,-500,Engineer,12986.745,959.22875,4,3,10,2,30,14,11.8,7.0,Standard,1489.49,27.34509835554881,Yes,16.719300227776053,76.18991869541101,LowspentMediumvaluepayments,283.01365607681294,0,0,0,0,1,0,1,0,0
132,44,Writer,58317.0,4664.75,8,5,9,6,18,20,16.58,10.0,Standard,98.97,36.34203464170722,Yes,149.89719942100822,162.73642005944183,LowspentMediumvaluepayments,433.84138051954994,0,0,0,1,2,0,0,2,0
134,44,Writer,58317.0,4664.75,8,5,9,6,15,20,16.58,10.0,Standard,98.97,27.66897220867021,Yes,149.89719942100822,112.7241835063515,HighspentLargevaluepayments,443.8536170726403,0,0,0,1,2,0,0,2,0
137,37,Scientist,42171.98,3764.331666666667,2,7,10,3,8,11,2.58,4.0,Good,556.91,28.76152739499421,No,102.7629131170904,304.8093010913887,LowspentLargevaluepayments,238.8609524581876,2,0,0,0,0,1,0,0,0
140,36,Manager,71681.4,5799.45,3,6,15,-100,8,8,10.44,0.0,Standard,1293.02,23.808046098437945,Yes,53.92351397165268,306.99628734014715,HighspentSmallvaluepayments,479.0251986882001,0,0,0,0,0,1,0,0,0
141,36,Manager,71681.4,5799.45,3,6,15,1,8,6,5.44,0.0,Standard,1293.02,38.60948946615,Yes,53.92351397165268,239.05817254719895,!@9#%8,536.9633134811484,0,0,0,0,0,1,0,0,0
143,36,Manager,71681.4,4182.004291203503,3,6,15,1,8,8,10.44,5.0,Standard,1293.02,26.044047941917125,Yes,53.92351397165268,478.3606566955472,LowspentLargevaluepayments,317.6608293328002,0,0,0,0,0,1,0,0,0
144,16,Mechanic,29469.98,2227.8316666666665,705,7,24,5,48,21,26.94,12.0,Bad,3421.66,25.421302240233963,Yes,69.68545857227979,167.27143929165752,LowspentLargevaluepayments,255.8262688027293,0,1,1,0,0,2,0,1,0
145,16,Mechanic,29469.98,2227.8316666666665,7,7,24,5,49,21,26.94,12.0,Bad,3421.66,32.59207553656722,Yes,69.68545857227979,31.60260520923378,HighspentLargevaluepayments,361.49510288515313,0,1,1,0,0,2,0,1,0
147,17,Mechanic,29469.98,4182.004291203503,7,7,24,5,53,21,26.94,12.0,Bad,3421.66,33.988956454873126,Yes,268.78921395492137,125.23733244555812,LowspentSmallvaluepayments,317.8603756488287,0,1,1,0,0,2,0,1,0
150,20,Engineer,72559.36,4182.004291203503,4,5,17,4,14,19,2.74,5.0,Standard,1173.7,35.184574015125555,No,215.83917063897167,199.45031740911827,LowspentMediumvaluepayments,493.17184528524336,0,1,0,1,1,0,1,0,0
151,20,Engineer,72559.36,6284.613333333334,4,5,17,4,14,19,2.74,5.0,Standard,1173.7,29.71024332258681,No,215.83917063897167,374.7960686011537,HighspentSmallvaluepayments,297.8260940932082,0,1,0,1,1,0,1,0,0
153,37,Musician,15566.02,1423.168333333333,8,5,32,4,12,20,3.24,9.0,Standard,1693.95,30.77530249613676,Yes,43.07051960231588,85.06097027152596,LowspentSmallvaluepayments,304.1853434594915,0,1,0,1,1,0,0,1,0
154,37,Musician,15566.02,1423.168333333333,8,5,32,4,17,20,9.24,9.0,Standard,1693.95,24.03584985300275,Yes,43.07051960231588,147.41818402641738,LowspentSmallvaluepayments,241.8281297046001,0,1,0,1,1,0,0,1,0
156,19,Developer,66567.32,5800.276666666668,5,7,5,2,7,15,5.67,2.0,Standard,233.79,26.45967317656464,No,100.18936089086122,10000.0,HighspentLargevaluepayments,623.2917733229376,0,0,0,0,1,1,0,0,0
157,19,Developer,66567.32,5800.276666666668,5,7,5,2,7,15,5.67,2.0,Standard,233.79,26.47501157048493,No,100.18936089086122,107.65137008979312,HighspentMediumvaluepayments,622.1869356860124,0,0,0,0,1,1,0,0,0
158,19,Developer,66567.32,5800.276666666668,5,7,5,2,5,15,5.67,2.0,Standard,233.79,31.48360268250671,No,100.18936089086122,344.82459807899244,!@9#%8,395.01370769681296,0,0,0,0,1,1,0,0,0
159,19,Developer,66567.32,5800.276666666668,5,7,5,2,7,15,5.67,2.0,Standard,233.79,40.303827080568375,No,100.18936089086122,100.39587069098452,HighspentLargevaluepayments,619.442435084821,0,0,0,0,1,1,0,0,0
160,33,MediaManager,12909.895,853.8245833333333,5,5,13,0,25,13,7.58,3.0,Standard,602.5,25.40613455558175,No,0.0,54.17040424709995,!@9#%8,321.21205408623337,0,0,0,0,0,0,0,0,0
161,3193,MediaManager,12909.895,853.8245833333333,5,5,13,0,22,14,7.58,3.0,Standard,602.5,39.56255490128193,No,76196.0,26.47453711526416,LowspentLargevaluepayments,328.9079212180692,0,0,0,0,0,0,0,0,0
163,33,MediaManager,20601508.0,853.8245833333333,5,5,13,0,22,12,7.58,3.0,Standard,602.5,37.75049154174107,No,0.0,83.99038212517874,!@9#%8,291.39207620815466,0,0,0,0,0,0,0,0,0
164,33,Accountant,30788.44,2623.703333333333,7,9,31,6,49,20,18.73,9.0,Bad,3470.08,28.70868274990321,NM,114.533020898938,10000.0,HighspentLargevaluepayments,325.5498530495152,0,3,0,1,0,0,1,1,0
166,33,Accountant,30788.44,2623.703333333333,7,9,31,6,50,21,20.73,9.0,Bad,3470.08,36.226656344628886,Yes,114.533020898938,296.1071984225468,LowspentSmallvaluepayments,141.7301140118485,0,3,0,1,0,0,1,1,0
167,33,Accountant,30788.44,2623.703333333333,7,9,31,6,44,20,17.73,13.0,Bad,3470.08,33.491468635341825,Yes,114.533020898938,343.2481544688096,LowspentSmallvaluepayments,94.5891579655858,0,3,0,1,0,0,1,1,0
168,42,Architect,20574.47,1740.539166666667,6,3,14,4,6,10,14.74,11.0,Standard,749.95,39.73211698649768,Yes,49.348666321498655,65.93064944867074,LowspentLargevaluepayments,328.7746008964973,0,2,0,1,0,0,0,1,0
169,42,Architect,20574.47,1740.539166666667,6,3,14,4,6,12,10.74,11.0,Standard,749.95,34.37783509597484,Yes,49.348666321498655,43.56526478885986,HighspentLargevaluepayments,321.13998555630815,0,2,0,1,0,0,0,1,0
170,43,Architect,20574.47,1740.539166666667,6,3,14,4,4,9,13.74,11.0,Standard,749.95,35.52711862461349,NM,49.348666321498655,197.43938085889232,LowspentSmallvaluepayments,217.2658694862757,0,2,0,1,0,0,0,1,0
171,43,Architect,20574.47,1740.539166666667,6,3,14,4,6,12,14.74,11.0,Standard,749.95,27.44347031492073,Yes,49.348666321498655,23.56048988935808,!@9#%8,341.14476045580994,0,2,0,1,0,0,0,1,0
173,22,Lawyer,148699.32,4182.004291203503,3,4,5,3,13,6,9.2,1.0,Good,949.38,26.680126079571075,NM,364.9151774048712,517.9338869302671,!@9#%8,610.4119356648617,0,0,0,0,1,0,1,1,0
174,22,Lawyer,148699.32,12432.61,3,4,5,3,13,4,9.2,1.0,Good,949.38,32.94616475327622,No,364.9151774048712,1049.8682168332366,LowspentMediumvaluepayments,108.47760576189216,0,0,0,0,1,0,1,1,0
175,22,Lawyer,148699.32,12432.61,3,4,5,3,13,6,9.2,1.0,Good,949.38,30.13624117588956,No,364.9151774048712,296.80468401164023,HighspentLargevaluepayments,821.5411385834888,0,0,0,0,1,0,1,1,0
176,20,Musician,85554.03,7185.5025,4,2,3,0,10,4,6.43,3.0,Good,1095.73,37.215288262387006,No,0.0,212.00664451387192,LowspentLargevaluepayments,776.5436054861283,0,0,0,0,0,0,0,0,0
178,20,Musician,85554.03,7185.5025,4,2,3,-100,7,7,12.43,3.0,Good,1095.73,30.4536649314624,No,0.0,206.3133805588849,HighspentSmallvaluepayments,772.2368694411152,0,0,0,0,0,0,0,0,0
179,20,Musician,85554.03,7185.5025,4,2,3,0,9,7,6.43,3.0,Good,1095.73,23.541373517099988,No,0.0,10000.0,LowspentSmallvaluepayments,100.66867759044248,0,0,0,0,0,0,0,0,0
180,16,Entrepreneur,55829.79,4369.4825,10,10,18,8,30,21,27.99,11.0,Bad,3422.49,36.47040878115544,Yes,314.90178526768176,349.47676962445365,LowspentSmallvaluepayments,62.56969510786456,0,0,1,1,0,1,2,1,1
181,16,Entrepreneur,55829.79,4369.4825,10,914,18,8,30,18,27.99,11.0,Bad,3422.49,37.749720192245775,Yes,314.90178526768176,79.93896964172495,!@9#%8,302.1074950905933,0,0,1,1,0,1,2,1,1
182,16,Entrepreneur,55829.79,4369.4825,10,10,18,8,30,16,27.99,11.0,Bad,3422.49,25.42853525508577,Yes,314.90178526768176,374.60610659022217,LowspentMediumvaluepayments,27.440358142096105,0,0,1,1,0,1,2,1,1
183,16,Entrepreneur,55829.79,4369.4825,10,10,4224,8,34,20,27.99,15.0,Bad,3422.49,26.42666790426557,Yes,314.90178526768176,137.49104896203892,HighspentMediumvaluepayments,234.55541577027927,0,0,1,1,0,1,2,1,1
184,27,Architect,14165.23,1057.4358333333332,7,10,33,9,54,24,8.82,11.0,Bad,2797.17,37.84559431933441,Yes,58.86844083860843,124.5051788964826,LowspentSmallvaluepayments,212.3699635982423,0,2,0,0,1,0,1,1,1
185,27,Architect,14165.23,4182.004291203503,7,10,33,9,59,27,8.82,12.0,Bad,2797.17,32.39193289599275,Yes,58.86844083860843,53.59293401625869,LowspentLargevaluepayments,263.2822084784662,0,2,0,0,1,0,1,1,1
186,27,Architect,14165.23,1057.4358333333332,7,10,33,9,59,21,11.82,12.0,Bad,2797.17,31.29995338554643,NM,58.86844083860843,83.52892532375137,LowspentMediumvaluepayments,243.34621717097357,0,2,0,0,1,0,1,1,1
188,30,Teacher,87215.68,7489.973333333332,2,6,8,2,0,5,10.98,0.0,Good,680.77,32.853999680614216,NM,121.68201673654264,85.0897706786984,HighspentMediumvaluepayments,792.2255459180922,1,0,0,0,0,0,1,0,0
190,31,Teacher,87215.68,4182.004291203503,2,6,8,2,2,6,10.98,0.0,Good,680.77,32.38764952831312,No,121.68201673654264,197.16439131518337,HighspentSmallvaluepayments,690.1509252816072,1,0,0,0,0,0,1,0,0
191,31,Teacher,87215.68,7489.973333333332,2,6,8,2,2,6,10.98,0.0,Good,680.77,26.45454790745145,No,121.68201673654264,579.8625969032331,LowspentLargevaluepayments,317.4527196935575,1,0,0,0,0,0,1,0,0
193,43,Lawyer,81842.28,6810.19,10,9,25,9,20,19,16.25,11.0,Bad,3053.16,34.64095601413508,Yes,574.0657978713467,55.371438115591175,HighspentLargevaluepayments,291.581764013062,1,1,0,1,0,0,1,2,1
194,43,Lawyer,81842.28,6810.19,10,9,25,9,20,19,16.25,11.0,Bad,3053.16,23.30206030990575,NM,574.0657978713467,286.78293748662134,HighspentMediumvaluepayments,70.17026464203178,1,1,0,1,0,0,1,2,1
