,Age,Annual_Income,Monthly_Inh_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outsting_Debt,Credit_Utilization_Ratio,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,AutoLoan,Credit-BuilderLoan,DebtConsolidationLoan,HomeEquityLoan,MortgageLoan,NotSpecified,PaydayLoan,PersonalLoan,StudentLoan,Occupation_Accountant,Occupation_Architect,Occupation_Developer,Occupation_Doctor,Occupation_Engineer,Occupation_Entrepreneur,Occupation_Journalist,Occupation_Lawyer,Occupation_Manager,Occupation_Mechanic,Occupation_MediaManager,Occupation_Musician,Occupation_Scientist,Occupation_Teacher,Occupation_Writer,userID
30,31.0,34081.38,2611.115,8.0,7.0,15.0,3.0,29.0,15.0,17.13,9.0,1704.18,35.822516046259835,0,70.47833267207261,50.13096032879131,2,390.50220699913615,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531937
31,31.0,34081.38,2611.115,8.0,7.0,15.0,3.0,30.0,14.0,17.13,9.0,1704.18,34.748953179588774,0,70.47833267207261,99.68631755126955,2,340.9468497766578,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,413250
32,24.0,114838.41,9843.8675,2.0,5.0,7.0,3.0,11.0,12.0,8.24,8.0,1377.74,41.459017527247966,0,226.8927919215432,213.47648722111185,1,784.0174708573453,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,601958
34,914.0,114838.41,4182.004291203503,2.0,5.0,7.0,3.0,11.0,8.0,8.24,8.0,1377.74,28.993921534588523,1,226.8927919215432,427.38144910581866,4,600.1125089726384,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,596063
36,45.0,31370.8,2825.233333333333,1.0,6.0,12.0,2.0,3.0,0.0,-0.2400000000000002,5.0,421.43,40.6331311728521,1,46.61612907334207,161.58337666453718,0,364.3238275954541,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,764821
37,45.0,31370.8,2825.233333333333,1.0,6.0,12.0,2.0,2.0,3.0,5.76,5.0,421.43,33.85409635172327,1,46.61612907334207,109.4207625788528,2,376.4864416811384,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880689
39,45.0,31370.8,4182.004291203503,1.0,6.0,12.0,2.0,1.0,0.0,5.76,5.0,421.43,40.30423113590268,1,46.61612907334207,22.29805714008664,1,453.6091471199046,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,340001
40,41.0,33751.27,2948.605833333333,5.0,5.0,20.0,3.0,16.0,19.0,11.0,8.0,1328.93,27.983092917100603,2,65.00817428651536,271.2081244457186,6,248.6442846010993,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,512604
47,33.0,88640.24,4182.004291203503,3.0,6.0,1766.0,2.0,5.0,2.0,3.51,5.0,950.36,40.8538943729154,1,135.17337097171767,365.3193150964759,3,486.1759805984733,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165305
48,36.0,54392.16,4766.68,6.0,4.0,14.0,3.0,10.0,8.0,5.54,7.0,179.22,33.50246118473791,2,124.39208242092045,329.5529933931268,4,292.7229241859528,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334769
49,36.0,54392.16,4766.68,6.0,4.0,14.0,3.0,10.0,10.0,5.54,7.0,179.22,34.02279546061346,2,124.39208242092045,145.33057894012762,5,486.945338638952,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,564061
57,37.0,25546.26,2415.855,8.0,7.0,14.0,5.0,16.0,14.0,7.83,7.0,758.44,38.6380786528206,2,101.3286373638512,105.83772025352778,5,314.4191423826211,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,306495
59,37.0,25546.26,2415.855,8.0,7.0,14.0,5.0,16.0,15.0,1.83,7.0,758.44,38.485249511178864,2,101.3286373638512,141.04976298055809,5,279.2070996555907,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,647912
60,31.0,31993.78,2942.148333333333,6.0,6.0,3097.0,2.0,8.0,14.0,6.28,1.0,818.22,37.190189832300256,2,45.14129822463578,23.27102220438635,1,465.8025129043112,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,946059
65,21.0,92047.08,4182.004291203503,6.0,7.0,16.0,0.0,16.0,11.0,9.13,4.0,1296.64,34.659087165430755,0,0.0,124.48038648445376,1,874.6786135155463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,917315
68,46.0,32284.62,2749.762492341615,6.0,7.0,17.0,6.0,9.0,1150.0,9.22,10.0,1283.37,28.86135378675188,2,251.66006801375065,241.57066048913865,6,235.23027915549545,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504629
73,27.0,97791.42,7449.469346853578,6.0,6.0,12.0,0.0,18.0,8.0,17.92,1.0,107.41,32.48447662528514,0,629.8156531464217,698.5571927157868,4,379.3713072842132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,520229
74,27.0,97791.42,7449.469346853578,6.0,6.0,12.0,0.0,18.0,6.0,10.920000000000002,3.0,107.41,36.427252232568016,2,629.8156531464217,159.57872253342185,2,898.3497774665782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,861915
75,27.0,97791.42,4182.004291203503,6.0,6.0,12.0,0.0,17.0,11.0,17.92,3.0,107.41,31.517911959036194,2,629.8156531464217,189.06955339288945,1,858.8589466071106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,308845
76,32.0,19300.34,1512.361666666667,6.0,7.0,17.0,5.0,51.0,18.0,9.95,8.0,2430.21,34.47884913064688,2,49.57206224445275,200.427091322806,6,191.237013099408,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,654987
78,32.0,19300.34,1512.361666666667,6.0,7.0,17.0,5.0,51.0,19.0,9.95,8.0,2430.21,37.36390440294918,2,49.57206224445275,44.50950984607408,5,337.15459457613986,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,398531
81,42.0,19514.88,1828.24,7.0,5.0,17.0,-100.0,30.0,15.0,4.17,4.0,881.4,27.22256252865838,1,0.0,63.111058923726304,3,379.71294107627375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327507
82,42.0,19514.88,1828.24,7.0,5.0,17.0,0.0,30.0,14.0,4.17,4.0,881.4,36.37300146428006,1,0.0,202.13477304411643,6,270.6892269558836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,888670
83,42.0,19514.88,1828.24,7.0,5.0,17.0,0.0,32.0,12.0,4.17,4.0,881.4,39.37948427005254,1,0.0,65.50472270330198,2,367.319277296698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,449514
84,42.0,10183.015,1074.5845833333333,7.0,5.0,17.0,5.0,45.0,23.0,7.97,8.0,1672.43,34.70806380040905,2,37.58807283812568,52.05337930862576,0,297.81700618658186,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,819045
85,42.0,10183.015,1074.5845833333333,7.0,5.0,17.0,5.0,48.0,21.0,7.97,8.0,1672.43,35.682262655668886,2,37.58807283812568,101.77505505754374,5,248.0953304376639,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,899768
86,42.0,10183.015,1074.5845833333333,7.0,5.0,17.0,-100.0,48.0,21.0,7.97,8.0,1672.43,23.679725156723148,2,37.58807283812568,50.04937041611942,5,299.82101507908817,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251233
87,42.0,10183.015,1074.5845833333333,7.0,5.0,17.0,5.0,48.0,21.0,7.97,8.0,1672.43,33.72430069146658,2,37.58807283812568,66.98367928238576,6,292.8867062128219,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344946
88,20.0,106733.13,8873.4275,4.0,4.0,1.0,0.0,3.0,6.0,0.86,1.0,76.23,29.671456705130176,1,0.0,357.1133610865673,5,810.2293889134328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,932285
89,20.0,106733.13,8873.4275,4.0,4.0,1.0,0.0,4.0,5.0,0.86,1.0,76.23,41.37668565581181,1,0.0,207.72741143089613,1,919.615338569104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,169664
90,20.0,106733.13,8873.4275,4.0,4.0,1.0,0.0,5.0,6.0,-6.14,1.0,76.23,27.22618109607017,1,0.0,500.52860067389,5,666.8141493261099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,265615
92,32.0,12600.445,782.0370833333334,5.0,5.0,10.0,3.0,25.0,19.0,15.79,11.0,569.8,33.64942832302815,2,26.060347529205966,63.56542786454087,6,278.5779329395865,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,867078
93,32.0,12600.445,782.0370833333334,936.0,5.0,10.0,-100.0,25.0,19.0,15.79,11.0,569.8,39.38484763433654,0,26.060347529205966,81.8586721957253,6,260.2846886084021,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,618568
94,32.0,12600.445,782.0370833333334,5.0,5.0,10.0,3.0,25.0,17.0,15.79,11.0,569.8,27.54275808476485,0,26.060347529205966,52.808230662619934,6,289.33513014150736,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512128
98,35.0,57983.12,4182.004291203503,9.0,8.0,31.0,8.0,50.0,21.0,7.27,17.0,3532.83,35.31638467149612,2,200.43261339470683,191.04338258925824,2,330.6166706827016,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222875
100,48.0,20787.69,1999.3075,8.0,6.0,14.0,3.0,22.0,14.0,1.13,3.0,614.6,38.95299631544785,1,42.22199265643221,49.50353558666441,2,358.20522175690337,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160212
102,48.0,20787.69,1999.3075,8.0,6.0,14.0,3.0,22.0,15.0,1.13,3.0,614.6,26.54850967751556,1,42.22199265643221,257.6586730041918,6,190.050084339376,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,466624
103,49.0,20787.69,1999.3075,8.0,6.0,14.0,3.0,22.0,14.0,1.13,5.0,614.6,35.33001552852757,1,42.22199265643221,106.328847397762,6,341.3799099458058,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,903438
104,30.0,34290.12,2697.51,9.0,8.0,25.0,7.0,49.0,9.0,13.96,13.0,2686.81,38.94266783614944,2,185.1119825795006,167.28030215512513,4,187.3587152653744,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,957997
106,30.0,34290.12,2697.51,9.0,8.0,25.0,7.0,52.0,11.0,13.96,13.0,2686.81,34.77166896023211,2,185.1119825795006,50.45037518047948,2,284.18864224002004,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362662
107,30.0,34290.12,2697.51,9.0,8.0,25.0,7.0,52.0,10.0,12.96,13.0,2686.81,24.08827489180331,2,185.1119825795006,64.12030667631363,1,260.51871074418585,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,892546
110,33.0,43070.24,3622.186666666666,3.0,3.0,18.0,1.0,6.0,8.0,5.9700000000000015,8.0,1233.1,27.548973092343964,2,30.57608482316153,142.3748859905269,3,449.2676958529782,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,777470
111,33.0,43070.24,3622.186666666666,3.0,3.0,18.0,1.0,11.0,7.0,8.97,8.0,1233.1,31.553922400187425,2,30.57608482316153,28.187146041020004,1,543.4554358024851,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,397912
112,41.0,28572.39,2210.0325,6.0,3.0,15.0,3.0,25.0,10.0,4.89,2.0,400.07,32.23063700006014,2,69.60292048199007,10000.0,4,217.06066712009587,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,123562
115,41.0,28572.39,2210.0325,6.0,3.0,15.0,3.0,25.0,12.0,4.89,2.0,400.07,31.909035592946104,2,69.60292048199007,139.64054008224986,3,271.75978943576007,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,939524
116,38.0,39641.54,3007.461666666666,10.0,211.0,25.0,6.0,61.0,13.0,1.54,8.0,2258.73,32.77593660463945,2,172.38252735862687,159.88123200781456,6,258.4824073002253,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387676
119,38.0,39641.54,3007.461666666666,10.0,8.0,25.0,6.0,60.0,2077.0,1.54,8.0,2258.73,24.749140589266087,2,172.38252735862687,138.19536067914876,6,280.1682786288912,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,860681
122,55.0,20186.02,1684.168333333333,1.0,5.0,1.0,2.0,5.0,5.0,6.83,4.0,413.32,40.296580610984286,1,29.534583720496048,55.934633624194056,2,332.9476159886433,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,789726
123,55.0,20186.02,4182.004291203503,1.0,5.0,1.0,2.0,5.0,9.0,6.83,5.0,413.32,35.4911742665814,1,29.534583720496048,14.29027334711074,1,364.59197626572654,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167822
126,44.0,18627.64,1387.303333333333,7.0,7.0,19.0,6.0,31.0,23.0,5.07,7.0,1793.54,34.78982153993944,2,65.13948777561222,74.3042407099912,3,259.2866048477299,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,571370
128,22.0,12986.745,959.22875,4.0,3.0,10.0,2.0,27.0,17.0,11.8,7.0,1489.49,25.77541495147188,2,16.719300227776053,99.16492465658864,5,260.0386501156353,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,863210
