,antena_id,antena_provider,antena_zip_code,antena_range,antena_capacity,country
132,2424588,SALT,AZ 1000,43,136968,AZ
133,1300955,LYBRA,AZ 6600,67,174437,AZ
134,2788388,AT&T,AZ 5618,123,14551,AZ
135,936315,LYBRA,AZ 1518,193,184071,AZ
136,1340389,ORANGE,AZ 0511,198,195091,AZ
137,2816149,VERIZON,AZ 2525,157,40006,AZ
138,3015734,T-MOBILE,AZ 3502,199,83495,AZ
139,1624413,AT&T,AZ 2413,92,26052,AZ
140,5146755,VERIZON,AZ 3612,136,158339,AZ
141,3015349,AT&T,AZ 4233,66,110444,AZ
142,3474202,ORANGE,AZ 3715,148,176313,AZ
143,1026674,SALT,AZ 1035,185,179495,AZ
144,3437322,LYBRA,AZ 6116,139,184485,AZ
145,1535069,LYBRA,AZ 1501,117,52660,AZ
146,927374,T-MOBILE,AZ 3418,93,106117,AZ
147,3928292,ORANGE,AZ 5100,86,134746,AZ
148,739811,Sunrise,AZ 2734,170,23628,AZ
149,6140416,Sunrise,AZ 6206,91,180960,AZ
150,768321,AT&T,AZ 3602,98,58595,AZ
151,4117358,SALT,AZ 2011,159,115032,AZ
152,2448625,VERIZON,AZ 4324,111,34949,AZ
153,5588063,SWISSCOM,AZ 0915,102,184945,AZ
154,2120433,SWISSCOM,AZ 6044,111,41418,AZ
155,2957985,AT&T,AZ 3315,135,127244,AZ
156,773900,VERIZON,1558,194,125959,BD
157,3508099,LYBRA,1525,148,12380,BD
158,2332109,T-MOBILE,8210,97,183812,BD
159,4864641,Sunrise,7910,193,72418,BD
160,3283474,Sunrise,7420,109,31980,BD
161,4198689,AT&T,3901,171,138272,BD
162,4873414,Vodafone,6680,64,79617,BD
163,1827442,Sunrise,8602,170,150525,BD
164,2876919,ORANGE,9204,41,52820,BD
165,4848475,VERIZON,7801,51,163393,BD
166,4958335,T-MOBILE,1945,136,35226,BD
167,2341662,AT&T,1610,195,56056,BD
168,1546448,LYBRA,8331,142,75261,BD
169,1351580,Vodafone,5610,42,186409,BD
170,929683,Vodafone,5826,170,151622,BD
171,1559797,SWISSCOM,7830,99,82372,BD
172,887374,SALT,6730,170,117287,BD
173,2263211,AT&T,3411,140,29068,BD
174,1685886,Vodafone,7722,74,15892,BD
175,3816647,LYBRA,1414,116,91396,BD
176,4070052,LYBRA,1912,139,175528,BD
177,5252396,LYBRA,9205,159,95429,BD
178,5027836,ORANGE,9251,117,170147,BD
179,3478947,VERIZON,1347,65,179268,BD
180,6775275,Vodafone,3828,110,103430,BD
181,1380239,Vodafone,6683,140,118516,BD
182,5069606,AT&T,1751,114,82453,BD
183,6589490,SALT,9224,60,103361,BD
184,4608500,SWISSCOM,3510,161,103576,BD
185,2272741,T-MOBILE,9370,90,105837,BD
186,1612986,SALT,7721,188,97646,BD
187,1758997,ORANGE,4325,134,25821,BD
188,5211822,LYBRA,9351,53,166941,BD
189,4858233,T-MOBILE,8220,141,171702,BD
190,4915605,SALT,9205,184,186207,BD
191,966746,SALT,7840,146,75093,BD
192,4671934,Vodafone,9383,138,41642,BD
193,6779411,ORANGE,6540,70,59954,BD
194,846851,SWISSCOM,1974,111,17948,BD
195,4252387,SWISSCOM,5930,64,168493,BD
196,1826327,SALT,9380,109,41099,BD
197,4414750,T-MOBILE,1464,163,169951,BD
198,900283,AT&T,9202,195,48797,BD
199,2988140,LYBRA,1944,98,121244,BD
200,5483927,SWISSCOM,3848,93,150931,BD
201,3393572,SALT,1551,178,70119,BD
202,4949467,AT&T,6597,96,105805,BD
203,6872985,SALT,3417,49,105441,BD
204,5091885,AT&T,1441,128,189886,BD
205,5371128,ORANGE,8013,80,102443,BD
206,4171238,ORANGE,7930,166,43938,BD
207,1256270,SWISSCOM,1524,163,4621,BD
208,2770371,SALT,8810,184,187870,BE
209,1673155,T-MOBILE,7970,74,157028,BE
210,5534822,VERIZON,1476,45,84651,BE
211,1280733,Vodafone,7712,78,60602,BE
212,1802879,Vodafone,9940,127,152346,BE
213,3118895,VERIZON,8980,159,84986,BE
214,2483464,T-MOBILE,9032,181,20055,BE
215,6131257,Sunrise,8908,163,30807,BE
216,3858490,LYBRA,3790,123,72130,BE
217,5541852,LYBRA,9660,181,171011,BE
218,4452133,Sunrise,7604,106,32102,BE
219,1058712,LYBRA,5080,113,107536,BE
220,5631079,SWISSCOM,1404,127,113903,BE
221,4857086,AT&T,6686,126,95440,BE
222,6659962,LYBRA,8690,122,132013,BE
223,5786142,VERIZON,4607,61,39484,BE
224,4568297,Sunrise,6750,102,128208,BE
225,4363757,Sunrise,6750,128,145323,BE
226,2739399,SALT,1654,60,145789,BE
227,6923269,LYBRA,1932,80,188411,BE
228,2939239,SALT,9160,92,83026,BE
229,6206844,SWISSCOM,6790,196,180261,BE
230,6285588,Vodafone,8958,128,52160,BE
231,2760906,SWISSCOM,9042,45,82766,BE
232,4410904,LYBRA,9930,80,97368,BE
233,2945756,ORANGE,9060,58,27432,BE
234,2961318,T-MOBILE,5190,195,143826,BE
235,5730137,SALT,7971,101,62651,BE
236,4569265,LYBRA,9910,52,32095,BE
237,3918227,VERIZON,9850,140,57561,BE
238,2804270,T-MOBILE,8851,106,111173,BE
239,6675169,LYBRA,8880,116,121144,BE
240,3698395,T-MOBILE,8906,173,86892,BE
241,3294448,ORANGE,5644,81,52666,BE
242,5871877,VERIZON,4834,103,146330,BE
243,4864111,T-MOBILE,7191,62,122589,BE
244,6289975,Sunrise,6860,106,197582,BE
245,4765044,VERIZON,8956,58,85202,BE
246,3060574,Vodafone,4683,198,65207,BE
247,6413664,SWISSCOM,8851,106,123751,BE
248,3857585,AT&T,5376,61,50426,BE
249,1268297,ORANGE,9681,80,68929,BE
250,5066942,AT&T,4140,170,169978,BE
251,2745763,LYBRA,4042,115,22835,BE
252,6054818,SWISSCOM,4900,122,41006,BE
253,4766904,SALT,2960,79,29874,BE
254,4027457,LYBRA,7604,62,133772,BE
255,3316591,LYBRA,8690,107,138246,BE
256,3270165,VERIZON,7640,42,91022,BE
257,3096650,AT&T,7973,187,178893,BE
258,4013057,AT&T,6593,112,133952,BE
259,6347608,T-MOBILE,7784,146,81028,BE
260,2768711,ORANGE,6378,43,22503,BG
261,3357442,AT&T,7927,107,138192,BG
262,4999836,Sunrise,7681,194,148661,BG
263,2007085,SWISSCOM,7335,156,121780,BG
264,6083528,LYBRA,9399,43,14995,BG
265,1965036,VERIZON,8999,174,39250,BG
266,4734869,T-MOBILE,8859,174,73185,BG
267,4776290,ORANGE,2682,181,94681,BG
268,2167133,VERIZON,9145,113,124584,BG
269,3366493,ORANGE,7938,107,169130,BG
270,2497033,Sunrise,5053,128,81605,BG
271,5033510,T-MOBILE,7843,174,110143,BG
272,1061493,LYBRA,9859,103,81217,BG
273,3178845,LYBRA,5469,170,168820,BG
274,6027589,T-MOBILE,8338,120,4443,BG
275,6641176,Sunrise,9638,167,113447,BG
276,1345024,Vodafone,7834,199,152860,BG
277,3880888,SWISSCOM,6876,72,194977,BG
278,3129201,SWISSCOM,5619,123,119702,BG
279,1082557,Sunrise,5834,178,67390,BG
280,922907,SALT,7924,179,132357,BG
281,4801137,LYBRA,4759,197,117231,BG
282,1665643,AT&T,9677,198,56267,BG
283,6464961,SWISSCOM,7948,135,131048,BG
284,5414272,SALT,4768,140,68234,BG
285,6212876,LYBRA,8989,182,184147,BG
286,4979393,LYBRA,9408,145,68851,BG
287,4428825,T-MOBILE,9867,61,196873,BG
288,5788183,Vodafone,8448,193,137610,BG
289,699383,ORANGE,7996,157,106321,BG
290,4938095,Vodafone,9481,171,171750,BG
291,5160582,Vodafone,7839,81,170684,BG
292,2686119,ORANGE,4889,52,121929,BG
293,4989502,AT&T,9496,179,105960,BG
294,3080807,VERIZON,9389,51,89227,BG
295,6464640,LYBRA,3819,153,190922,BG
296,2153415,LYBRA,5396,63,153869,BG
297,6093510,SALT,2788,118,67614,BG
298,2690939,ORANGE,4999,111,133902,BG
299,998139,ORANGE,5188,115,98582,BG
300,4716515,Sunrise,4988,185,12234,BG
301,1146686,T-MOBILE,5059,111,119238,BG
302,6827912,ORANGE,5792,191,88202,BG
303,5319311,SWISSCOM,9169,77,85545,BG
304,3253465,SALT,4765,163,23607,BG
305,6844169,SALT,3535,104,150434,BG
306,4649242,VERIZON,1793,86,119638,BG
307,6474432,SWISSCOM,6193,187,186337,BG
308,4754505,VERIZON,8725,71,138637,BG
309,6351898,Vodafone,9418,52,184894,BG
310,4685373,LYBRA,7751,115,175746,BG
311,1264550,LYBRA,9498,63,74568,BG
312,4838814,Sunrise,64625-000,141,82945,BR
313,3590989,Vodafone,68250-000,180,110643,BR
314,1532918,SWISSCOM,12280-000,146,186075,BR
315,6208121,ORANGE,57475-000,84,136761,BR
316,4745461,T-MOBILE,77303-000,189,82836,BR
317,6196742,LYBRA,19560-000,43,111276,BR
318,5951875,T-MOBILE,18570-000,198,173231,BR
319,2801802,ORANGE,95577-000,94,73092,BR
320,6272858,VERIZON,69358-000,191,119207,BR
321,3794570,Sunrise,08700-000,155,62719,BR
322,1571704,SWISSCOM,39723-000,75,141621,BR
323,1040516,Sunrise,68647-000,114,28664,BR
324,1403535,Sunrise,79380-000,114,72142,BR
325,5642008,AT&T,75900-000,69,134290,BR
326,5724213,SALT,36870-000,108,9789,BR
327,5227189,AT&T,45720-000,98,52884,BR
328,2019601,Sunrise,86960-000,154,126255,BR
329,6895358,ORANGE,64845-000,165,148668,BR
330,6714689,LYBRA,59470-000,149,155403,BR
331,1988374,ORANGE,45290-000,176,37735,BR
332,6056841,SWISSCOM,29845-000,75,44056,BR
333,2095824,Sunrise,99140-000,140,162892,BR
334,6579658,SALT,37517-000,189,54655,BR
335,2403416,Vodafone,64280-000,84,177396,BR
336,5468645,SALT,16880-000,82,15095,BR
337,1715709,AT&T,64613-000,80,150911,BR
338,6414349,LYBRA,63970-000,154,155843,BR
339,3046744,T-MOBILE,65975-000,124,33168,BR
340,4702354,Sunrise,69240-000,96,184930,BR
341,2850432,SWISSCOM,95735-000,174,53587,BR
342,3088061,Sunrise,37880-000,47,7541,BR
343,1923735,Sunrise,64308-000,195,34783,BR
344,1629923,VERIZON,16880-000,127,58448,BR
345,2149707,LYBRA,45230-000,131,175776,BR
346,3811331,T-MOBILE,29360-000,58,160909,BR
347,4452570,SALT,39558-000,124,145500,BR
348,2373624,LYBRA,37690-000,88,137792,BR
349,5459570,ORANGE,45834-000,85,33511,BR
350,3609758,LYBRA,97800-000,133,92391,BR
351,6398974,ORANGE,35519-000,118,124175,BR
352,6383397,Vodafone,62430-000,180,136542,BR
353,2681738,VERIZON,64350-000,105,134167,BR
354,2987025,ORANGE,36480-000,123,31853,BR
355,3471894,ORANGE,39950-000,114,18904,BR
356,6073095,LYBRA,85900-000,90,132302,BR
357,5699608,LYBRA,16270-000,165,75584,BR
358,995504,LYBRA,76310-000,80,152567,BR
359,4957247,Sunrise,29295-000,194,131583,BR
360,3724516,LYBRA,36590-000,141,116643,BR
361,6408822,SWISSCOM,08900-000,146,199267,BR
362,4256729,ORANGE,64178-000,165,136103,BR
363,1394805,T-MOBILE,36847-000,179,169590,BR
364,5112648,AT&T,E2H,91,114452,CA
365,6921506,SWISSCOM,R3S,154,194587,CA
366,4810645,Vodafone,L3M,43,133265,CA
367,1571985,SWISSCOM,V6C,102,103796,CA
368,4711499,SWISSCOM,M6A,83,37595,CA
369,3044494,LYBRA,X1A,58,184938,CA
370,5994780,AT&T,L6E,120,112254,CA
371,2959790,VERIZON,A8A,106,196074,CA
372,3924906,LYBRA,H7Y,112,121401,CA
373,3826709,Sunrise,H2R,167,165086,CA
374,5790592,LYBRA,G2N,130,14764,CA
375,4945050,AT&T,N8H,190,60566,CA
376,2834360,VERIZON,P3Y,69,34221,CA
377,1789318,LYBRA,E7L,193,89135,CA
378,715767,LYBRA,H3W,130,166473,CA
379,3088806,T-MOBILE,P7B,101,66542,CA
380,6592575,SALT,G4X,80,70569,CA
381,4414126,LYBRA,T7V,129,145372,CA
382,4423992,SWISSCOM,J4V,69,195505,CA
383,6057970,VERIZON,E1H,196,198992,CA
384,3045647,LYBRA,N5R,150,189626,CA
385,6708876,AT&T,L5L,66,186396,CA
386,2568160,T-MOBILE,J2L,88,120754,CA
387,1468393,Vodafone,L9B,118,119251,CA
388,4315976,LYBRA,S4H,175,45464,CA
389,4938429,SWISSCOM,J2A,69,25825,CA
390,4901459,Vodafone,A1S,98,65754,CA
391,2549846,VERIZON,T1B,187,108582,CA
392,2904030,VERIZON,V3W,41,36389,CA
393,2994107,T-MOBILE,M5R,177,151706,CA
394,5623669,LYBRA,V9V,120,177979,CA
395,3527404,LYBRA,E4G,143,104354,CA
396,5399658,LYBRA,H3P,176,99024,CA
397,5411861,AT&T,J0P,188,21048,CA
398,2767762,LYBRA,E2G,43,87143,CA
399,2527227,Sunrise,T2C,57,105564,CA
400,3829398,SALT,P6B,97,199001,CA
401,1463557,Sunrise,E6E,137,152681,CA
402,5400003,SALT,M8Y,91,29586,CA
403,2539434,LYBRA,N1R,127,15381,CA
404,3809732,ORANGE,K4P,193,115743,CA
405,4203694,LYBRA,K4K,199,151394,CA
406,892829,Vodafone,M1V,160,36720,CA
407,6504322,LYBRA,J8H,174,20434,CA
408,5715180,Sunrise,R4A,49,131430,CA
409,5399674,Vodafone,J8E,116,171081,CA
410,1928081,VERIZON,P6B,145,164060,CA
411,5949860,ORANGE,M4H,158,188873,CA
412,6422440,Sunrise,V8C,41,15037,CA
413,6936720,SALT,L8H,182,179268,CA
414,5645753,Vodafone,T0E,163,199154,CA
415,1512583,LYBRA,B3E,178,163574,CA
416,3361078,T-MOBILE,1252,80,74893,CH
417,5870144,LYBRA,1019,100,119380,CH
418,4570319,ORANGE,1946,89,171253,CH
419,5306447,SWISSCOM,5704,63,106341,CH
420,3800150,Sunrise,8716,141,159450,CH
421,3532589,ORANGE,1726,80,60063,CH
422,938303,LYBRA,7028,172,53628,CH
423,2996898,AT&T,1679,95,105256,CH
424,2883668,Sunrise,7527,144,138983,CH
425,1751306,T-MOBILE,8194,83,115850,CH
426,2434800,VERIZON,1866,118,55905,CH
427,2818420,VERIZON,3855,104,9423,CH
428,5941044,SALT,1818,49,176106,CH
429,3632507,Sunrise,2513,174,50403,CH
430,1883577,SWISSCOM,1584,116,165488,CH
431,3816920,T-MOBILE,1268,62,107580,CH
432,1903925,T-MOBILE,1962,175,9032,CH
433,1613124,VERIZON,5314,55,112012,CH
434,2040927,VERIZON,9029,99,151596,CH
435,3116734,SWISSCOM,8885,199,58266,CH
436,4653970,AT&T,7029,82,140580,CH
437,4137998,T-MOBILE,2363,169,85854,CH
438,6597741,LYBRA,9526,166,183564,CH
439,5347624,AT&T,8615,95,57860,CH
440,6804442,Vodafone,8526,65,123383,CH
441,1216516,Vodafone,8816,78,90265,CH
442,2133498,Vodafone,3436,51,56389,CH
443,1539578,Vodafone,4057,131,6602,CH
444,3524133,SALT,8708,175,198507,CH
445,5875187,AT&T,1338,95,12252,CH
446,772237,ORANGE,9214,113,94835,CH
447,4493808,SALT,6246,175,164699,CH
448,1625407,SALT,8096,62,67611,CH
449,4067113,VERIZON,4536,56,101875,CH
450,3521319,Vodafone,1908,150,153570,CH
451,5981452,SALT,1252,46,22037,CH
452,714143,LYBRA,7146,43,76554,CH
453,6328722,T-MOBILE,1892,151,53461,CH
454,4555577,AT&T,1409,66,72009,CH
455,918913,SALT,1241,121,157136,CH
456,711636,ORANGE,1468,177,110729,CH
457,4594211,ORANGE,8486,199,163001,CH
458,5725830,LYBRA,1608,51,169685,CH
459,3981416,AT&T,1019,160,24958,CH
460,2173310,SALT,3983,125,67899,CH
461,1875344,VERIZON,1015,87,110779,CH
462,6484447,AT&T,1241,127,42426,CH
463,1252325,AT&T,8596,80,50942,CH
464,3905977,T-MOBILE,7436,136,144261,CH
465,6382843,Vodafone,1304,43,118287,CH
466,6183291,Vodafone,3905,119,86008,CH
467,4849749,Sunrise,8589,65,192659,CH
468,5568337,Sunrise,2480000,111,151597,CL
469,1635263,AT&T,3570000,87,48931,CL
470,3347543,VERIZON,5850000,181,31637,CL
471,3621231,LYBRA,3140000,180,63359,CL
472,4449349,SWISSCOM,5290000,152,100622,CL
473,4412069,VERIZON,6350000,71,193756,CL
474,1219231,AT&T,2060000,157,68455,CL
475,1406997,ORANGE,1770000,41,26824,CL
476,1699036,T-MOBILE,5040000,61,15000,CL
477,5720459,VERIZON,4190000,70,188919,CL
478,3106730,LYBRA,3030000,174,49273,CL
479,4126253,LYBRA,4390000,61,162757,CL
480,1197992,ORANGE,4520000,107,161581,CL
481,2812832,Sunrise,5160000,58,173325,CL
482,6189651,LYBRA,9650000,104,61852,CL
483,5116742,T-MOBILE,4680000,175,75362,CL
484,1509637,LYBRA,3970000,54,155337,CL
485,1124054,ORANGE,4160000,78,191575,CL
486,6778414,LYBRA,1080000,177,71145,CL
487,3479414,T-MOBILE,5790000,53,49115,CL
488,6306840,LYBRA,1750000,45,150829,CL
489,2219744,VERIZON,3010000,113,55279,CL
490,2256441,VERIZON,9020000,174,64204,CL
491,6193638,AT&T,5600000,197,80624,CL
492,5632873,VERIZON,8640000,117,120311,CL
493,4382099,AT&T,2240000,75,127277,CL
494,852507,AT&T,3940000,107,99409,CL
495,5557236,VERIZON,5770000,115,157990,CL
496,3854866,ORANGE,2700000,176,197286,CL
497,1291822,T-MOBILE,5610000,94,196159,CL
498,5925602,VERIZON,2480000,109,140525,CL
499,6652917,SWISSCOM,5400000,56,121196,CL
500,1475176,T-MOBILE,6320000,125,24591,CL
501,847956,T-MOBILE,4670000,147,151233,CL
502,4682578,Sunrise,2210000,162,60004,CL
503,1092752,T-MOBILE,7550000,147,103085,CL
504,833345,Vodafone,3820000,119,138101,CL
505,3045406,Sunrise,4190000,159,18973,CL
506,4775297,Sunrise,1940000,53,182626,CL
507,3720075,AT&T,2500000,123,135692,CL
508,1510472,AT&T,8940000,182,58891,CL
509,3685865,SALT,3160000,157,47770,CL
510,5307935,LYBRA,2480000,100,136652,CL
511,4072746,Vodafone,1160000,50,133264,CL
512,6824575,Vodafone,4580000,80,189082,CL
513,782333,SALT,3090000,60,112929,CL
514,3353706,SWISSCOM,5370000,54,55948,CL
515,3632198,LYBRA,5360000,89,164505,CL
516,6395892,ORANGE,2100000,197,59560,CL
517,1581590,LYBRA,6360000,183,156604,CL
518,2818692,SWISSCOM,1570000,57,99574,CL
519,2268610,SWISSCOM,4920000,185,128671,CL
520,833395,VERIZON,733578,89,195572,CO
521,3259399,ORANGE,547037,182,162579,CO
522,5836508,T-MOBILE,474001,58,169770,CO
523,3587018,Sunrise,547038,124,78532,CO
524,4604309,SWISSCOM,231028,198,162070,CO
525,5652762,LYBRA,541018,108,61699,CO
526,3150474,ORANGE,523067,132,18510,CO
527,4608406,Vodafone,856030,186,74537,CO
528,5019868,VERIZON,150601,43,170666,CO
529,5446895,Sunrise,501017,51,28640,CO
530,4095365,ORANGE,052030,51,99177,CO
531,1758290,AT&T,474047,135,133766,CO
532,1406263,LYBRA,152401,132,156801,CO
533,4896696,Vodafone,053827,123,4888,CO
534,3768794,LYBRA,444007,95,199511,CO
535,1695084,AT&T,192028,187,112275,CO
536,2164248,LYBRA,705037,76,168938,CO
537,3423224,LYBRA,084067,94,38265,CO
538,1573934,VERIZON,184017,82,149948,CO
539,4544246,VERIZON,526527,156,59818,CO
540,5598700,SWISSCOM,052417,161,151286,CO
541,1323143,LYBRA,520507,172,80746,CO
542,6155020,T-MOBILE,685517,154,83111,CO
543,5987944,T-MOBILE,683577,140,45402,CO
544,785789,VERIZON,130027,122,181757,CO
545,4939133,AT&T,733590,64,196497,CO
546,2360773,LYBRA,683049,171,109150,CO
547,2483227,T-MOBILE,913050,195,38213,CO
548,2412303,LYBRA,525060,173,99931,CO
549,5087358,SALT,506021,109,129207,CO
550,2007007,LYBRA,054417,195,80960,CO
551,6731385,Sunrise,501027,144,138945,CO
552,6147160,T-MOBILE,202038,178,119199,CO
553,2916454,LYBRA,133007,151,153581,CO
554,1518541,SALT,687571,119,103391,CO
555,5057279,SWISSCOM,154220,137,142119,CO
556,2183408,SALT,110141,130,83004,CO
557,1911070,LYBRA,681031,152,98617,CO
558,5611477,Sunrise,540001,52,48095,CO
559,3334407,Sunrise,152820,131,15121,CO
560,3153647,LYBRA,153647,41,184973,CO
561,5187167,LYBRA,475027,113,84360,CO
562,6366662,LYBRA,414027,194,59857,CO
563,6156058,T-MOBILE,546537,77,160648,CO
564,6011650,LYBRA,546058,127,117180,CO
565,3501397,LYBRA,191007,180,81036,CO
566,972352,LYBRA,634020,160,174880,CO
567,736689,VERIZON,278050,69,35388,CO
568,2600882,LYBRA,685561,52,185964,CO
569,6636666,T-MOBILE,173069,143,110068,CO
570,2806054,ORANGE,051860,133,82679,CO
571,6125205,ORANGE,546038,126,44402,CO
572,4582244,Vodafone,60503,121,133655,CR
573,5461095,Sunrise,70301,90,60856,CR
574,5430745,AT&T,11603,89,158316,CR
575,3277142,ORANGE,10806,189,103552,CR
576,3260294,AT&T,10310,181,66534,CR
577,4278707,ORANGE,70501,110,85091,CR
578,6186785,VERIZON,11001,145,73657,CR
579,6555523,ORANGE,10305,161,47964,CR
580,3109114,Vodafone,40206,187,81661,CR
581,3057721,VERIZON,60503,102,164209,CR
582,6464697,LYBRA,20102,130,96925,CR
